date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	47.69	47.773	47.188	47.544	1219803	EUR	
10/03/2015 00:00	47.417	47.934	46.944	46.949	789738	EUR	
11/03/2015 00:00	46.861	48.46	46.798	48.446	1498052	EUR	
12/03/2015 00:00	48.534	49.196	48.134	49.187	1319934	EUR	
13/03/2015 00:00	49.187	49.762	49.06	49.284	801524	EUR	
16/03/2015 00:00	49.713	49.879	49.226	49.772	679663	EUR	
17/03/2015 00:00	49.937	49.937	49.304	49.596	1062744	EUR	
18/03/2015 00:00	49.752	49.752	48.368	48.894	944548	EUR	
19/03/2015 00:00	48.607	49.382	48.192	48.519	1289872	EUR	
20/03/2015 00:00	48.519	49.148	48.47	48.733	860193	EUR	
23/03/2015 00:00	48.748	48.865	48.148	48.368	637526	EUR	
24/03/2015 00:00	48.022	48.612	46.798	48.241	1112276	EUR	
25/03/2015 00:00	46.252	46.93	46.174	46.189	4435248	EUR	
26/03/2015 00:00	45.95	47.022	45.38	47.022	2358889	EUR	
27/03/2015 00:00	47.578	47.666	47.052	47.364	3021331	EUR	
30/03/2015 00:00	47.383	48.144	47.154	47.461	1171194	EUR	
31/03/2015 00:00	47.529	48.153	46.759	47.364	1323940	EUR	
01/04/2015 00:00	46.964	47.763	46.925	47.524	1599346	EUR	
02/04/2015 00:00	47.607	47.627	47.198	47.368	874448	EUR	
07/04/2015 00:00	47.529	48.329	47.471	48.061	1394113	EUR	
08/04/2015 00:00	48.027	48.027	47.485	47.807	1129412	EUR	
09/04/2015 00:00	48.017	48.797	47.919	48.797	1463784	EUR	
10/04/2015 00:00	48.875	49.04	48.558	48.933	1072041	EUR	
13/04/2015 00:00	48.519	48.519	48.363	48.519	833146	EUR	
14/04/2015 00:00	48.519	48.738	48.056	48.207	937142	EUR	
15/04/2015 00:00	48.412	48.655	48.07	48.07	1275976	EUR	
16/04/2015 00:00	48.207	48.387	47.602	47.666	914979	EUR	
17/04/2015 00:00	48.992	49.079	47.373	48.158	1656144	EUR	
20/04/2015 00:00	48.402	48.982	48.358	48.923	1091494	EUR	
21/04/2015 00:00	49.226	50.308	49.118	50.054	1059556	EUR	
22/04/2015 00:00	50.337	50.357	49.089	49.411	955695	EUR	
23/04/2015 00:00	49.44	49.577	48.387	48.894	1407220	EUR	
24/04/2015 00:00	48.846	49.206	48.334	48.714	724709	EUR	
27/04/2015 00:00	48.855	49.489	47.695	49.489	833008	EUR	
28/04/2015 00:00	49.333	49.411	47.598	48.095	1183892	EUR	
29/04/2015 00:00	48.036	49.021	47.286	47.295	1832246	EUR	
30/04/2015 00:00	47.49	47.973	47.071	47.763	1198608	EUR	
04/05/2015 00:00	48.241	49.099	47.91	48.807	748532	EUR	
05/05/2015 00:00	48.943	49.45	47.944	47.988	1210516	EUR	
06/05/2015 00:00	47.256	47.383	46.623	46.925	1707721	EUR	
07/05/2015 00:00	46.657	47.13	45.979	46.993	1645430	EUR	
08/05/2015 00:00	47.271	47.788	46.876	47.554	1203030	EUR	
11/05/2015 00:00	47.583	47.817	47.427	47.685	1054686	EUR	
12/05/2015 00:00	47.524	47.524	46.744	47.066	1446107	EUR	
13/05/2015 00:00	47.13	47.641	46.73	46.954	884021	EUR	
14/05/2015 00:00	46.822	47.412	46.584	47.31	989284	EUR	
15/05/2015 00:00	47.432	48.807	47.222	47.997	1687543	EUR	
18/05/2015 00:00	48.09	48.914	47.914	48.704	903605	EUR	
19/05/2015 00:00	48.972	49.85	48.777	49.82	1109902	EUR	
20/05/2015 00:00	49.684	49.918	49.421	49.655	746129	EUR	
21/05/2015 00:00	49.391	49.684	49.323	49.528	825002	EUR	
22/05/2015 00:00	49.43	49.976	49.323	49.362	771795	EUR	
25/05/2015 00:00	49.313	49.343	48.943	48.953	101013	EUR	
26/05/2015 00:00	49.07	49.694	48.846	49.157	872278	EUR	
27/05/2015 00:00	49.196	49.801	49.196	49.664	923461	EUR	
28/05/2015 00:00	49.411	50.084	49.411	49.713	694714	EUR	
29/05/2015 00:00	49.635	50.035	48.573	48.646	1090011	EUR	
