date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	58.97	59.49	58.42	58.88	1917367	EUR	
10/03/2015 00:00	58.58	59.16	57.92	58.88	3101036	EUR	
11/03/2015 00:00	59.1	61.53	59.04	61.43	3256951	EUR	
12/03/2015 00:00	61.5	62.48	61.4	62.08	3119145	EUR	
13/03/2015 00:00	62.12	63.56	61.85	63.56	3358370	EUR	
16/03/2015 00:00	63.59	64	63.12	63.86	2479861	EUR	
17/03/2015 00:00	63.65	63.7	60.37	60.98	4210185	EUR	
18/03/2015 00:00	61	61.99	60.72	61.19	3099599	EUR	
19/03/2015 00:00	60.52	61.2	59.4	61.08	2906434	EUR	
20/03/2015 00:00	61.08	61.71	60.6	61.4	3602871	EUR	
23/03/2015 00:00	61.49	61.6	59.85	60	3139983	EUR	
24/03/2015 00:00	59.29	60.75	58.14	60.31	5011155	EUR	
25/03/2015 00:00	60	60.42	58.8	58.89	3098932	EUR	
26/03/2015 00:00	58.38	60.15	57.85	60.14	3237783	EUR	
27/03/2015 00:00	60.65	61.37	60.21	60.41	2775348	EUR	
30/03/2015 00:00	60.84	61.46	60.51	61.19	2009482	EUR	
31/03/2015 00:00	60.9	61.57	60.36	60.44	2340555	EUR	
01/04/2015 00:00	60.36	61.65	60.3	60.91	1820660	EUR	
02/04/2015 00:00	60.71	60.93	60.31	60.76	1137046	EUR	
07/04/2015 00:00	60.65	60.89	59.55	60.4	1855001	EUR	
08/04/2015 00:00	59.99	60.58	59.84	60.04	1395507	EUR	
09/04/2015 00:00	59.84	61.28	59.83	61.27	1779222	EUR	
10/04/2015 00:00	61	61.91	60.96	61.91	1645265	EUR	
13/04/2015 00:00	62.79	62.95	62.79	62.79	2167918	EUR	
14/04/2015 00:00	62.16	62.37	60.84	61.13	2920754	EUR	
15/04/2015 00:00	61	62.83	60.8	62.73	2450935	EUR	
16/04/2015 00:00	63	64.58	63	63.97	3911402	EUR	
17/04/2015 00:00	63	63.5	62.04	62.18	3345186	EUR	
20/04/2015 00:00	61.95	63.17	61.88	63.11	1728463	EUR	
21/04/2015 00:00	63.19	64.74	63.11	64.54	2790356	EUR	
22/04/2015 00:00	64.12	66.1	64.02	65.8	3382709	EUR	
23/04/2015 00:00	65.08	65.89	64.9	65.64	3485445	EUR	
24/04/2015 00:00	65.05	65.73	64.29	65.14	3485333	EUR	
27/04/2015 00:00	64.21	65.75	63.67	65.75	2607996	EUR	
28/04/2015 00:00	65.07	65.61	62.66	62.9	3506310	EUR	
29/04/2015 00:00	62	63.47	60.4	60.58	3605381	EUR	
30/04/2015 00:00	60.19	62.24	59.51	62	4100282	EUR	
04/05/2015 00:00	61.2	61.85	60.96	61.6	1979364	EUR	
05/05/2015 00:00	61	62.09	59.75	59.9	3343254	EUR	
06/05/2015 00:00	59.6	61.49	59.52	60.28	3512195	EUR	
07/05/2015 00:00	60.02	60.59	58.12	60.36	3092654	EUR	
08/05/2015 00:00	60.98	63.55	60.57	63.4	3394340	EUR	
11/05/2015 00:00	61.1	62.46	60.53	62.09	3850548	EUR	
12/05/2015 00:00	61.8	61.8	59.98	60.71	3248673	EUR	
13/05/2015 00:00	61.35	62.39	60	60.2	2602835	EUR	
14/05/2015 00:00	60.13	60.99	58.88	60.87	2344017	EUR	
15/05/2015 00:00	61.5	62.33	60.5	60.86	3202079	EUR	
18/05/2015 00:00	61	61.88	60.15	61.5	2017404	EUR	
19/05/2015 00:00	62.06	63.66	62	62.81	3204600	EUR	
20/05/2015 00:00	63.11	63.51	62.45	63.34	1972699	EUR	
21/05/2015 00:00	63	63.98	62.57	63.94	1445504	EUR	
22/05/2015 00:00	63.8	64.14	63.1	63.73	2184433	EUR	
25/05/2015 00:00	64.24	64.24	63.13	63.36	752324	EUR	
26/05/2015 00:00	63.48	64.46	63.23	63.49	2885149	EUR	
27/05/2015 00:00	64.04	65.55	63.51	65.26	3291740	EUR	
