date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	78.066	78.796	77.801	78.796	1088256	EUR	
10/03/2015 00:00	78.431	78.73	77.933	78	1335288	EUR	
11/03/2015 00:00	78.464	80.521	78.365	80.355	1740036	EUR	
12/03/2015 00:00	79.891	80.422	79.758	80.09	1042755	EUR	
13/03/2015 00:00	79.957	80.256	79.493	80.057	1420155	EUR	
16/03/2015 00:00	80.057	81.45	80.057	81.218	1393206	EUR	
17/03/2015 00:00	81.152	81.981	80.654	81.152	1296651	EUR	
18/03/2015 00:00	81.019	81.417	80.521	81.185	1153632	EUR	
19/03/2015 00:00	81.085	81.749	80.521	80.621	1583785	EUR	
20/03/2015 00:00	80.521	81.284	80.488	80.82	2576783	EUR	
23/03/2015 00:00	81.019	81.052	79.891	80.156	1137808	EUR	
24/03/2015 00:00	80.256	81.052	80.057	80.82	1143041	EUR	
25/03/2015 00:00	80.953	80.986	79.858	79.891	1084576	EUR	
26/03/2015 00:00	79.592	79.791	78.63	79.46	1805372	EUR	
27/03/2015 00:00	79.626	80.057	79.36	79.725	1294257	EUR	
30/03/2015 00:00	80.19	81.085	80.19	80.554	1405235	EUR	
31/03/2015 00:00	80.19	81.085	79.493	79.493	1807693	EUR	
01/04/2015 00:00	79.194	81.019	78.962	79.758	1332239	EUR	
02/04/2015 00:00	79.493	79.825	79.028	79.493	996386	EUR	
07/04/2015 00:00	79.626	81.119	79.626	80.488	1296782	EUR	
08/04/2015 00:00	80.322	81.052	79.825	79.891	1050879	EUR	
09/04/2015 00:00	79.957	81.251	79.924	81.251	1058074	EUR	
10/04/2015 00:00	81.417	81.55	80.919	81.351	1173799	EUR	
13/04/2015 00:00	81.284	81.517	80.919	81.119	1293980	EUR	
14/04/2015 00:00	80.986	81.45	80.389	80.886	1278790	EUR	
15/04/2015 00:00	81.185	81.716	80.953	81.318	1171569	EUR	
16/04/2015 00:00	80.986	81.052	80.123	80.621	1503869	EUR	
17/04/2015 00:00	80.355	80.953	79.294	79.526	2662816	EUR	
20/04/2015 00:00	79.626	80.355	79.559	80.289	1476740	EUR	
21/04/2015 00:00	80.588	81.815	80.588	81.749	1645581	EUR	
22/04/2015 00:00	82.114	82.247	80.654	81.483	1273634	EUR	
23/04/2015 00:00	81.649	81.848	79.858	80.355	1802243	EUR	
24/04/2015 00:00	79.559	79.659	78.564	79.161	1767203	EUR	
27/04/2015 00:00	79.227	80.787	78.066	80.521	1680160	EUR	
28/04/2015 00:00	80.322	80.322	78.531	79.161	1306079	EUR	
29/04/2015 00:00	79.261	79.858	76.971	76.971	1783956	EUR	
30/04/2015 00:00	76.839	77.734	76.142	77.502	1980437	EUR	
04/05/2015 00:00	78.232	79.227	77.602	78.697	1090816	EUR	
05/05/2015 00:00	78.464	79.493	77.005	77.005	1374494	EUR	
06/05/2015 00:00	76.938	78.099	76.441	77.469	1471286	EUR	
07/05/2015 00:00	77.17	77.436	76.042	77.17	1762893	EUR	
08/05/2015 00:00	77.867	80.024	77.635	80.024	1685875	EUR	
11/05/2015 00:00	79.957	79.957	78.796	78.862	1237536	EUR	
12/05/2015 00:00	78.199	78.365	76.839	77.734	1577356	EUR	
13/05/2015 00:00	78	79.028	77.17	77.403	1220642	EUR	
14/05/2015 00:00	77.17	78.697	76.706	78.531	922601	EUR	
15/05/2015 00:00	78.896	79.128	77.502	77.834	1258956	EUR	
18/05/2015 00:00	76.772	77.137	75.876	76.971	1197791	EUR	
19/05/2015 00:00	77.303	78.962	77.303	78.663	1410926	EUR	
20/05/2015 00:00	78.597	78.796	78.033	78.597	862707	EUR	
21/05/2015 00:00	78.498	78.862	78	78.763	692433	EUR	
22/05/2015 00:00	78.896	79.062	78.431	78.663	786537	EUR	
25/05/2015 00:00	79.062	79.062	78.099	78.531	124343	EUR	
26/05/2015 00:00	78.763	79.227	77.502	77.734	1050198	EUR	
27/05/2015 00:00	78.166	79.891	78.033	79.725	1515368	EUR	
28/05/2015 00:00	79.426	80.024	78.829	79.659	925868	EUR	
29/05/2015 00:00	79.692	79.924	77.635	77.834	1979166	EUR	
01/06/2015 00:00	77.933	78.597	77.27	77.933	1180027	EUR	
02/06/2015 00:00	78.332	78.332	76.507	77.005	1414036	EUR	
03/06/2015 00:00	77.369	78.597	76.872	77.768	1106461	EUR	
04/06/2015 00:00	77.005	77.734	75.545	76.938	1455324	EUR	
05/06/2015 00:00	76.208	76.673	75.578	75.644	1409072	EUR	
08/06/2015 00:00	75.445	75.744	74.815	74.881	1263024	EUR	
09/06/2015 00:00	74.848	75.412	74.085	75.113	1511999	EUR	
10/06/2015 00:00	74.848	77.038	74.384	76.739	1917872	EUR	
11/06/2015 00:00	76.971	78.597	76.606	77.768	2029089	EUR	
12/06/2015 00:00	77.403	77.602	75.412	76.241	1600516	EUR	
15/06/2015 00:00	75.08	75.611	74.616	74.815	1962562	EUR	
