date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	29.493	30.105	29.403	30.09	3596083	EUR	
10/03/2015 00:00	30	30.06	29.103	29.298	4157786	EUR	
11/03/2015 00:00	29.298	29.592	29.082	29.472	3576846	EUR	
12/03/2015 00:00	29.625	29.706	29.253	29.295	3425712	EUR	
13/03/2015 00:00	29.355	29.394	28.578	28.683	3168263	EUR	
16/03/2015 00:00	28.98	29.304	28.8	28.827	3085241	EUR	
17/03/2015 00:00	28.863	29.097	28.353	28.512	3883798	EUR	
18/03/2015 00:00	28.5	28.548	27.81	28.233	4594305	EUR	
19/03/2015 00:00	28.86	28.908	27.768	27.837	4116077	EUR	
20/03/2015 00:00	27.75	28.272	27.327	28.059	5494844	EUR	
23/03/2015 00:00	27.942	28.02	27.378	27.804	4228264	EUR	
24/03/2015 00:00	27.756	28.14	27.606	27.87	3020443	EUR	
25/03/2015 00:00	27.879	28.5	27.81	28.338	3763827	EUR	
26/03/2015 00:00	27.846	28.5	27.375	27.612	4133136	EUR	
27/03/2015 00:00	27.021	27.381	26.367	26.427	7443700	EUR	
30/03/2015 00:00	26.721	26.829	26.271	26.58	3720417	EUR	
31/03/2015 00:00	26.7	26.847	26.313	26.325	3835042	EUR	
01/04/2015 00:00	26.25	26.52	25.776	25.989	4906650	EUR	
02/04/2015 00:00	25.95	26.064	25.695	25.995	2747436	EUR	
07/04/2015 00:00	26.43	27.093	26.4	27.027	4524766	EUR	
08/04/2015 00:00	26.961	27.381	26.763	26.796	3812551	EUR	
09/04/2015 00:00	26.97	27.024	26.253	26.7	3025184	EUR	
10/04/2015 00:00	26.91	27.21	26.7	27.081	2988883	EUR	
13/04/2015 00:00	27.087	27.087	26.628	26.649	2813743	EUR	
14/04/2015 00:00	26.667	27.537	26.58	27.537	4365381	EUR	
15/04/2015 00:00	27.888	28.41	27.648	28.329	5172030	EUR	
16/04/2015 00:00	28.41	28.551	27.57	27.594	3572079	EUR	
17/04/2015 00:00	27.309	27.501	26.4	26.73	6462969	EUR	
20/04/2015 00:00	26.745	27.081	26.556	26.913	2805171	EUR	
21/04/2015 00:00	27.105	27.135	26.28	26.505	3274581	EUR	
22/04/2015 00:00	26.523	26.919	26.253	26.895	3133125	EUR	
23/04/2015 00:00	26.871	27.312	26.355	27.27	3424418	EUR	
24/04/2015 00:00	27.75	28.938	27.723	28.668	6863109	EUR	
27/04/2015 00:00	28.869	29.742	28.8	29.64	6375172	EUR	
