date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	51.75	52.28	51.4	51.96	2941531	EUR	
10/03/2015 00:00	51.93	52.09	50.83	51.04	4554843	EUR	
11/03/2015 00:00	51.19	52.2	51.19	52.01	4410870	EUR	
12/03/2015 00:00	51.98	52.19	51.39	51.6	3555692	EUR	
13/03/2015 00:00	51.76	51.88	51.28	51.68	2973461	EUR	
16/03/2015 00:00	51.79	52.71	51.79	52.44	4378363	EUR	
17/03/2015 00:00	52.6	52.86	51.86	52.28	4088867	EUR	
18/03/2015 00:00	52.5	52.7	51.74	52.25	4790236	EUR	
19/03/2015 00:00	52.18	53.14	52.18	52.96	5461288	EUR	
20/03/2015 00:00	53	54.35	52.82	53.98	7651280	EUR	
23/03/2015 00:00	53.91	55.04	53.55	54.54	5030650	EUR	
24/03/2015 00:00	54.62	55.95	54.3	55.8	4884760	EUR	
25/03/2015 00:00	55.7	56	54.81	54.85	4487986	EUR	
26/03/2015 00:00	54.39	55.12	53.7	55.12	5402873	EUR	
27/03/2015 00:00	55.57	56.57	55.37	56.19	6940525	EUR	
30/03/2015 00:00	56.6	57.49	56.57	57.26	5286186	EUR	
31/03/2015 00:00	57	57.55	56.36	56.57	5111639	EUR	
01/04/2015 00:00	55.98	57.7	55.88	57.03	4822390	EUR	
02/04/2015 00:00	57	57.52	57	57.24	2594747	EUR	
07/04/2015 00:00	57.28	57.69	57	57.18	4306566	EUR	
08/04/2015 00:00	57.29	57.89	57.25	57.67	4171932	EUR	
09/04/2015 00:00	58	58.34	57.66	57.93	3823418	EUR	
10/04/2015 00:00	57.9	57.9	56.66	57.25	4137398	EUR	
13/04/2015 00:00	57.62	57.83	57	57.62	3131930	EUR	
14/04/2015 00:00	57.5	57.93	56.28	56.8	4980886	EUR	
15/04/2015 00:00	57.04	57.49	56.83	57.14	3470923	EUR	
16/04/2015 00:00	57.14	57.15	55.82	56.33	4998273	EUR	
17/04/2015 00:00	56.11	56.67	54.5	55.11	7055328	EUR	
20/04/2015 00:00	55.1	56.07	55.09	56.07	3944604	EUR	
21/04/2015 00:00	56.47	56.77	55.26	55.59	3701546	EUR	
22/04/2015 00:00	56.22	58.05	56.2	58.01	6330134	EUR	
23/04/2015 00:00	58.2	58.26	56.91	58.01	5285746	EUR	
24/04/2015 00:00	58.32	59.18	58.2	58.99	5502781	EUR	
27/04/2015 00:00	59.69	59.69	58.02	59.17	4648507	EUR	
28/04/2015 00:00	58.87	58.9	57.93	58.61	4425097	EUR	
29/04/2015 00:00	58.75	59	57.23	57.35	5565862	EUR	
30/04/2015 00:00	57.06	57.48	55.39	56.44	7137423	EUR	
04/05/2015 00:00	57.03	57.05	55.76	56.75	3729910	EUR	
05/05/2015 00:00	56.6	57.43	54.92	55.04	5864295	EUR	
06/05/2015 00:00	55.35	56.28	54.97	56.03	5721361	EUR	
07/05/2015 00:00	55.66	56.58	54.83	56.35	5145968	EUR	
08/05/2015 00:00	56.8	57.42	56.04	57.41	3926530	EUR	
11/05/2015 00:00	57.23	57.35	56.59	56.86	2863614	EUR	
12/05/2015 00:00	56.28	56.54	55.61	56.11	4207037	EUR	
13/05/2015 00:00	56.27	56.98	55.81	55.99	4042299	EUR	
14/05/2015 00:00	55.96	57.11	55.31	56.9	2670387	EUR	
15/05/2015 00:00	57.34	57.82	56.31	56.74	4304316	EUR	
18/05/2015 00:00	56.7	57	55.5	56.65	3997770	EUR	
19/05/2015 00:00	56.87	57.85	56.79	57.41	3917273	EUR	
20/05/2015 00:00	56	56.9	55.82	56.85	4113729	EUR	
21/05/2015 00:00	56.84	56.84	56.05	56.47	2614831	EUR	
22/05/2015 00:00	56.58	57.1	56.33	57.01	3153725	EUR	
25/05/2015 00:00	56.53	56.55	55.9	56.23	837556	EUR	
26/05/2015 00:00	56.3	56.52	55.27	55.57	3275924	EUR	
27/05/2015 00:00	55.85	56.82	55.54	56.47	4161669	EUR	
28/05/2015 00:00	56.21	56.54	55.54	56.15	2358958	EUR	
29/05/2015 00:00	56.06	56.31	54.88	54.93	4468096	EUR	
01/06/2015 00:00	55.03	55.37	54.42	54.85	3191120	EUR	
02/06/2015 00:00	55.19	56.11	54.45	55.53	4105842	EUR	
03/06/2015 00:00	55.6	57	55.6	56.77	5783887	EUR	
04/06/2015 00:00	56.42	57.05	55.39	56.34	4377070	EUR	
05/06/2015 00:00	55.8	56.09	54.75	55.3	4881730	EUR	
08/06/2015 00:00	55.13	55.69	54.63	54.63	3205621	EUR	
09/06/2015 00:00	54.5	55.01	53.64	54.39	4322799	EUR	
10/06/2015 00:00	54.16	56.05	53.94	55.56	3691953	EUR	
11/06/2015 00:00	55.32	56.59	55.19	56.02	3587409	EUR	
12/06/2015 00:00	55.9	56.18	54.52	55.3	3542784	EUR	
15/06/2015 00:00	54.41	54.94	53.51	53.96	3941510	EUR	
16/06/2015 00:00	53.56	54.08	52.79	53.67	4399738	EUR	
17/06/2015 00:00	53.89	54.12	53.08	53.14	3467193	EUR	
18/06/2015 00:00	53.1	53.42	52.37	53.08	5120329	EUR	
19/06/2015 00:00	53.32	54.15	53.01	53.61	5833362	EUR	
22/06/2015 00:00	55.43	56.64	54.93	56.32	6507361	EUR	
23/06/2015 00:00	56.89	57.65	56.58	57.36	4627629	EUR	
24/06/2015 00:00	57.49	57.66	56.07	56.86	5245598	EUR	
25/06/2015 00:00	56.28	57.84	56.24	57.03	5399979	EUR	
26/06/2015 00:00	56.91	58	56.38	57.63	4025422	EUR	
29/06/2015 00:00	54	55.43	53.3	54.81	8088578	EUR	
30/06/2015 00:00	54.5	55.67	53.93	54.15	6608599	EUR	
01/07/2015 00:00	54.84	56.49	54.43	55.37	6084451	EUR	
02/07/2015 00:00	55.79	55.9	54.57	54.71	3194215	EUR	
03/07/2015 00:00	54.63	54.77	53.93	54.27	3626201	EUR	
