date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	36.14	36.385	35.05	35.095	1890862	EUR	
10/03/2015 00:00	35	36.265	34.935	35.76	1668898	EUR	
11/03/2015 00:00	35.995	37.435	35.915	37.38	1834693	EUR	
12/03/2015 00:00	37.34	37.4	36.275	36.47	1439790	EUR	
13/03/2015 00:00	36.585	37.215	36.475	37.215	1157391	EUR	
16/03/2015 00:00	37.135	37.365	36.855	37.305	1044614	EUR	
17/03/2015 00:00	37.325	37.43	36.425	36.845	1218651	EUR	
18/03/2015 00:00	36.915	37.165	36.485	37.145	935868	EUR	
19/03/2015 00:00	37.07	37.205	36.53	36.765	883704	EUR	
20/03/2015 00:00	36.35	37.13	36.08	36.9	1854887	EUR	
23/03/2015 00:00	36.835	37.13	36.48	37.055	842193	EUR	
24/03/2015 00:00	37	37.43	36.91	37.345	685180	EUR	
25/03/2015 00:00	37.145	37.32	36.745	36.945	697655	EUR	
26/03/2015 00:00	36.56	36.885	36.05	36.885	1077229	EUR	
27/03/2015 00:00	36.76	36.835	36.44	36.62	765189	EUR	
30/03/2015 00:00	36.715	37.16	36.4	36.565	872647	EUR	
31/03/2015 00:00	36.405	36.97	36.2	36.54	983868	EUR	
01/04/2015 00:00	36.3	36.855	35.61	36.535	1077833	EUR	
02/04/2015 00:00	36.63	37.12	36.14	37.075	733609	EUR	
07/04/2015 00:00	37.08	37.575	37.075	37.55	860425	EUR	
08/04/2015 00:00	37.5	37.725	37.255	37.345	634266	EUR	
09/04/2015 00:00	37.5	37.6	37.275	37.53	669297	EUR	
10/04/2015 00:00	37.62	37.835	37.37	37.765	641401	EUR	
13/04/2015 00:00	37.875	37.975	37.45	37.875	827437	EUR	
14/04/2015 00:00	37.69	37.98	37.49	37.74	683817	EUR	
15/04/2015 00:00	37.7	38.19	37.53	38.075	673896	EUR	
16/04/2015 00:00	38.04	38.19	37.61	37.74	800952	EUR	
17/04/2015 00:00	37.7	37.875	37	37	1112917	EUR	
20/04/2015 00:00	37.01	37.525	36.92	37.495	792013	EUR	
21/04/2015 00:00	37.435	37.89	37.055	37.89	1405400	EUR	
22/04/2015 00:00	38	38.3	37.43	38.2	1293411	EUR	
23/04/2015 00:00	38.125	38.34	37.885	38.34	1111611	EUR	
24/04/2015 00:00	38.4	38.755	38	38.7	1122150	EUR	
27/04/2015 00:00	38.71	39.24	38.235	39.045	1326449	EUR	
28/04/2015 00:00	37.565	37.66	37.16	37.27	2588692	EUR	
29/04/2015 00:00	37.355	37.56	36.905	37.07	2284994	EUR	
30/04/2015 00:00	37	37.095	36.625	36.93	2553051	EUR	
04/05/2015 00:00	36.885	37.095	36.69	36.69	996307	EUR	
05/05/2015 00:00	36.645	37.18	36.285	36.335	1786821	EUR	
06/05/2015 00:00	36.255	36.87	35.945	36.8	1377889	EUR	
07/05/2015 00:00	36.43	36.68	36.015	36.305	1804787	EUR	
08/05/2015 00:00	36.65	36.92	36.37	36.795	1085283	EUR	
11/05/2015 00:00	36.815	36.965	36.665	36.855	644716	EUR	
12/05/2015 00:00	36.705	37.245	36.615	36.965	1569632	EUR	
13/05/2015 00:00	37.5	38.25	37.03	37.915	1562138	EUR	
14/05/2015 00:00	37.5	37.865	36.96	37.665	1017538	EUR	
15/05/2015 00:00	37.755	37.89	37.38	37.655	1140349	EUR	
18/05/2015 00:00	37.625	37.76	37.29	37.76	760300	EUR	
19/05/2015 00:00	37.9	38.4	37.895	38.2	1025295	EUR	
20/05/2015 00:00	37.5	38.035	37.21	37.92	1700214	EUR	
21/05/2015 00:00	37.65	38.1	37.585	38.005	909672	EUR	
22/05/2015 00:00	37.62	37.62	36.915	37.215	2105883	EUR	
25/05/2015 00:00	36.84	37.145	36.43	36.625	284181	EUR	
26/05/2015 00:00	36.705	37	36.33	36.62	882502	EUR	
27/05/2015 00:00	36.775	37.2	36.69	37.1	981826	EUR	
28/05/2015 00:00	37	37.155	36.59	36.84	762441	EUR	
29/05/2015 00:00	36.965	36.995	35.94	35.85	3346545	EUR	
01/06/2015 00:00	35.845	36.11	35.41	35.525	882632	EUR	
02/06/2015 00:00	35.675	35.735	35.085	35.345	1027796	EUR	
03/06/2015 00:00	35.525	35.8	35.145	35.2	997998	EUR	
04/06/2015 00:00	35.1	35.325	34.54	35.075	904645	EUR	
05/06/2015 00:00	35.025	35.095	34.5	34.885	965458	EUR	
08/06/2015 00:00	34.85	34.895	34.215	34.235	755810	EUR	
09/06/2015 00:00	34.15	34.245	33.72	34.225	976830	EUR	
10/06/2015 00:00	34.155	34.86	33.95	34.76	948310	EUR	
