date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	19.762	19.845	19.587	19.655	765993	EUR	
10/03/2015 00:00	19.85	19.918	19.602	19.626	1218977	EUR	
11/03/2015 00:00	19.689	19.831	19.65	19.704	2292310	EUR	
12/03/2015 00:00	19.797	19.806	19.66	19.719	1027293	EUR	
13/03/2015 00:00	19.806	19.826	19.719	19.816	1347464	EUR	
16/03/2015 00:00	19.806	19.85	19.689	19.801	1157271	EUR	
17/03/2015 00:00	19.865	19.875	19.699	19.728	645407	EUR	
18/03/2015 00:00	19.704	19.816	19.704	19.816	872068	EUR	
19/03/2015 00:00	19.806	19.816	19.762	19.801	1122468	EUR	
20/03/2015 00:00	19.806	19.816	19.772	19.772	1255068	EUR	
23/03/2015 00:00	19.806	19.811	19.748	19.797	681811	EUR	
24/03/2015 00:00	19.816	19.816	19.694	19.777	827951	EUR	
25/03/2015 00:00	19.723	19.801	19.582	19.641	700150	EUR	
26/03/2015 00:00	19.543	19.675	19.344	19.456	816028	EUR	
27/03/2015 00:00	19.524	19.524	19.373	19.451	685064	EUR	
30/03/2015 00:00	19.485	19.811	19.47	19.646	498670	EUR	
31/03/2015 00:00	19.631	19.714	19.392	19.475	843499	EUR	
01/04/2015 00:00	19.465	19.792	19.436	19.792	775225	EUR	
02/04/2015 00:00	19.797	19.801	19.534	19.733	539001	EUR	
07/04/2015 00:00	19.845	19.845	19.777	19.801	765242	EUR	
08/04/2015 00:00	19.826	19.84	19.777	19.806	626649	EUR	
09/04/2015 00:00	19.875	19.899	19.777	19.884	2108629	EUR	
10/04/2015 00:00	19.952	20.079	19.943	20.055	1224829	EUR	
13/04/2015 00:00	20.055	20.177	20.04	20.147	776714	EUR	
14/04/2015 00:00	20.084	20.162	20.079	20.128	569290	EUR	
15/04/2015 00:00	20.147	20.186	20.094	20.157	982484	EUR	
16/04/2015 00:00	20.177	20.298	20.113	20.24	679378	EUR	
17/04/2015 00:00	20.25	20.352	20.103	20.264	745983	EUR	
20/04/2015 00:00	20.25	20.332	20.147	20.181	627534	EUR	
21/04/2015 00:00	20.342	20.615	20.337	20.576	1316202	EUR	
22/04/2015 00:00	20.586	20.615	20.264	20.366	674788	EUR	
23/04/2015 00:00	20.415	20.415	20.162	20.41	485868	EUR	
24/04/2015 00:00	20.454	20.483	20.357	20.41	556872	EUR	
27/04/2015 00:00	20.454	20.479	20.342	20.362	1061358	EUR	
28/04/2015 00:00	20.298	20.371	20.147	20.245	613352	EUR	
29/04/2015 00:00	20.274	20.625	20.274	20.289	997997	EUR	
30/04/2015 00:00	20.332	20.644	20.05	20.483	1128764	EUR	
04/05/2015 00:00	20.571	20.576	20.293	20.547	384605	EUR	
05/05/2015 00:00	20.566	20.698	20.128	20.177	759463	EUR	
06/05/2015 00:00	20.615	20.99	20.503	20.8	1776344	EUR	
07/05/2015 00:00	20.8	20.805	20.274	20.479	1268793	EUR	
08/05/2015 00:00	20.493	20.625	20.25	20.444	920239	EUR	
11/05/2015 00:00	20.43	20.605	20.405	20.605	870887	EUR	
12/05/2015 00:00	20.537	20.6	20.147	20.357	683259	EUR	
13/05/2015 00:00	20.357	20.644	20.264	20.595	792352	EUR	
14/05/2015 00:00	20.556	20.703	20.498	20.669	400127	EUR	
15/05/2015 00:00	20.688	20.849	20.683	20.737	758145	EUR	
18/05/2015 00:00	20.844	20.849	20.537	20.761	511889	EUR	
19/05/2015 00:00	20.771	20.907	20.712	20.8	615832	EUR	
20/05/2015 00:00	20.839	20.839	20.517	20.688	552253	EUR	
21/05/2015 00:00	20.698	20.751	20.537	20.751	690054	EUR	
22/05/2015 00:00	20.751	20.82	20.683	20.751	651945	EUR	
25/05/2015 00:00	20.683	20.781	20.683	20.737	96981	EUR	
26/05/2015 00:00	20.751	20.815	20.634	20.707	809969	EUR	
27/05/2015 00:00	20.858	21.092	20.703	20.863	1252411	EUR	
28/05/2015 00:00	20.907	20.907	20.634	20.698	540706	EUR	
29/05/2015 00:00	20.722	20.722	20.201	20.328	1201519	EUR	
01/06/2015 00:00	20.391	20.532	20.313	20.41	665753	EUR	
02/06/2015 00:00	20.279	20.279	19.836	19.918	852288	EUR	
03/06/2015 00:00	19.933	20.064	19.787	19.894	632045	EUR	
04/06/2015 00:00	19.826	19.86	19.534	19.68	560373	EUR	
05/06/2015 00:00	19.597	19.65	19.495	19.582	451882	EUR	
08/06/2015 00:00	19.548	19.548	19.407	19.431	386591	EUR	
09/06/2015 00:00	19.387	19.719	19.344	19.67	647123	EUR	
10/06/2015 00:00	19.602	20.118	19.587	20.118	1105432	EUR	
11/06/2015 00:00	20.099	20.128	19.719	19.801	747180	EUR	
12/06/2015 00:00	19.816	19.821	19.582	19.728	838747	EUR	
15/06/2015 00:00	19.553	19.689	19.499	19.538	713295	EUR	
16/06/2015 00:00	19.485	19.811	19.3	19.801	1014046	EUR	
17/06/2015 00:00	19.836	19.938	19.66	19.758	993698	EUR	
