date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	72.87	73.04	72.1	72.9	508270	EUR	
10/03/2015 00:00	72.88	73.75	72.55	72.66	592314	EUR	
11/03/2015 00:00	72.83	74.9	72.83	74.61	565484	EUR	
12/03/2015 00:00	74.39	75.22	74.08	74.85	524671	EUR	
13/03/2015 00:00	75.83	76.2	74.79	75.65	592766	EUR	
16/03/2015 00:00	75.97	76.88	75.88	76.42	498434	EUR	
17/03/2015 00:00	76.57	76.76	75.14	75.62	590756	EUR	
18/03/2015 00:00	75.83	76.21	74.97	75.44	566192	EUR	
19/03/2015 00:00	75.47	76.48	75.08	76.37	520495	EUR	
20/03/2015 00:00	76.41	76.57	75.74	76.02	786878	EUR	
23/03/2015 00:00	76.19	76.48	75.67	76.25	493780	EUR	
24/03/2015 00:00	76.27	76.97	75.99	76.77	484013	EUR	
25/03/2015 00:00	76.27	76.56	73.99	73.99	1058739	EUR	
26/03/2015 00:00	73.37	75.31	71.96	75.11	1316782	EUR	
27/03/2015 00:00	75.69	77.29	75.43	76.63	934486	EUR	
30/03/2015 00:00	77.14	78.26	77.14	78.12	725551	EUR	
31/03/2015 00:00	78	78.1	76.04	76.37	834766	EUR	
01/04/2015 00:00	75.92	77.77	75.58	76.75	426718	EUR	
02/04/2015 00:00	76.94	77.15	76.57	76.9	360712	EUR	
07/04/2015 00:00	76.88	79.03	76.74	78.52	731801	EUR	
08/04/2015 00:00	78.49	78.52	77.01	77.84	631012	EUR	
09/04/2015 00:00	78.26	79.32	77.98	79.2	588139	EUR	
10/04/2015 00:00	79.63	80.38	79.13	79.5	642800	EUR	
13/04/2015 00:00	79.62	79.74	78.89	79.62	426905	EUR	
14/04/2015 00:00	79.32	80	79.15	79.56	567594	EUR	
15/04/2015 00:00	79.7	80.04	78.71	78.82	573587	EUR	
16/04/2015 00:00	79.03	79.97	78.53	79.3	820999	EUR	
17/04/2015 00:00	78.91	79.95	76.84	77.09	928590	EUR	
20/04/2015 00:00	77.49	78.29	76.97	78.29	738237	EUR	
21/04/2015 00:00	79.08	79.99	78.6	78.77	816459	EUR	
22/04/2015 00:00	79.59	80.56	78.86	80.14	726534	EUR	
23/04/2015 00:00	79.93	80.12	77.68	78.73	936399	EUR	
24/04/2015 00:00	79.46	79.58	78.05	78.37	687396	EUR	
27/04/2015 00:00	81.2	85.77	78.12	84.54	2330730	EUR	
28/04/2015 00:00	83.94	83.94	80.38	81.49	1266441	EUR	
29/04/2015 00:00	82	82.25	78.38	78.38	1177696	EUR	
30/04/2015 00:00	78.2	80.72	77.21	79.5	1232558	EUR	
04/05/2015 00:00	79.95	80.53	79.4	79.99	491260	EUR	
05/05/2015 00:00	79.98	81.86	78.09	78.11	959093	EUR	
06/05/2015 00:00	78.36	79.15	77.2	77.52	839534	EUR	
07/05/2015 00:00	77.27	79.04	76.23	78.9	1043836	EUR	
08/05/2015 00:00	79.66	81.1	79	80.71	759713	EUR	
11/05/2015 00:00	80.66	80.95	79.83	80.5	611230	EUR	
12/05/2015 00:00	80.1	80.27	78.29	79.77	690541	EUR	
13/05/2015 00:00	80.23	81.75	79.98	80.33	666859	EUR	
14/05/2015 00:00	80.21	81.86	79.69	81.69	522108	EUR	
15/05/2015 00:00	81.63	81.7	79.89	80.85	748251	EUR	
18/05/2015 00:00	79.65	81.06	79.2	81.06	788958	EUR	
19/05/2015 00:00	81.33	82.73	81.33	82.34	775982	EUR	
20/05/2015 00:00	82.31	83.54	81.98	83.51	606717	EUR	
21/05/2015 00:00	83.13	83.87	83.08	83.7	549272	EUR	
22/05/2015 00:00	84.3	85	82.23	82.36	873796	EUR	
25/05/2015 00:00	82.75	82.75	81.33	81.65	175177	EUR	
26/05/2015 00:00	82.07	82.78	81	81.18	810898	EUR	
27/05/2015 00:00	81.33	82.12	80.94	81.4	979194	EUR	
28/05/2015 00:00	81.32	83.7	80.97	81.59	1498088	EUR	
29/05/2015 00:00	81.74	82.28	79.02	79.02	1959629	EUR	
01/06/2015 00:00	79.63	80.42	78.95	79.29	764677	EUR	
02/06/2015 00:00	79.84	79.84	78.41	78.88	720426	EUR	
03/06/2015 00:00	79.02	79.97	78.75	79.52	778247	EUR	
04/06/2015 00:00	79.24	79.48	77.96	78.76	888242	EUR	
05/06/2015 00:00	78.36	78.72	77.06	77.68	626805	EUR	
08/06/2015 00:00	77.79	78.08	76.71	76.93	662812	EUR	
09/06/2015 00:00	76.85	78.02	76.19	77.73	855647	EUR	
10/06/2015 00:00	76.75	78.06	75.83	77.69	2208840	EUR	
11/06/2015 00:00	77.81	79.69	77.77	78.98	1129266	EUR	
12/06/2015 00:00	78.94	79.47	77.46	78.14	695191	EUR	
15/06/2015 00:00	77.39	77.5	76.4	76.97	796550	EUR	
16/06/2015 00:00	76.68	78.11	76.03	78.11	991629	EUR	
17/06/2015 00:00	78.22	78.41	77.44	77.83	931959	EUR	
18/06/2015 00:00	77.43	78.65	76.83	78.57	903588	EUR	
19/06/2015 00:00	78.62	79.72	78.4	79.12	1087978	EUR	
22/06/2015 00:00	80.4	81.4	80.01	81.09	819584	EUR	
23/06/2015 00:00	81.69	83.1	81.54	82.54	688304	EUR	
24/06/2015 00:00	82.73	82.85	80.92	81.27	764165	EUR	
25/06/2015 00:00	80.73	82.7	80.41	82.57	917966	EUR	
26/06/2015 00:00	82.15	83.41	81.82	82.75	502933	EUR	
29/06/2015 00:00	79.05	81.4	78.05	80.23	1099302	EUR	
30/06/2015 00:00	80.09	80.88	79.15	79.37	1226314	EUR	
01/07/2015 00:00	80.2	82.54	80.11	81.93	846768	EUR	
02/07/2015 00:00	82.59	82.95	80.93	81.07	601335	EUR	
03/07/2015 00:00	80.99	82	80.31	80.72	616785	EUR	
06/07/2015 00:00	79.2	80.9	79.05	80.42	658565	EUR	
07/07/2015 00:00	80.8	81.11	79.27	79.33	713148	EUR	
08/07/2015 00:00	79.23	80.19	79.02	79.41	686775	EUR	
09/07/2015 00:00	79.8	82.75	79.59	82.5	944839	EUR	
10/07/2015 00:00	84.38	84.9	83.88	84.74	856326	EUR	
13/07/2015 00:00	85.34	86.98	85.25	86.98	928106	EUR	
14/07/2015 00:00	87.02	87.1	86.01	86.74	600097	EUR	
15/07/2015 00:00	86.7	87.47	86.49	87.4	761901	EUR	
16/07/2015 00:00	87.75	88.73	87.67	88.28	687425	EUR	
