date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	28.81	29.228	28.721	28.875	3788938	EUR	
10/03/2015 00:00	28.791	28.907	28.405	28.405	3326894	EUR	
11/03/2015 00:00	28.419	28.703	28.322	28.545	3300815	EUR	
12/03/2015 00:00	28.54	28.814	28.368	28.675	2825672	EUR	
13/03/2015 00:00	28.749	29.051	28.633	28.935	3217963	EUR	
16/03/2015 00:00	28.954	29.079	28.768	28.875	2660754	EUR	
17/03/2015 00:00	28.856	29.116	28.698	28.912	2527727	EUR	
18/03/2015 00:00	28.986	29.112	28.698	28.977	2032068	EUR	
19/03/2015 00:00	28.949	29.33	28.921	29.2	3608103	EUR	
20/03/2015 00:00	29.186	29.753	29.186	29.632	4834334	EUR	
23/03/2015 00:00	29.549	29.786	29.335	29.632	3050165	EUR	
24/03/2015 00:00	29.014	29.553	28.949	29.33	6458984	EUR	
25/03/2015 00:00	29.195	29.344	28.721	28.796	4101773	EUR	
26/03/2015 00:00	28.582	28.8	28.461	28.8	7505087	EUR	
27/03/2015 00:00	28.81	29.154	28.661	29.014	3559214	EUR	
30/03/2015 00:00	29.079	29.432	28.949	29.084	2277749	EUR	
31/03/2015 00:00	29.051	29.381	28.879	28.893	3077261	EUR	
01/04/2015 00:00	28.81	29.339	28.717	28.977	2766148	EUR	
02/04/2015 00:00	29.089	29.112	28.791	28.986	1883889	EUR	
07/04/2015 00:00	29.112	29.47	29.065	29.358	2590515	EUR	
08/04/2015 00:00	29.372	29.674	29.349	29.456	2200760	EUR	
09/04/2015 00:00	29.516	30.018	29.488	29.869	3820627	EUR	
10/04/2015 00:00	30.761	30.896	30.292	30.478	5037192	EUR	
13/04/2015 00:00	30.427	30.529	30.255	30.427	2500196	EUR	
14/04/2015 00:00	30.39	30.515	30.101	30.259	2188126	EUR	
15/04/2015 00:00	30.404	30.575	30.236	30.278	2323781	EUR	
16/04/2015 00:00	30.218	30.385	29.999	30.092	2839973	EUR	
17/04/2015 00:00	30.032	30.213	29.558	29.753	3651744	EUR	
20/04/2015 00:00	29.818	29.999	29.646	29.925	2041408	EUR	
21/04/2015 00:00	29.976	30.352	29.674	29.674	2580935	EUR	
22/04/2015 00:00	29.72	29.869	29.335	29.404	2326495	EUR	
23/04/2015 00:00	29.46	29.646	28.986	29.256	2535622	EUR	
24/04/2015 00:00	29.316	29.465	28.931	29.195	2306879	EUR	
27/04/2015 00:00	29.177	29.614	28.856	29.381	2871744	EUR	
28/04/2015 00:00	29.339	29.558	29.135	29.344	3560148	EUR	
29/04/2015 00:00	29.395	29.483	28.661	28.698	3257431	EUR	
30/04/2015 00:00	28.875	28.931	28.484	28.615	3669493	EUR	
04/05/2015 00:00	28.768	28.954	28.378	28.749	1759151	EUR	
05/05/2015 00:00	28.749	29.233	28.215	28.252	3195747	EUR	
