date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	12.174	12.225	12.042	12.174	6438965	EUR	
10/03/2015 00:00	12.159	12.258	11.957	11.957	6164993	EUR	
11/03/2015 00:00	12.037	12.333	12.037	12.305	7246751	EUR	
12/03/2015 00:00	12.305	12.352	12.211	12.277	4788731	EUR	
13/03/2015 00:00	12.315	12.357	12.216	12.315	4561112	EUR	
16/03/2015 00:00	12.319	12.583	12.319	12.488	7320456	EUR	
17/03/2015 00:00	12.507	12.535	12.3	12.437	6272015	EUR	
18/03/2015 00:00	12.442	12.507	12.221	12.291	8720092	EUR	
19/03/2015 00:00	12.324	12.451	12.263	12.437	6007924	EUR	
20/03/2015 00:00	12.413	12.662	12.324	12.611	7163839	EUR	
23/03/2015 00:00	12.601	12.869	12.54	12.705	6402311	EUR	
24/03/2015 00:00	12.691	12.982	12.648	12.916	6866320	EUR	
25/03/2015 00:00	12.921	13.006	12.813	12.85	5635828	EUR	
26/03/2015 00:00	12.714	12.813	12.479	12.653	7517146	EUR	
27/03/2015 00:00	12.724	12.841	12.634	12.794	7505686	EUR	
30/03/2015 00:00	12.869	13.184	12.841	13.062	8107625	EUR	
31/03/2015 00:00	13.048	13.17	12.855	12.855	7834760	EUR	
01/04/2015 00:00	12.789	13.32	12.785	13.255	11860083	EUR	
02/04/2015 00:00	13.241	13.292	13.175	13.259	3916389	EUR	
07/04/2015 00:00	13.297	13.344	13.25	13.278	5706410	EUR	
08/04/2015 00:00	13.283	13.372	13.212	13.288	5587648	EUR	
09/04/2015 00:00	13.33	13.396	13.241	13.396	4403231	EUR	
10/04/2015 00:00	13.419	13.499	13.231	13.335	5030717	EUR	
13/04/2015 00:00	13.302	13.363	13.217	13.302	5195357	EUR	
14/04/2015 00:00	13.273	13.41	13.043	13.142	6061791	EUR	
15/04/2015 00:00	13.161	13.386	13.132	13.363	4671145	EUR	
16/04/2015 00:00	13.353	13.363	12.935	12.963	8628424	EUR	
17/04/2015 00:00	12.959	13.085	12.578	12.597	10457774	EUR	
20/04/2015 00:00	12.573	12.775	12.559	12.752	5314173	EUR	
21/04/2015 00:00	12.869	12.935	12.526	12.62	6924223	EUR	
22/04/2015 00:00	12.691	12.874	12.597	12.869	6862646	EUR	
23/04/2015 00:00	12.888	12.926	12.644	12.874	5141780	EUR	
24/04/2015 00:00	12.916	13.278	12.912	13.269	9890066	EUR	
27/04/2015 00:00	13.283	13.523	13.095	13.48	7694916	EUR	
28/04/2015 00:00	13.391	13.617	13.255	13.372	10436701	EUR	
29/04/2015 00:00	13.424	13.579	13.118	13.17	8244427	EUR	
30/04/2015 00:00	13.156	13.278	12.977	13.071	8748264	EUR	
04/05/2015 00:00	13.151	13.231	12.944	13.128	5046563	EUR	
05/05/2015 00:00	13.189	13.339	12.733	12.733	7802330	EUR	
06/05/2015 00:00	12.785	13.001	12.597	12.803	9999986	EUR	
07/05/2015 00:00	12.756	12.879	12.503	12.865	9145185	EUR	
08/05/2015 00:00	12.973	13.09	12.855	13.09	5433503	EUR	
11/05/2015 00:00	13.076	13.147	12.902	13.071	5380237	EUR	
12/05/2015 00:00	12.944	13.015	12.832	12.968	7099754	EUR	
13/05/2015 00:00	13.02	13.377	13.02	13.217	7483104	EUR	
14/05/2015 00:00	13.161	13.504	13.067	13.452	5481821	EUR	
15/05/2015 00:00	13.527	13.56	13.316	13.372	5403199	EUR	
18/05/2015 00:00	13.306	13.339	12.822	12.963	12051215	EUR	
19/05/2015 00:00	13.067	13.217	12.996	13.085	6616576	EUR	
20/05/2015 00:00	13.118	13.292	13.048	13.269	4961196	EUR	
21/05/2015 00:00	13.259	13.273	13.114	13.222	3449498	EUR	
22/05/2015 00:00	13.259	13.372	13.208	13.311	4125179	EUR	
25/05/2015 00:00	13.264	13.292	13.076	13.165	1658046	EUR	
26/05/2015 00:00	13.179	13.288	12.949	13.09	5958416	EUR	
27/05/2015 00:00	13.161	13.588	13.128	13.471	8145211	EUR	
28/05/2015 00:00	13.161	13.226	12.968	13.1	7106515	EUR	
29/05/2015 00:00	13.02	13.067	12.771	12.78	8546878	EUR	
01/06/2015 00:00	12.808	12.893	12.662	12.7	6038262	EUR	
02/06/2015 00:00	12.761	13.071	12.597	13.001	7847346	EUR	
03/06/2015 00:00	13.043	13.165	12.916	13.024	8438111	EUR	
04/06/2015 00:00	12.883	13.006	12.705	12.836	5936515	EUR	
05/06/2015 00:00	12.742	12.832	12.437	12.592	8182985	EUR	
08/06/2015 00:00	12.606	12.691	12.362	12.362	5417078	EUR	
09/06/2015 00:00	12.333	12.474	12.23	12.437	6041923	EUR	
10/06/2015 00:00	12.38	12.771	12.315	12.677	6454119	EUR	
11/06/2015 00:00	12.648	12.794	12.554	12.658	5818029	EUR	
12/06/2015 00:00	12.615	12.719	12.329	12.592	6580638	EUR	
15/06/2015 00:00	12.418	12.451	12.164	12.263	7003073	EUR	
16/06/2015 00:00	12.188	12.352	12.018	12.282	5987189	EUR	
17/06/2015 00:00	12.291	12.418	12.178	12.197	4807284	EUR	
18/06/2015 00:00	12.221	12.333	11.986	12.282	6723853	EUR	
19/06/2015 00:00	12.253	12.474	12.221	12.385	6605420	EUR	
22/06/2015 00:00	12.653	13.076	12.634	13.024	9743364	EUR	
23/06/2015 00:00	13.194	13.273	13.114	13.226	7202959	EUR	
24/06/2015 00:00	13.236	13.283	13.001	13.208	6581762	EUR	
25/06/2015 00:00	13.142	13.32	13.057	13.226	7395206	EUR	
26/06/2015 00:00	13.132	13.386	13.024	13.288	6602756	EUR	
29/06/2015 00:00	12.23	12.766	12.221	12.62	12763116	EUR	
30/06/2015 00:00	12.54	12.827	12.404	12.54	8667484	EUR	
01/07/2015 00:00	12.709	13.01	12.606	12.855	7801466	EUR	
02/07/2015 00:00	12.888	12.916	12.629	12.672	4258974	EUR	
03/07/2015 00:00	12.615	12.691	12.474	12.568	3832349	EUR	
06/07/2015 00:00	12.315	12.404	12.065	12.221	10242202	EUR	
