date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	60.391	60.557	60.021	60.187	1239985	EUR	
10/03/2015 00:00	60.011	60.07	59.222	59.271	1456215	EUR	
11/03/2015 00:00	59.612	60.693	59.505	60.362	1978420	EUR	
12/03/2015 00:00	60.303	60.411	59.924	60.031	957889	EUR	
13/03/2015 00:00	59.953	60.586	59.768	60.576	1208008	EUR	
16/03/2015 00:00	60.489	61.336	60.45	61.034	1741386	EUR	
17/03/2015 00:00	60.8	61.131	60.362	60.625	1494097	EUR	
18/03/2015 00:00	60.469	61.385	60.362	61.248	1515128	EUR	
19/03/2015 00:00	61.122	61.54	60.674	61.005	1825772	EUR	
20/03/2015 00:00	60.878	61.453	60.761	61.122	2514447	EUR	
23/03/2015 00:00	61.024	61.083	60.42	61.034	1137266	EUR	
24/03/2015 00:00	60.956	61.609	60.829	61.346	1612937	EUR	
25/03/2015 00:00	61.17	61.365	60.45	60.547	1437440	EUR	
26/03/2015 00:00	60.498	60.615	59.475	60.615	2028060	EUR	
27/03/2015 00:00	60.966	61.55	60.537	61.287	1774253	EUR	
30/03/2015 00:00	61.287	61.638	60.937	61.063	1951135	EUR	
31/03/2015 00:00	61.579	61.745	60.674	60.995	2151607	EUR	
01/04/2015 00:00	60.683	61.687	60.245	61.209	1625003	EUR	
02/04/2015 00:00	61.677	61.755	61.141	61.755	1130181	EUR	
07/04/2015 00:00	62.213	62.816	61.911	62.515	1629483	EUR	
08/04/2015 00:00	62.339	62.573	61.979	62.631	1511441	EUR	
09/04/2015 00:00	62.427	63.274	62.349	63.274	1645664	EUR	
10/04/2015 00:00	63.011	63.284	62.924	63.265	1680850	EUR	
13/04/2015 00:00	63.42	63.547	62.855	63.42	1556238	EUR	
14/04/2015 00:00	63.664	63.664	62.787	63.138	1699260	EUR	
15/04/2015 00:00	62.826	64.755	62.183	64.589	3286252	EUR	
16/04/2015 00:00	64.58	65.203	64.336	65.067	2801824	EUR	
17/04/2015 00:00	64.881	65.261	64.209	64.365	3292344	EUR	
20/04/2015 00:00	64.248	64.618	64.083	64.375	1800022	EUR	
21/04/2015 00:00	64.2	64.765	63.839	64.502	2132243	EUR	
22/04/2015 00:00	64.521	65.067	64.258	65.067	2484428	EUR	
23/04/2015 00:00	65.32	65.437	64.112	65.057	2173590	EUR	
24/04/2015 00:00	65.515	65.631	64.716	65.242	1691716	EUR	
27/04/2015 00:00	65.271	65.982	64.433	65.729	1885009	EUR	
28/04/2015 00:00	65.222	65.281	64.092	64.648	1598289	EUR	
29/04/2015 00:00	64.541	64.852	62.709	62.709	2413090	EUR	
30/04/2015 00:00	62.466	63.05	62.076	62.836	2327344	EUR	
04/05/2015 00:00	62.855	63.771	62.534	63.284	1189567	EUR	
05/05/2015 00:00	63.605	63.878	62.018	62.028	1801883	EUR	
06/05/2015 00:00	62.222	62.992	61.618	62.271	1884148	EUR	
07/05/2015 00:00	60.167	60.829	59.446	60.527	2741254	EUR	
08/05/2015 00:00	61.268	62.417	60.898	62.232	1864807	EUR	
11/05/2015 00:00	62.164	62.164	61.073	61.277	1563405	EUR	
12/05/2015 00:00	60.937	60.937	59.963	60.557	2278745	EUR	
13/05/2015 00:00	60.752	61.151	60.118	60.401	1743071	EUR	
14/05/2015 00:00	60.245	61.424	59.651	61.18	1259368	EUR	
15/05/2015 00:00	61.297	61.745	60.411	60.888	1896307	EUR	
18/05/2015 00:00	60.81	61.131	60.031	61.131	1026245	EUR	
19/05/2015 00:00	61.375	62.553	61.375	61.93	1819578	EUR	
20/05/2015 00:00	61.823	62.203	61.463	61.95	1338405	EUR	
21/05/2015 00:00	61.901	61.901	61.307	61.638	1299519	EUR	
22/05/2015 00:00	61.56	62.222	61.336	61.959	1093727	EUR	
25/05/2015 00:00	62.203	62.203	61.579	61.969	160288	EUR	
26/05/2015 00:00	62.339	62.544	61.326	61.872	1881755	EUR	
27/05/2015 00:00	62.047	62.816	61.735	62.651	1691318	EUR	
28/05/2015 00:00	62.291	62.855	61.998	62.505	1385669	EUR	
29/05/2015 00:00	62.476	62.68	60.907	60.907	2637406	EUR	
01/06/2015 00:00	60.868	61.862	60.781	61.579	1459650	EUR	
02/06/2015 00:00	61.95	61.95	60.664	60.956	1741531	EUR	
03/06/2015 00:00	61.141	62.417	60.722	61.414	1818062	EUR	
04/06/2015 00:00	61.053	61.424	59.777	60.761	1988411	EUR	
05/06/2015 00:00	60.459	60.527	59.505	59.583	1916270	EUR	
08/06/2015 00:00	59.67	59.953	59.018	59.213	1484295	EUR	
09/06/2015 00:00	59.144	59.631	58.511	58.901	2425253	EUR	
10/06/2015 00:00	58.638	60.05	58.287	59.729	2127182	EUR	
11/06/2015 00:00	59.719	60.81	59.359	59.982	1897572	EUR	
12/06/2015 00:00	59.953	59.953	58.453	59.105	1781866	EUR	
15/06/2015 00:00	58.599	59.193	58.336	58.774	1656451	EUR	
16/06/2015 00:00	58.404	59.524	58.258	59.261	1511413	EUR	
17/06/2015 00:00	59.505	59.583	58.141	58.453	1463403	EUR	
18/06/2015 00:00	58.17	58.248	57.303	57.975	2668366	EUR	
19/06/2015 00:00	58.073	58.424	57.518	57.576	3333501	EUR	
22/06/2015 00:00	58.862	59.251	58.005	59.037	2556160	EUR	
23/06/2015 00:00	59.524	59.982	59.086	59.378	1905755	EUR	
24/06/2015 00:00	59.524	59.641	58.648	58.901	1785746	EUR	
25/06/2015 00:00	58.268	59.553	58.248	58.998	1707270	EUR	
26/06/2015 00:00	58.774	59.777	58.54	59.086	1574794	EUR	
29/06/2015 00:00	57.235	58.424	56.807	57.537	2731265	EUR	
30/06/2015 00:00	57.381	57.917	56.485	56.485	3338547	EUR	
01/07/2015 00:00	57.001	58.053	56.475	57.664	2594365	EUR	
02/07/2015 00:00	57.956	58.161	57.381	57.605	1730740	EUR	
03/07/2015 00:00	57.566	57.771	56.816	57.177	1091338	EUR	
06/07/2015 00:00	56.144	57.177	55.842	56.583	1866279	EUR	
07/07/2015 00:00	56.553	56.885	55.969	56.008	2207835	EUR	
08/07/2015 00:00	56.242	56.797	56.173	56.427	1838068	EUR	
09/07/2015 00:00	56.69	58.092	56.534	57.859	1755664	EUR	
10/07/2015 00:00	59.135	59.592	58.842	59.359	2108060	EUR	
13/07/2015 00:00	60.294	60.586	59.797	60.031	1824177	EUR	
14/07/2015 00:00	59.904	60.596	59.904	60.537	1132891	EUR	
15/07/2015 00:00	59.904	60.274	59.417	60.128	2163368	EUR	
16/07/2015 00:00	60.391	61.521	60.274	61.063	1588530	EUR	
17/07/2015 00:00	60.985	61.063	60.45	60.907	1294615	EUR	
20/07/2015 00:00	60.8	61.56	60.8	61.248	906912	EUR	
21/07/2015 00:00	61.589	61.687	60.625	60.771	1155556	EUR	
22/07/2015 00:00	60.615	61.297	60.605	60.898	1051241	EUR	
23/07/2015 00:00	61.141	61.511	60.255	60.547	1713678	EUR	
24/07/2015 00:00	60.333	60.859	59.446	60.235	1877236	EUR	
27/07/2015 00:00	59.777	59.963	58.735	58.803	1535464	EUR	
28/07/2015 00:00	59.135	59.544	58.696	59.271	1297583	EUR	
29/07/2015 00:00	59.417	59.855	59.203	59.768	1390847	EUR	
30/07/2015 00:00	59.914	59.972	59.407	59.972	1283715	EUR	
31/07/2015 00:00	59.982	60.109	59.388	60.089	1612870	EUR	
03/08/2015 00:00	60.089	61.297	60.001	61.297	1374541	EUR	
04/08/2015 00:00	61.277	61.56	60.927	61.307	1220388	EUR	
05/08/2015 00:00	61.268	61.687	61.122	61.521	1813445	EUR	
06/08/2015 00:00	61.326	61.842	61.161	61.628	834357	EUR	
07/08/2015 00:00	61.667	61.667	60.82	60.927	951110	EUR	
10/08/2015 00:00	61.122	61.268	60.527	61.151	746434	EUR	
11/08/2015 00:00	60.839	60.995	60.021	60.274	1489690	EUR	
12/08/2015 00:00	59.748	59.748	58.083	58.346	2327351	EUR	
13/08/2015 00:00	58.979	59.32	58.735	58.881	1353359	EUR	
14/08/2015 00:00	58.95	59.222	58.404	58.755	1053266	EUR	
17/08/2015 00:00	59.174	59.466	58.005	58.764	937276	EUR	
18/08/2015 00:00	58.609	58.911	58.433	58.57	686296	EUR	
19/08/2015 00:00	58.199	58.346	57.537	57.566	987580	EUR	
20/08/2015 00:00	57.469	57.596	56.485	56.612	1571624	EUR	
21/08/2015 00:00	56.086	56.583	55.131	55.131	2323221	EUR	
24/08/2015 00:00	53.553	54.342	50.388	52.151	4909978	EUR	
25/08/2015 00:00	52.823	54.323	52.492	53.505	3370754	EUR	
26/08/2015 00:00	52.618	53.436	51.79	52.745	2996754	EUR	
27/08/2015 00:00	53.787	54.294	53.339	53.923	2375300	EUR	
28/08/2015 00:00	54.031	54.138	53.281	53.816	1750015	EUR	
31/08/2015 00:00	53.534	53.953	53.222	53.953	1124059	EUR	
01/09/2015 00:00	52.998	53.203	52.141	52.949	2078603	EUR	
02/09/2015 00:00	53.251	53.388	52.511	52.755	1900977	EUR	
03/09/2015 00:00	53.203	53.992	53.047	53.592	1497611	EUR	
04/09/2015 00:00	52.862	53.008	52.014	52.131	2258974	EUR	
07/09/2015 00:00	52.686	52.949	52.014	52.151	1099194	EUR	
08/09/2015 00:00	52.384	53.047	52.268	52.268	1446513	EUR	
09/09/2015 00:00	53.417	53.943	53.095	53.164	2007818	EUR	
10/09/2015 00:00	52.784	53.125	52.375	52.511	1489286	EUR	
11/09/2015 00:00	52.647	52.706	51.761	51.936	1131964	EUR	
14/09/2015 00:00	52.005	52.647	51.722	51.722	1008453	EUR	
15/09/2015 00:00	52.102	52.628	51.508	52.472	1655197	EUR	
16/09/2015 00:00	52.949	53.875	52.667	53.582	1632964	EUR	
17/09/2015 00:00	53.816	54.206	53.573	54.04	1658218	EUR	
18/09/2015 00:00	53.69	53.943	52.716	53.212	3962307	EUR	
21/09/2015 00:00	53.329	54.81	53.232	54.634	2266934	EUR	
22/09/2015 00:00	54.401	54.605	52.92	53.115	1955120	EUR	
23/09/2015 00:00	53.544	54.537	53.193	53.699	2434961	EUR	
24/09/2015 00:00	53.582	53.797	52.053	52.394	2176731	EUR	
25/09/2015 00:00	53.008	54.323	52.891	53.943	1764453	EUR	
28/09/2015 00:00	53.709	53.953	52.949	53.095	1531612	EUR	
29/09/2015 00:00	52.443	53.417	52.287	52.774	2083406	EUR	
