date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	12.213	12.213	12.007	12.067	1765065	EUR	
10/03/2015 00:00	12.047	12.146	12.027	12.045	2187465	EUR	
11/03/2015 00:00	12.067	12.332	12.041	12.288	1876490	EUR	
12/03/2015 00:00	12.304	12.407	12.298	12.334	1432540	EUR	
13/03/2015 00:00	12.351	12.403	12.217	12.357	1164710	EUR	
16/03/2015 00:00	12.371	12.628	12.339	12.545	1595535	EUR	
17/03/2015 00:00	12.589	12.644	12.32	12.45	1317365	EUR	
18/03/2015 00:00	12.468	12.533	12.43	12.502	1227725	EUR	
19/03/2015 00:00	12.464	12.64	12.452	12.523	1394615	EUR	
20/03/2015 00:00	12.521	12.626	12.504	12.567	1918650	EUR	
23/03/2015 00:00	12.575	12.699	12.468	12.561	1453425	EUR	
24/03/2015 00:00	12.541	12.64	12.504	12.553	1478045	EUR	
25/03/2015 00:00	12.535	12.595	12.245	12.258	1207745	EUR	
26/03/2015 00:00	12.229	12.258	11.916	12.258	2097375	EUR	
27/03/2015 00:00	12.276	12.446	12.199	12.324	1413295	EUR	
30/03/2015 00:00	12.403	12.543	12.387	12.517	1089040	EUR	
31/03/2015 00:00	12.547	12.626	12.397	12.484	1872510	EUR	
01/04/2015 00:00	12.294	12.3	12.1	12.203	2415560	EUR	
02/04/2015 00:00	12.183	12.339	12.067	12.197	1717070	EUR	
07/04/2015 00:00	12.3	12.466	12.205	12.426	2125130	EUR	
08/04/2015 00:00	12.407	12.444	12.26	12.26	1534370	EUR	
09/04/2015 00:00	12.225	12.583	12.225	12.553	2241590	EUR	
10/04/2015 00:00	12.638	12.794	12.525	12.6	2284075	EUR	
13/04/2015 00:00	12.642	12.642	12.537	12.632	1420200	EUR	
14/04/2015 00:00	12.644	12.723	12.559	12.634	1804060	EUR	
15/04/2015 00:00	12.614	12.772	12.515	12.533	1708580	EUR	
16/04/2015 00:00	12.563	12.585	12.377	12.417	1447660	EUR	
17/04/2015 00:00	12.539	12.543	12.235	12.328	2253910	EUR	
20/04/2015 00:00	12.304	12.6	12.304	12.6	1783085	EUR	
21/04/2015 00:00	12.693	13.205	12.668	13.204	2609255	EUR	
22/04/2015 00:00	13.207	13.306	12.929	12.978	2804670	EUR	
23/04/2015 00:00	13.081	13.714	13.024	13.656	3634145	EUR	
24/04/2015 00:00	13.682	13.71	13.484	13.708	1975970	EUR	
27/04/2015 00:00	13.84	14.123	13.666	14.06	2225570	EUR	
28/04/2015 00:00	14.022	14.071	13.633	13.731	2543165	EUR	
29/04/2015 00:00	13.741	13.84	13.358	13.362	2390300	EUR	
30/04/2015 00:00	13.328	13.654	13.158	13.603	2689165	EUR	
04/05/2015 00:00	13.694	13.84	13.613	13.67	2179330	EUR	
05/05/2015 00:00	13.686	13.801	13.47	13.48	2414690	EUR	
06/05/2015 00:00	13.463	13.538	13.281	13.336	2204630	EUR	
07/05/2015 00:00	13.306	13.447	13.219	13.425	2320435	EUR	
08/05/2015 00:00	13.532	13.662	13.409	13.642	1373365	EUR	
11/05/2015 00:00	13.623	13.682	13.5	13.664	1411705	EUR	
12/05/2015 00:00	13.757	13.979	13.565	13.646	2007905	EUR	
13/05/2015 00:00	13.585	13.814	13.546	13.591	1439345	EUR	
14/05/2015 00:00	13.589	13.878	13.524	13.836	1416240	EUR	
15/05/2015 00:00	13.89	13.943	13.67	13.708	1063620	EUR	
18/05/2015 00:00	13.747	13.844	13.652	13.83	1184845	EUR	
19/05/2015 00:00	13.838	14.095	13.838	14.068	1274380	EUR	
20/05/2015 00:00	14.068	14.281	14.054	14.19	1869815	EUR	
21/05/2015 00:00	14.139	14.33	14.121	14.291	1659210	EUR	
22/05/2015 00:00	14.289	14.344	14.131	14.259	1558785	EUR	
25/05/2015 00:00	14.285	14.315	14.115	14.166	535450	EUR	
26/05/2015 00:00	14.208	14.376	14.103	14.208	1559220	EUR	
27/05/2015 00:00	14.208	14.291	14.147	14.253	1540220	EUR	
28/05/2015 00:00	14.311	14.433	14.186	14.22	1556495	EUR	
29/05/2015 00:00	14.242	14.299	14.03	14.071	2665490	EUR	
01/06/2015 00:00	14.095	14.182	13.994	14.117	1373760	EUR	
02/06/2015 00:00	14.137	14.186	14.004	14.097	1441425	EUR	
03/06/2015 00:00	14.056	14.071	13.933	13.973	1250915	EUR	
04/06/2015 00:00	13.951	13.953	13.621	13.854	1655135	EUR	
05/06/2015 00:00	13.832	13.832	13.627	13.652	1287930	EUR	
08/06/2015 00:00	13.672	13.676	13.425	13.425	1344550	EUR	
09/06/2015 00:00	13.415	13.54	13.271	13.498	1099395	EUR	
10/06/2015 00:00	13.478	13.542	13.302	13.484	2193215	EUR	
11/06/2015 00:00	13.524	13.712	13.524	13.609	1770065	EUR	
12/06/2015 00:00	13.611	13.666	13.409	13.508	1104175	EUR	
15/06/2015 00:00	13.459	13.508	13.196	13.217	1477185	EUR	
16/06/2015 00:00	13.17	13.417	13.035	13.377	1586220	EUR	
17/06/2015 00:00	13.358	13.439	13.158	13.223	1219215	EUR	
18/06/2015 00:00	13.204	13.271	13.067	13.164	2169590	EUR	
19/06/2015 00:00	13.182	13.316	13.099	13.263	3492665	EUR	
22/06/2015 00:00	13.466	13.65	13.372	13.437	1305265	EUR	
23/06/2015 00:00	13.484	13.619	13.401	13.53	1372730	EUR	
24/06/2015 00:00	13.55	13.575	13.437	13.53	1848505	EUR	
25/06/2015 00:00	13.468	13.674	13.372	13.633	1511820	EUR	
26/06/2015 00:00	13.573	13.633	13.47	13.484	1242150	EUR	
29/06/2015 00:00	13.022	13.364	12.885	13.093	2093045	EUR	
30/06/2015 00:00	13.024	13.162	12.895	12.895	2405980	EUR	
01/07/2015 00:00	12.996	13.306	12.996	13.219	2093720	EUR	
02/07/2015 00:00	13.215	13.308	13.024	13.049	1286575	EUR	
03/07/2015 00:00	13.039	13.198	12.994	13.047	1049210	EUR	
06/07/2015 00:00	12.852	13.101	12.81	13.024	1309135	EUR	
07/07/2015 00:00	13.089	13.111	12.735	12.755	1725600	EUR	
08/07/2015 00:00	12.771	12.911	12.595	12.638	1564115	EUR	
09/07/2015 00:00	12.674	13	12.668	12.929	1567540	EUR	
10/07/2015 00:00	13.126	13.304	13.045	13.259	1552775	EUR	
13/07/2015 00:00	13.322	13.472	13.304	13.47	1074105	EUR	
14/07/2015 00:00	13.476	13.5	13.275	13.397	1021670	EUR	
15/07/2015 00:00	13.415	13.579	13.37	13.55	988390	EUR	
16/07/2015 00:00	13.599	13.753	13.496	13.55	1203325	EUR	
17/07/2015 00:00	13.672	13.7	13.494	13.494	1877625	EUR	
20/07/2015 00:00	13.611	14.068	13.609	13.909	1865025	EUR	
21/07/2015 00:00	13.939	13.971	13.724	13.775	1288305	EUR	
22/07/2015 00:00	13.759	13.894	13.672	13.888	1760710	EUR	
23/07/2015 00:00	14.414	14.414	13.777	13.848	2146605	EUR	
24/07/2015 00:00	13.876	14.257	13.876	14.095	1815445	EUR	
27/07/2015 00:00	14.073	14.236	13.629	13.638	1696570	EUR	
28/07/2015 00:00	13.69	13.741	13.546	13.619	1772050	EUR	
29/07/2015 00:00	13.676	13.741	13.51	13.625	1965900	EUR	
30/07/2015 00:00	13.731	13.783	13.526	13.67	1283430	EUR	
31/07/2015 00:00	13.69	13.718	13.528	13.597	1297780	EUR	
03/08/2015 00:00	13.631	13.783	13.571	13.783	1751550	EUR	
04/08/2015 00:00	13.783	13.854	13.654	13.814	1155910	EUR	
05/08/2015 00:00	13.872	13.905	13.791	13.84	1264325	EUR	
06/08/2015 00:00	13.818	13.899	13.68	13.686	818525	EUR	
07/08/2015 00:00	13.658	13.668	13.488	13.506	823615	EUR	
10/08/2015 00:00	13.542	13.725	13.532	13.688	1259785	EUR	
11/08/2015 00:00	13.704	13.71	13.544	13.567	763380	EUR	
12/08/2015 00:00	13.518	13.553	13.063	13.138	1347150	EUR	
13/08/2015 00:00	13.251	13.395	13.251	13.291	1101755	EUR	
14/08/2015 00:00	13.306	13.463	13.283	13.362	783275	EUR	
17/08/2015 00:00	13.381	13.461	13.16	13.292	841005	EUR	
18/08/2015 00:00	13.291	13.439	13.291	13.358	672585	EUR	
19/08/2015 00:00	13.336	13.352	13.099	13.213	866460	EUR	
20/08/2015 00:00	13.194	13.215	12.844	12.846	960355	EUR	
21/08/2015 00:00	12.703	12.82	12.498	12.512	1143950	EUR	
24/08/2015 00:00	12.183	12.249	11.649	11.964	3003930	EUR	
25/08/2015 00:00	12.092	12.527	12.075	12.466	1917900	EUR	
26/08/2015 00:00	12.363	12.371	12.061	12.11	3421490	EUR	
27/08/2015 00:00	12.304	12.438	12.175	12.231	3022600	EUR	
28/08/2015 00:00	12.256	12.332	12.181	12.278	2838945	EUR	
31/08/2015 00:00	12.249	12.288	12.191	12.237	2700000	EUR	
01/09/2015 00:00	12.128	12.15	11.952	12.045	2729840	EUR	
02/09/2015 00:00	12.035	12.106	11.865	11.92	2197435	EUR	
03/09/2015 00:00	11.997	12.207	11.98	12.13	2017315	EUR	
04/09/2015 00:00	12.11	12.13	11.831	11.847	1698875	EUR	
07/09/2015 00:00	11.974	12.007	11.849	11.986	1277955	EUR	
08/09/2015 00:00	12.029	12.229	12.029	12.098	1584285	EUR	
09/09/2015 00:00	12.278	12.498	12.266	12.296	2065100	EUR	
10/09/2015 00:00	12.245	12.43	12.191	12.32	2493180	EUR	
11/09/2015 00:00	12.367	12.399	12.245	12.262	1949770	EUR	
14/09/2015 00:00	12.28	12.407	12.229	12.26	1586565	EUR	
15/09/2015 00:00	12.278	12.545	12.258	12.486	1947585	EUR	
16/09/2015 00:00	12.506	12.64	12.43	12.51	1527170	EUR	
17/09/2015 00:00	12.529	12.628	12.496	12.589	958305	EUR	
18/09/2015 00:00	12.567	12.581	12.395	12.549	2695505	EUR	
21/09/2015 00:00	12.535	12.79	12.488	12.715	1751975	EUR	
22/09/2015 00:00	12.737	12.822	12.638	12.676	3034860	EUR	
23/09/2015 00:00	12.634	12.733	12.561	12.664	2025345	EUR	
24/09/2015 00:00	12.674	12.772	12.565	12.583	2906815	EUR	
25/09/2015 00:00	12.763	13.162	12.727	13.105	2176115	EUR	
28/09/2015 00:00	13.041	13.237	12.933	12.937	2282530	EUR	
29/09/2015 00:00	12.772	12.875	12.658	12.693	1806255	EUR	
30/09/2015 00:00	12.863	13.18	12.804	13.049	2151885	EUR	
01/10/2015 00:00	13.184	13.202	13.018	13.049	1964820	EUR	
02/10/2015 00:00	13.17	13.251	12.996	13.144	1157545	EUR	
05/10/2015 00:00	13.344	13.472	13.334	13.427	1186510	EUR	
06/10/2015 00:00	13.399	13.583	13.385	13.512	1099225	EUR	
07/10/2015 00:00	13.583	13.593	13.207	13.247	1749895	EUR	
08/10/2015 00:00	13.209	13.366	13.144	13.249	1271050	EUR	
09/10/2015 00:00	13.292	13.312	13.081	13.13	1269360	EUR	
12/10/2015 00:00	13.15	13.231	13.081	13.211	1174580	EUR	
13/10/2015 00:00	13.287	13.445	13.229	13.348	1451250	EUR	
14/10/2015 00:00	13.241	13.31	13.204	13.298	1116770	EUR	
15/10/2015 00:00	13.403	13.943	13.287	13.779	1918670	EUR	
16/10/2015 00:00	13.801	14.032	13.771	13.81	1113080	EUR	
19/10/2015 00:00	13.777	13.939	13.751	13.822	1228180	EUR	
20/10/2015 00:00	13.816	13.911	13.797	13.86	972325	EUR	
21/10/2015 00:00	13.876	13.996	13.84	13.894	1503035	EUR	
22/10/2015 00:00	13.824	13.848	13.36	13.635	2627930	EUR	
