date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	23.316	23.363	22.909	22.924	517184	EUR	
10/03/2015 00:00	22.924	23.009	22.475	22.489	545540	EUR	
11/03/2015 00:00	22.541	22.706	22.432	22.697	680009	EUR	
12/03/2015 00:00	22.706	23.193	22.706	23.193	880919	EUR	
13/03/2015 00:00	23.174	23.458	23.004	23.004	592422	EUR	
16/03/2015 00:00	22.985	23.018	22.087	22.328	884308	EUR	
17/03/2015 00:00	22.333	22.366	22.021	22.101	642659	EUR	
18/03/2015 00:00	22.101	22.253	21.997	22.078	739626	EUR	
19/03/2015 00:00	22.087	22.451	22.007	22.352	629775	EUR	
20/03/2015 00:00	22.399	22.692	22.328	22.593	547737	EUR	
23/03/2015 00:00	22.569	22.588	22.097	22.229	432091	EUR	
24/03/2015 00:00	22.21	22.418	21.988	22.394	589162	EUR	
25/03/2015 00:00	22.385	22.423	21.856	22.002	589497	EUR	
26/03/2015 00:00	21.974	22.38	21.279	22.38	994370	EUR	
27/03/2015 00:00	22.376	22.541	22.139	22.489	584933	EUR	
30/03/2015 00:00	22.47	22.909	22.366	22.409	565151	EUR	
31/03/2015 00:00	22.409	22.517	21.714	21.941	1031527	EUR	
01/04/2015 00:00	21.912	22.371	21.643	22.3	894182	EUR	
02/04/2015 00:00	22.177	22.191	21.402	21.738	978036	EUR	
07/04/2015 00:00	21.738	22.116	21.686	22.106	633272	EUR	
08/04/2015 00:00	22.106	22.413	21.837	22.29	522541	EUR	
09/04/2015 00:00	22.215	22.909	22.215	22.872	899831	EUR	
10/04/2015 00:00	22.891	23.226	22.829	23.051	705402	EUR	
13/04/2015 00:00	23.051	23.231	22.839	22.961	667657	EUR	
14/04/2015 00:00	22.961	22.961	22.683	22.881	505018	EUR	
15/04/2015 00:00	23.061	23.505	22.881	23.392	880857	EUR	
16/04/2015 00:00	23.297	23.84	23.108	23.637	884317	EUR	
17/04/2015 00:00	23.59	23.694	23.132	23.184	745744	EUR	
20/04/2015 00:00	23.155	23.264	22.905	22.985	618331	EUR	
21/04/2015 00:00	23.018	23.486	23.018	23.467	661196	EUR	
22/04/2015 00:00	23.486	23.566	23.084	23.146	753228	EUR	
23/04/2015 00:00	23.15	23.269	22.848	23.061	570334	EUR	
24/04/2015 00:00	23.08	23.387	23.032	23.113	519129	EUR	
27/04/2015 00:00	23.132	23.136	22.744	22.971	766161	EUR	
28/04/2015 00:00	22.943	22.943	22.565	22.725	719936	EUR	
29/04/2015 00:00	22.824	22.961	22.3	22.385	695869	EUR	
30/04/2015 00:00	22.39	22.64	21.997	22.593	837097	EUR	
04/05/2015 00:00	22.635	23.231	22.612	23.018	558005	EUR	
05/05/2015 00:00	23.061	23.443	22.697	22.697	575741	EUR	
06/05/2015 00:00	22.697	22.82	22.446	22.678	611592	EUR	
07/05/2015 00:00	22.659	22.772	22.508	22.678	614755	EUR	
08/05/2015 00:00	22.853	23.132	22.754	22.81	676830	EUR	
11/05/2015 00:00	22.81	23.084	22.749	23.028	537158	EUR	
12/05/2015 00:00	22.305	22.371	21.927	21.974	736915	EUR	
13/05/2015 00:00	22.021	22.342	21.898	22.191	766825	EUR	
14/05/2015 00:00	22.196	22.333	22.021	22.21	367184	EUR	
15/05/2015 00:00	22.257	22.376	22.158	22.158	508934	EUR	
18/05/2015 00:00	21.738	21.761	21.336	21.752	1219166	EUR	
19/05/2015 00:00	21.827	22.238	21.719	21.842	954130	EUR	
20/05/2015 00:00	21.832	21.86	21.671	21.813	434203	EUR	
21/05/2015 00:00	21.813	22.409	21.7	22.319	752835	EUR	
22/05/2015 00:00	22.281	22.451	22.201	22.371	408613	EUR	
25/05/2015 00:00	22.305	22.427	22.281	22.357	113057	EUR	
26/05/2015 00:00	22.342	22.423	22.139	22.153	355755	EUR	
27/05/2015 00:00	22.139	22.3	22.078	22.153	487182	EUR	
28/05/2015 00:00	22.139	22.21	22.007	22.083	359663	EUR	
29/05/2015 00:00	22.059	22.144	21.733	21.738	473150	EUR	
01/06/2015 00:00	21.723	21.738	21.463	21.463	428870	EUR	
02/06/2015 00:00	21.506	21.506	21.052	21.194	921955	EUR	
03/06/2015 00:00	21.265	21.652	21.194	21.586	743010	EUR	
04/06/2015 00:00	21.549	21.586	21.251	21.43	643441	EUR	
05/06/2015 00:00	21.383	21.383	21.147	21.156	438274	EUR	
08/06/2015 00:00	21.17	21.308	21.119	21.147	606407	EUR	
09/06/2015 00:00	21.133	21.775	21.076	21.7	930091	EUR	
10/06/2015 00:00	21.667	22.012	21.577	21.955	624659	EUR	
11/06/2015 00:00	21.879	22.111	21.752	21.785	767657	EUR	
12/06/2015 00:00	21.761	21.856	21.194	21.289	534781	EUR	
15/06/2015 00:00	21.17	21.274	21.01	21.033	459635	EUR	
16/06/2015 00:00	21.005	21.166	20.807	21.166	484416	EUR	
17/06/2015 00:00	21.147	21.241	20.92	20.939	494349	EUR	
18/06/2015 00:00	20.887	20.944	20.585	20.826	551778	EUR	
19/06/2015 00:00	20.868	21.071	20.707	20.707	1186212	EUR	
22/06/2015 00:00	21.005	21.237	20.901	21.076	666235	EUR	
23/06/2015 00:00	21.189	21.459	21.137	21.374	626274	EUR	
24/06/2015 00:00	21.383	21.591	21.312	21.478	544295	EUR	
25/06/2015 00:00	21.317	21.686	21.317	21.482	582196	EUR	
26/06/2015 00:00	21.454	21.719	21.147	21.497	680780	EUR	
29/06/2015 00:00	20.953	21.227	20.84	21.137	759988	EUR	
30/06/2015 00:00	21.076	21.208	20.934	20.948	994949	EUR	
01/07/2015 00:00	21.076	21.256	20.873	21.222	590992	EUR	
02/07/2015 00:00	21.293	21.317	20.802	20.859	592369	EUR	
03/07/2015 00:00	20.873	20.887	20.637	20.712	518650	EUR	
06/07/2015 00:00	20.414	20.585	20.334	20.466	695525	EUR	
07/07/2015 00:00	20.863	21.204	20.518	20.57	799812	EUR	
08/07/2015 00:00	20.509	20.646	20.438	20.608	684151	EUR	
09/07/2015 00:00	20.627	21.123	20.627	20.929	415178	EUR	
10/07/2015 00:00	21.17	21.208	20.958	21.024	538914	EUR	
13/07/2015 00:00	21.1	21.393	21.033	21.378	643503	EUR	
14/07/2015 00:00	21.393	21.648	21.289	21.61	390819	EUR	
15/07/2015 00:00	21.61	22.007	21.577	21.785	595818	EUR	
16/07/2015 00:00	21.813	22.536	21.747	22.498	619267	EUR	
17/07/2015 00:00	22.56	22.862	22.541	22.664	632289	EUR	
20/07/2015 00:00	22.607	22.739	22.47	22.659	767815	EUR	
21/07/2015 00:00	22.659	22.985	22.498	22.659	599314	EUR	
22/07/2015 00:00	22.574	22.635	22.319	22.517	530383	EUR	
23/07/2015 00:00	22.583	22.659	22.031	22.309	671669	EUR	
24/07/2015 00:00	22.309	23.009	22.286	22.333	1334259	EUR	
27/07/2015 00:00	22.324	22.324	21.624	21.629	947355	EUR	
28/07/2015 00:00	21.629	21.785	21.454	21.723	643926	EUR	
29/07/2015 00:00	21.738	21.738	21.222	21.36	1035662	EUR	
30/07/2015 00:00	21.407	21.582	21.246	21.534	745270	EUR	
31/07/2015 00:00	21.563	21.615	21.175	21.468	580845	EUR	
03/08/2015 00:00	21.454	21.667	21.336	21.473	564662	EUR	
04/08/2015 00:00	21.497	21.695	21.274	21.648	600116	EUR	
05/08/2015 00:00	21.667	21.813	21.525	21.785	473785	EUR	
06/08/2015 00:00	21.714	22.101	21.709	21.766	714485	EUR	
