date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	18.82	18.85	18.675	18.8	6027940	EUR	
10/03/2015 00:00	18.85	18.945	18.405	18.44	6450273	EUR	
11/03/2015 00:00	18.44	18.58	18.44	18.54	6975415	EUR	
12/03/2015 00:00	18.515	18.755	18.21	18.23	8351305	EUR	
13/03/2015 00:00	18.285	18.295	18.14	18.23	6377246	EUR	
16/03/2015 00:00	18.33	18.565	18.26	18.485	6831681	EUR	
17/03/2015 00:00	18.565	18.84	18.495	18.69	9438837	EUR	
18/03/2015 00:00	18.6	18.94	18.535	18.85	9119604	EUR	
19/03/2015 00:00	18.865	18.91	18.655	18.83	6324928	EUR	
20/03/2015 00:00	18.89	19.07	18.785	19	10735320	EUR	
23/03/2015 00:00	18.925	18.95	18.785	18.895	5065404	EUR	
24/03/2015 00:00	18.84	19.055	18.79	18.97	5113196	EUR	
25/03/2015 00:00	18.97	19.035	18.835	18.87	5008908	EUR	
26/03/2015 00:00	18.8	18.915	18.495	18.645	6411025	EUR	
27/03/2015 00:00	18.71	18.8	18.56	18.77	3743758	EUR	
30/03/2015 00:00	18.8	18.9	18.645	18.705	5760860	EUR	
31/03/2015 00:00	18.645	18.835	18.405	18.405	6826768	EUR	
01/04/2015 00:00	18.35	18.795	18.33	18.54	6217656	EUR	
02/04/2015 00:00	18.625	18.635	18.47	18.505	3874679	EUR	
07/04/2015 00:00	18.695	19.565	18.635	19.4	9911974	EUR	
08/04/2015 00:00	19.435	19.73	19.21	19.245	6397304	EUR	
09/04/2015 00:00	19.265	19.32	19.11	19.275	4536615	EUR	
10/04/2015 00:00	19.35	19.355	19.095	19.265	5276149	EUR	
13/04/2015 00:00	19.245	19.375	19.13	19.245	4516295	EUR	
14/04/2015 00:00	19.24	19.33	18.99	19.145	6113814	EUR	
15/04/2015 00:00	19.115	19.48	19.09	19.365	5545620	EUR	
16/04/2015 00:00	19.415	19.58	19.25	19.47	4739198	EUR	
17/04/2015 00:00	19.51	19.6	19.125	19.315	7178122	EUR	
20/04/2015 00:00	19.345	19.465	19.22	19.385	3842962	EUR	
21/04/2015 00:00	19.515	19.6	19.24	19.3	3690820	EUR	
22/04/2015 00:00	19.3	19.39	18.97	19.095	4072727	EUR	
23/04/2015 00:00	19.055	19.1	18.72	18.92	5536528	EUR	
24/04/2015 00:00	18.95	19.305	18.92	19.29	5548434	EUR	
27/04/2015 00:00	19.23	19.685	19.14	19.51	7828968	EUR	
28/04/2015 00:00	19.42	19.53	19.18	19.315	5740889	EUR	
29/04/2015 00:00	19.325	19.445	18.705	18.735	7090385	EUR	
30/04/2015 00:00	18.35	18.365	18.1	18.205	8924436	EUR	
04/05/2015 00:00	18.21	18.255	18.035	18.035	6395758	EUR	
05/05/2015 00:00	18.09	18.31	17.725	17.775	10677191	EUR	
06/05/2015 00:00	17.755	18.105	17.705	17.985	9745479	EUR	
07/05/2015 00:00	17.965	18.08	17.75	17.945	8225916	EUR	
08/05/2015 00:00	18.035	18.525	17.98	18.525	6861357	EUR	
11/05/2015 00:00	18.565	18.58	18.255	18.4	4449419	EUR	
12/05/2015 00:00	18.2	18.315	17.99	18.25	6883755	EUR	
13/05/2015 00:00	18.38	18.385	17.72	17.795	13046058	EUR	
14/05/2015 00:00	17.7	17.975	17.495	17.875	5922454	EUR	
15/05/2015 00:00	17.97	18.015	17.73	17.825	5996975	EUR	
18/05/2015 00:00	17.865	18	17.57	17.8	4509982	EUR	
19/05/2015 00:00	17.945	18.335	17.92	18.275	7845408	EUR	
20/05/2015 00:00	18.5	18.685	18.375	18.64	6646345	EUR	
21/05/2015 00:00	18.595	18.695	18.395	18.66	4107205	EUR	
22/05/2015 00:00	18.675	18.785	18.605	18.725	5007920	EUR	
25/05/2015 00:00	18.71	18.725	18.35	18.5	2164119	EUR	
26/05/2015 00:00	18.54	18.685	18.32	18.42	5486790	EUR	
27/05/2015 00:00	18.515	18.905	18.38	18.875	5702211	EUR	
28/05/2015 00:00	18.8	18.895	18.62	18.83	4727760	EUR	
29/05/2015 00:00	18.83	18.85	18.375	18.375	6744359	EUR	
01/06/2015 00:00	18.47	18.525	18.205	18.24	3864796	EUR	
02/06/2015 00:00	18.305	18.33	17.96	18.085	5551121	EUR	
03/06/2015 00:00	18.15	18.4	17.98	18.11	5207185	EUR	
04/06/2015 00:00	18	18.05	17.68	17.835	7008178	EUR	
05/06/2015 00:00	17.775	17.85	17.605	17.635	4684236	EUR	
08/06/2015 00:00	17.6	17.655	17.355	17.39	5152388	EUR	
09/06/2015 00:00	17.37	17.385	16.95	17.265	10527425	EUR	
10/06/2015 00:00	17.19	17.635	17.145	17.53	8584905	EUR	
11/06/2015 00:00	17.415	17.795	17.305	17.52	7249021	EUR	
12/06/2015 00:00	17.46	17.515	16.925	17.16	8425373	EUR	
15/06/2015 00:00	17	17.125	16.805	16.89	5157754	EUR	
16/06/2015 00:00	16.785	16.975	16.65	16.91	6829054	EUR	
17/06/2015 00:00	16.95	17.07	16.77	16.915	5745136	EUR	
18/06/2015 00:00	16.875	17.075	16.65	17.06	6035171	EUR	
19/06/2015 00:00	17.02	17.33	16.955	17.07	13374881	EUR	
22/06/2015 00:00	17.5	17.72	17.29	17.655	9028534	EUR	
23/06/2015 00:00	17.945	17.985	17.67	17.785	7709109	EUR	
24/06/2015 00:00	17.82	17.88	17.53	17.73	5458051	EUR	
25/06/2015 00:00	17.65	17.96	17.495	17.605	6953236	EUR	
26/06/2015 00:00	17.35	17.575	17.23	17.49	7211804	EUR	
29/06/2015 00:00	16.84	17.15	16.66	16.85	8411886	EUR	
30/06/2015 00:00	16.8	17.07	16.64	16.64	10846002	EUR	
01/07/2015 00:00	16.885	17.07	16.63	16.73	10838825	EUR	
02/07/2015 00:00	16.815	17.14	16.79	16.97	7614765	EUR	
03/07/2015 00:00	17.02	17.045	16.6	16.72	5974132	EUR	
06/07/2015 00:00	16.46	16.685	16.28	16.32	8013807	EUR	
07/07/2015 00:00	16.415	16.44	16.08	16.11	8995575	EUR	
08/07/2015 00:00	16.14	16.42	16.09	16.3	7232544	EUR	
09/07/2015 00:00	16.41	16.84	16.36	16.73	6324810	EUR	
10/07/2015 00:00	17.075	17.31	16.95	17.25	6779728	EUR	
13/07/2015 00:00	17.54	17.605	17.395	17.475	5929273	EUR	
14/07/2015 00:00	17.38	17.575	17.335	17.575	4018868	EUR	
15/07/2015 00:00	17.6	17.68	17.505	17.625	4916109	EUR	
