date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	102.247	103.077	101.271	102.101	391717	EUR	
10/03/2015 00:00	102.101	102.638	101.125	102.198	375027	EUR	
11/03/2015 00:00	102.833	104.346	102.833	104.102	527087	EUR	
12/03/2015 00:00	103.955	104.639	103.809	104.199	391225	EUR	
13/03/2015 00:00	104.443	105.224	103.175	104.932	401034	EUR	
16/03/2015 00:00	104.98	106.689	104.932	106.249	454398	EUR	
17/03/2015 00:00	106.298	106.737	104.297	104.639	427114	EUR	
18/03/2015 00:00	104.59	105.371	104.004	104.834	450677	EUR	
19/03/2015 00:00	104.297	105.42	103.467	104.492	502584	EUR	
20/03/2015 00:00	104.492	106.005	104.492	105.761	807061	EUR	
23/03/2015 00:00	105.566	105.566	103.565	105.029	334436	EUR	
24/03/2015 00:00	104.883	105.81	104.688	105.566	337579	EUR	
25/03/2015 00:00	105.127	105.517	102.784	102.784	563445	EUR	
26/03/2015 00:00	102.296	102.491	100.149	102.101	757299	EUR	
27/03/2015 00:00	102.784	104.053	102.442	103.76	532739	EUR	
30/03/2015 00:00	103.907	105.517	103.809	104.785	384199	EUR	
31/03/2015 00:00	104.443	106.396	103.76	104.248	563593	EUR	
01/04/2015 00:00	104.102	106.445	103.614	104.688	590032	EUR	
02/04/2015 00:00	104.834	106.298	104.492	106.298	435615	EUR	
07/04/2015 00:00	107.274	108.153	106.347	107.86	518761	EUR	
08/04/2015 00:00	107.957	108.25	106.981	107.518	476159	EUR	
09/04/2015 00:00	107.665	108.787	107.616	108.787	396389	EUR	
10/04/2015 00:00	108.982	110.349	108.836	110.349	455074	EUR	
13/04/2015 00:00	110.447	110.593	109.08	110.447	483052	EUR	
14/04/2015 00:00	110.349	110.642	109.275	110.154	418411	EUR	
15/04/2015 00:00	111.13	111.471	109.763	110.056	488924	EUR	
16/04/2015 00:00	109.226	109.568	107.713	109.422	434483	EUR	
17/04/2015 00:00	108.836	109.519	106.493	106.64	672229	EUR	
20/04/2015 00:00	106.835	108.641	106.786	108.592	487365	EUR	
21/04/2015 00:00	108.592	110.007	108.006	109.031	706982	EUR	
22/04/2015 00:00	110.837	112.106	110.349	110.886	659187	EUR	
23/04/2015 00:00	110.739	111.276	109.519	110.251	753047	EUR	
24/04/2015 00:00	110.788	111.471	109.422	111.276	466234	EUR	
27/04/2015 00:00	111.179	113.033	109.275	112.155	487342	EUR	
28/04/2015 00:00	111.618	112.008	108.006	109.178	472857	EUR	
29/04/2015 00:00	109.324	110.251	105.468	105.468	610039	EUR	
30/04/2015 00:00	105.712	107.323	102.638	106.152	696655	EUR	
04/05/2015 00:00	106.005	108.104	105.127	107.665	444793	EUR	
05/05/2015 00:00	107.909	109.568	104.395	104.395	643633	EUR	
06/05/2015 00:00	104.736	105.566	102.979	104.736	548090	EUR	
07/05/2015 00:00	104.248	104.834	101.906	104.248	740155	EUR	
08/05/2015 00:00	104.98	109.08	104.59	108.885	753957	EUR	
11/05/2015 00:00	108.934	108.934	106.64	107.128	443977	EUR	
12/05/2015 00:00	106.64	106.786	103.907	105.078	578740	EUR	
13/05/2015 00:00	105.468	106.835	103.419	103.76	438794	EUR	
14/05/2015 00:00	103.321	106.493	102.686	106.298	342469	EUR	
15/05/2015 00:00	107.03	107.372	105.029	106.249	561847	EUR	
18/05/2015 00:00	106.2	107.03	104.248	106.298	401885	EUR	
19/05/2015 00:00	105.956	108.592	105.956	108.201	486475	EUR	
20/05/2015 00:00	108.446	108.787	107.079	108.69	339137	EUR	
21/05/2015 00:00	108.153	108.982	107.372	108.787	304005	EUR	
22/05/2015 00:00	109.178	110.642	108.397	110.642	527380	EUR	
25/05/2015 00:00	110.642	110.935	109.275	110.007	110787	EUR	
26/05/2015 00:00	110.3	111.081	108.934	109.373	546680	EUR	
27/05/2015 00:00	110.203	111.227	109.324	111.081	466695	EUR	
28/05/2015 00:00	110.495	111.618	110.495	110.983	436806	EUR	
29/05/2015 00:00	111.325	111.471	108.446	108.494	849591	EUR	
01/06/2015 00:00	108.738	110.105	108.201	108.69	437088	EUR	
02/06/2015 00:00	109.617	109.617	107.225	107.762	550102	EUR	
03/06/2015 00:00	108.006	110.056	107.274	108.885	466934	EUR	
04/06/2015 00:00	108.153	109.568	105.664	108.348	522437	EUR	
05/06/2015 00:00	107.469	107.469	105.566	106.152	462538	EUR	
08/06/2015 00:00	105.859	106.445	104.932	105.078	432310	EUR	
09/06/2015 00:00	104.932	104.98	102.54	103.711	606361	EUR	
10/06/2015 00:00	103.272	106.396	102.638	106.2	515913	EUR	
11/06/2015 00:00	105.81	108.397	105.42	106.981	483830	EUR	
12/06/2015 00:00	106.591	107.616	104.443	105.322	534141	EUR	
15/06/2015 00:00	104.199	104.736	102.54	102.589	648160	EUR	
16/06/2015 00:00	102.394	104.053	101.418	103.809	696340	EUR	
17/06/2015 00:00	104.151	104.151	101.906	102.394	635911	EUR	
18/06/2015 00:00	102.198	103.467	100.539	103.37	601151	EUR	
19/06/2015 00:00	103.467	105.517	102.882	103.711	893816	EUR	
22/06/2015 00:00	105.956	107.762	105.664	107.567	786391	EUR	
23/06/2015 00:00	108.69	109.714	108.104	109.08	580272	EUR	
24/06/2015 00:00	108.934	109.763	107.567	109.373	569733	EUR	
25/06/2015 00:00	108.006	110.154	107.909	109.324	684818	EUR	
