date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	25.04	25.08	24.505	24.955	127500	EUR	
10/03/2015 00:00	25.095	25.25	25.005	25.15	157680	EUR	
11/03/2015 00:00	25.23	25.71	25.18	25.68	231290	EUR	
12/03/2015 00:00	25.78	25.78	25.385	25.55	110720	EUR	
13/03/2015 00:00	25.78	25.965	25.39	25.74	142180	EUR	
16/03/2015 00:00	25.705	25.86	25.505	25.675	175880	EUR	
17/03/2015 00:00	25.675	25.855	24.59	25.305	173970	EUR	
18/03/2015 00:00	25.3	25.55	25.045	25.23	114650	EUR	
19/03/2015 00:00	25.23	25.72	25.16	25.715	136760	EUR	
20/03/2015 00:00	25.695	26.115	25.07	25.07	250650	EUR	
23/03/2015 00:00	25.06	25.295	24.86	25.215	111630	EUR	
24/03/2015 00:00	25.12	25.195	24.75	25.05	118660	EUR	
25/03/2015 00:00	25.02	25.125	24.725	24.815	76080	EUR	
26/03/2015 00:00	24.7	24.725	23.51	24.425	143440	EUR	
27/03/2015 00:00	24.29	24.695	24.21	24.5	100720	EUR	
30/03/2015 00:00	24.5	25.105	24.45	25.025	147950	EUR	
31/03/2015 00:00	25.305	25.485	24.94	25.075	167100	EUR	
01/04/2015 00:00	24.85	25.29	24.75	25.065	111350	EUR	
02/04/2015 00:00	25.15	25.66	25.13	25.585	130950	EUR	
07/04/2015 00:00	25.585	25.69	25.125	25.66	164010	EUR	
08/04/2015 00:00	25.69	25.755	25.295	25.705	166050	EUR	
09/04/2015 00:00	25.795	26.62	25.73	26.125	210300	EUR	
10/04/2015 00:00	26.405	26.755	26.24	26.755	114230	EUR	
13/04/2015 00:00	26.59	26.7	26.195	26.5	142050	EUR	
14/04/2015 00:00	26.315	26.475	26.14	26.295	105070	EUR	
15/04/2015 00:00	26.67	27.265	26.175	26.33	142890	EUR	
16/04/2015 00:00	26.68	26.68	26.01	26.56	121350	EUR	
17/04/2015 00:00	26.17	26.55	25.87	25.9	162690	EUR	
20/04/2015 00:00	25.765	26.42	25.765	26.17	79660	EUR	
21/04/2015 00:00	26.25	26.69	26.25	26.38	125030	EUR	
22/04/2015 00:00	26.34	26.67	26.115	26.275	76970	EUR	
23/04/2015 00:00	26.28	26.38	26.105	26.22	98580	EUR	
24/04/2015 00:00	26.205	26.865	26.11	26.575	106490	EUR	
27/04/2015 00:00	26.575	26.7	26.1	26.455	125170	EUR	
28/04/2015 00:00	26.45	26.45	25.525	25.685	105150	EUR	
29/04/2015 00:00	25.72	26.09	24.855	24.89	106910	EUR	
30/04/2015 00:00	25.04	25.295	24.555	25.17	147050	EUR	
04/05/2015 00:00	25.655	25.655	25.2	25.37	114580	EUR	
05/05/2015 00:00	25.4	25.62	25.24	25.36	147200	EUR	
06/05/2015 00:00	25.24	25.335	24.905	25.14	164760	EUR	
07/05/2015 00:00	24.87	25.8	24.665	25.03	213100	EUR	
08/05/2015 00:00	25.57	26.15	25.255	26.01	132350	EUR	
11/05/2015 00:00	26.755	26.94	26.35	26.66	177760	EUR	
12/05/2015 00:00	26.36	26.645	25.77	26.145	158080	EUR	
13/05/2015 00:00	26.145	26.485	25.81	26.08	145310	EUR	
14/05/2015 00:00	26.175	26.59	25.865	26.57	57960	EUR	
15/05/2015 00:00	26.75	27.06	26.635	26.865	88810	EUR	
18/05/2015 00:00	27	27.105	26.67	27.105	80040	EUR	
19/05/2015 00:00	27.08	27.64	27.03	27.625	115940	EUR	
20/05/2015 00:00	27.7	27.99	27.57	27.95	114800	EUR	
21/05/2015 00:00	27.8	27.965	27.4	27.865	115440	EUR	
22/05/2015 00:00	27.9	28.11	27.76	27.935	86710	EUR	
25/05/2015 00:00	28	28.085	27.8	27.905	16450	EUR	
26/05/2015 00:00	27.91	28.05	27.585	27.825	48950	EUR	
27/05/2015 00:00	28.085	28.54	27.8	28.355	124910	EUR	
28/05/2015 00:00	28.4	28.585	28.24	28.445	98470	EUR	
29/05/2015 00:00	28.425	28.45	27.61	27.71	136450	EUR	
01/06/2015 00:00	28.18	28.315	27.81	28.295	91550	EUR	
02/06/2015 00:00	28.2	28.29	27.7	27.99	93710	EUR	
03/06/2015 00:00	27.8	28.41	27.8	28.32	86370	EUR	
04/06/2015 00:00	28.36	28.36	27.635	27.785	137530	EUR	
05/06/2015 00:00	27.62	27.66	27.07	27.145	145920	EUR	
08/06/2015 00:00	27.285	27.35	26.71	26.865	152160	EUR	
09/06/2015 00:00	26.985	26.985	26.3	26.7	134960	EUR	
10/06/2015 00:00	26.6	26.87	26.31	26.795	251310	EUR	
11/06/2015 00:00	26.75	27.55	26.7	27.3	228390	EUR	
12/06/2015 00:00	27.45	27.55	26.66	27.03	136720	EUR	
15/06/2015 00:00	26.66	26.92	26.255	26.415	93410	EUR	
16/06/2015 00:00	26.4	26.82	26.11	26.805	188850	EUR	
17/06/2015 00:00	26.615	26.86	25.92	26.4	159920	EUR	
18/06/2015 00:00	26.35	26.35	25.155	25.3	373720	EUR	
19/06/2015 00:00	25.3	25.58	25.25	25.475	264760	EUR	
22/06/2015 00:00	25.805	26.245	25.6	25.625	197770	EUR	
23/06/2015 00:00	26.495	26.62	26.04	26.595	391130	EUR	
24/06/2015 00:00	26.685	26.85	26.49	26.6	174540	EUR	
25/06/2015 00:00	26.7	27.62	26.63	27.44	208410	EUR	
26/06/2015 00:00	27.4	27.805	27.245	27.795	168840	EUR	
29/06/2015 00:00	26.47	26.685	24.93	26.58	284810	EUR	
30/06/2015 00:00	26.46	27.5	26.3	27.31	275720	EUR	
01/07/2015 00:00	27.26	29.23	27.24	28.6	329070	EUR	
02/07/2015 00:00	28.55	28.825	27.645	27.755	134330	EUR	
03/07/2015 00:00	27.755	27.87	27.405	27.56	81590	EUR	
06/07/2015 00:00	27.22	27.655	26.6	27.475	69820	EUR	
07/07/2015 00:00	27.89	28.455	27.485	27.965	472910	EUR	
08/07/2015 00:00	27.9	28.325	27.57	27.96	172980	EUR	
09/07/2015 00:00	28.045	28.9	28	28.355	246520	EUR	
10/07/2015 00:00	29	29.61	28.855	29.3	175760	EUR	
13/07/2015 00:00	29.265	29.845	29.18	29.675	177500	EUR	
14/07/2015 00:00	29.9	29.925	29.6	29.685	117950	EUR	
15/07/2015 00:00	29.685	30.445	29.505	30.26	155680	EUR	
16/07/2015 00:00	30.425	30.665	30.135	30.3	227960	EUR	
17/07/2015 00:00	30.3	30.99	30.255	30.935	124800	EUR	
20/07/2015 00:00	30.915	31.71	30.78	31.265	185140	EUR	
21/07/2015 00:00	31.3	31.515	30.83	31.06	105470	EUR	
22/07/2015 00:00	30.9	31	30.615	30.9	121000	EUR	
23/07/2015 00:00	31.37	31.42	30.715	31.01	123600	EUR	
24/07/2015 00:00	31.01	31.29	30.895	30.995	77020	EUR	
27/07/2015 00:00	30.83	30.83	29.855	29.93	105450	EUR	
28/07/2015 00:00	30.01	30.4	29.985	30.18	145950	EUR	
29/07/2015 00:00	30.295	30.575	30.145	30.32	142180	EUR	
30/07/2015 00:00	30.67	30.69	30.06	30.275	135660	EUR	
31/07/2015 00:00	30.42	30.425	29.87	29.905	153670	EUR	
03/08/2015 00:00	29.965	30.98	29.965	30.775	153800	EUR	
04/08/2015 00:00	30.745	30.745	30.065	30.485	136110	EUR	
05/08/2015 00:00	30.25	30.875	30.25	30.81	126890	EUR	
06/08/2015 00:00	30.85	31.14	30.415	30.465	96620	EUR	
07/08/2015 00:00	30.3	30.3	29.78	29.915	107510	EUR	
10/08/2015 00:00	30.2	30.675	29.9	30.545	97010	EUR	
11/08/2015 00:00	30.67	30.675	30.285	30.315	60100	EUR	
12/08/2015 00:00	30.38	30.38	29.06	29.385	119180	EUR	
13/08/2015 00:00	29.61	30.48	29.61	30.24	80730	EUR	
14/08/2015 00:00	30.32	30.6	30.205	30.235	49750	EUR	
17/08/2015 00:00	30.68	30.815	29.995	30.47	81460	EUR	
18/08/2015 00:00	30.5	31.245	30.485	31.12	249700	EUR	
19/08/2015 00:00	31.05	31.05	30.62	30.82	71860	EUR	
20/08/2015 00:00	30.545	30.62	29.225	29.425	173090	EUR	
21/08/2015 00:00	29	29.445	28.55	28.625	151400	EUR	
24/08/2015 00:00	28.5	28.505	26.345	27.46	239430	EUR	
25/08/2015 00:00	27.745	29.195	27.65	28.91	159940	EUR	
26/08/2015 00:00	29.1	29.5	28.06	28.2	356160	EUR	
27/08/2015 00:00	29.225	29.34	28.46	29.25	189960	EUR	
28/08/2015 00:00	29.34	29.6	28.885	29.225	145660	EUR	
31/08/2015 00:00	29	29.9	28.71	29.885	169390	EUR	
01/09/2015 00:00	28.86	29.63	28.31	29.455	318400	EUR	
02/09/2015 00:00	29.5	30.035	29.335	29.79	336590	EUR	
03/09/2015 00:00	29.995	30	29.29	29.37	151970	EUR	
04/09/2015 00:00	29.115	29.115	28.375	28.6	162680	EUR	
07/09/2015 00:00	29.24	29.24	28.21	28.78	146570	EUR	
08/09/2015 00:00	28.9	29.45	28.855	29.15	124280	EUR	
09/09/2015 00:00	29.685	29.75	29.155	29.375	158230	EUR	
10/09/2015 00:00	29.2	29.61	28.87	29.2	114900	EUR	
11/09/2015 00:00	29.6	29.6	28.78	28.98	119260	EUR	
14/09/2015 00:00	29.03	29.21	28.685	28.805	97020	EUR	
15/09/2015 00:00	28.955	29.19	28.66	29.145	80380	EUR	
16/09/2015 00:00	29.24	29.57	28.98	29.055	90490	EUR	
17/09/2015 00:00	29.05	29.18	28.615	29.17	133720	EUR	
18/09/2015 00:00	29.15	29.19	28.575	28.875	136300	EUR	
21/09/2015 00:00	28.99	29.495	28.745	29.35	136160	EUR	
22/09/2015 00:00	29.13	29.145	28.1	28.41	179750	EUR	
23/09/2015 00:00	28.41	28.55	28.12	28.12	95160	EUR	
24/09/2015 00:00	28.13	28.335	27.305	27.5	173160	EUR	
25/09/2015 00:00	27.78	28.36	27.685	28.14	191130	EUR	
28/09/2015 00:00	28.19	28.325	27.525	27.615	115990	EUR	
29/09/2015 00:00	27.5	27.55	26.7	26.875	156120	EUR	
30/09/2015 00:00	27.395	27.79	27.2	27.47	148620	EUR	
01/10/2015 00:00	27.765	28.87	27.71	27.855	341000	EUR	
02/10/2015 00:00	28.27	28.27	27.615	28.015	145890	EUR	
05/10/2015 00:00	28.135	28.76	28.135	28.685	126970	EUR	
06/10/2015 00:00	28.45	28.88	28.21	28.24	146160	EUR	
07/10/2015 00:00	28.445	28.52	27.605	27.63	165890	EUR	
08/10/2015 00:00	27.64	27.945	27.37	27.565	113090	EUR	
09/10/2015 00:00	27.945	27.945	27.37	27.49	102480	EUR	
12/10/2015 00:00	27.4	27.675	27.14	27.645	183320	EUR	
13/10/2015 00:00	27.415	27.61	27.21	27.53	96830	EUR	
14/10/2015 00:00	27.4	27.415	26.92	27.195	154810	EUR	
15/10/2015 00:00	27.3	28.615	27.18	28.45	187920	EUR	
16/10/2015 00:00	28.8	29.2	28.5	28.64	281770	EUR	
19/10/2015 00:00	30	31.48	29.9	31.32	420920	EUR	
20/10/2015 00:00	31	31.255	30.33	30.96	233850	EUR	
21/10/2015 00:00	31.155	31.3	30.69	30.69	193890	EUR	
22/10/2015 00:00	30.87	30.87	30.06	30.635	146060	EUR	
23/10/2015 00:00	30.85	31.36	30.625	31.1	140430	EUR	
26/10/2015 00:00	31.4	33.1	31.355	32.9	344730	EUR	
27/10/2015 00:00	32.155	32.5	32.02	32.23	252220	EUR	
28/10/2015 00:00	32.24	32.965	32.24	32.825	155160	EUR	
29/10/2015 00:00	32.8	33.165	32.635	33.165	213980	EUR	
30/10/2015 00:00	33.11	33.355	32.55	32.925	190710	EUR	
02/11/2015 00:00	32.64	33.64	32.6	33.4	193770	EUR	
03/11/2015 00:00	33.2	33.45	32.935	33.14	137280	EUR	
04/11/2015 00:00	33.1	33.37	32.69	32.845	119210	EUR	
05/11/2015 00:00	32.67	32.995	32.405	32.885	250610	EUR	
06/11/2015 00:00	32.9	33.5	32.83	33.5	160630	EUR	
09/11/2015 00:00	33.24	33.45	32.61	32.75	145170	EUR	
10/11/2015 00:00	32.715	33.255	32.71	33.2	141070	EUR	
11/11/2015 00:00	33.265	33.84	33.23	33.715	161600	EUR	
12/11/2015 00:00	33.715	33.8	32.66	32.89	266100	EUR	
13/11/2015 00:00	31.94	32.02	30.44	31.46	433430	EUR	
16/11/2015 00:00	30.905	31.38	30.7	31.335	137790	EUR	
17/11/2015 00:00	31.405	31.86	31.225	31.81	135220	EUR	
18/11/2015 00:00	31.735	31.83	31.375	31.565	112260	EUR	
19/11/2015 00:00	31.895	31.97	31.525	31.65	72570	EUR	
20/11/2015 00:00	31.53	31.725	31.2	31.5	211440	EUR	
23/11/2015 00:00	31.4	31.67	31.2	31.63	115560	EUR	
24/11/2015 00:00	31.715	31.715	31.025	31.295	104940	EUR	
25/11/2015 00:00	32.74	34.405	32.74	34.405	515840	EUR	
26/11/2015 00:00	34.4	35	34.39	34.9	256590	EUR	
27/11/2015 00:00	34.5	34.99	34.06	34.83	130860	EUR	
30/11/2015 00:00	34.88	35.62	34.685	35.62	169170	EUR	
01/12/2015 00:00	35.62	36	34.93	35.08	222010	EUR	
02/12/2015 00:00	35.1	36	35.1	35.98	169760	EUR	
03/12/2015 00:00	36	36.165	34.565	34.795	186560	EUR	
