date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	296.95	296.95	293.05	295.1	59167	EUR	
10/03/2015 00:00	295.95	297.3	290.05	290.05	77728	EUR	
11/03/2015 00:00	290.35	297.95	290.3	297.7	81642	EUR	
12/03/2015 00:00	297.8	300	295.8	299.95	60191	EUR	
13/03/2015 00:00	299.9	301.5	296.35	300.55	63888	EUR	
16/03/2015 00:00	303.25	315.45	302.6	313.75	103861	EUR	
17/03/2015 00:00	314.8	315	309.55	313.2	81918	EUR	
18/03/2015 00:00	314.25	314.65	310.45	312.3	52868	EUR	
19/03/2015 00:00	311.6	313.3	310.2	311.85	53506	EUR	
20/03/2015 00:00	311.65	313.45	311.1	312.4	164644	EUR	
23/03/2015 00:00	313	313	305.1	307	58344	EUR	
24/03/2015 00:00	308.45	311.2	306.65	311.2	61548	EUR	
25/03/2015 00:00	309	313.7	303.5	312.2	117086	EUR	
26/03/2015 00:00	311.05	312.5	305.3	312.1	118814	EUR	
27/03/2015 00:00	312.5	318.35	310.6	316.5	84542	EUR	
30/03/2015 00:00	316.5	321.4	310.85	314.85	64474	EUR	
31/03/2015 00:00	319.5	330.15	318.8	328.4	153028	EUR	
01/04/2015 00:00	327.85	338.9	324.15	331.45	157252	EUR	
02/04/2015 00:00	332	335	328.6	333.75	52283	EUR	
07/04/2015 00:00	335	338.45	332.2	337.45	88905	EUR	
08/04/2015 00:00	338	341.5	334.5	340.95	90245	EUR	
09/04/2015 00:00	341.5	346.35	340.05	342.3	64323	EUR	
10/04/2015 00:00	344.65	349.95	342.75	345.35	83099	EUR	
13/04/2015 00:00	343.25	343.25	339.55	341.5	74718	EUR	
14/04/2015 00:00	339.8	343.6	337.5	339.7	83127	EUR	
15/04/2015 00:00	339.95	342.55	336.7	338.65	82554	EUR	
16/04/2015 00:00	338.65	341.45	336	339.25	53790	EUR	
17/04/2015 00:00	339.2	340.25	334.35	335.1	58464	EUR	
20/04/2015 00:00	335.75	341.45	335.25	340.1	67560	EUR	
21/04/2015 00:00	341.8	348.5	341.4	345.15	63717	EUR	
22/04/2015 00:00	344.2	345.4	337.5	338.95	62645	EUR	
23/04/2015 00:00	339.15	341	335.65	337.75	51498	EUR	
24/04/2015 00:00	337	338.95	334.55	338.3	70707	EUR	
27/04/2015 00:00	338.5	343	335	337.65	89141	EUR	
28/04/2015 00:00	338.2	338.8	331.2	335.95	75577	EUR	
29/04/2015 00:00	338.75	349	338.4	339.65	102014	EUR	
30/04/2015 00:00	339.5	340.75	331.1	337.05	57702	EUR	
04/05/2015 00:00	338.5	347.8	337.05	346.4	36063	EUR	
05/05/2015 00:00	347.25	350.2	334.7	335.2	52159	EUR	
06/05/2015 00:00	333.35	336.15	328.5	331	63739	EUR	
07/05/2015 00:00	332.6	332.6	323.7	331.95	56939	EUR	
08/05/2015 00:00	335.25	338.25	331	337.45	56242	EUR	
11/05/2015 00:00	337	337.8	335.1	337.1	51608	EUR	
12/05/2015 00:00	336.85	337.2	328.2	331.2	51892	EUR	
13/05/2015 00:00	332.6	339	331.75	333.1	60372	EUR	
14/05/2015 00:00	332.25	339.65	330.6	338.85	36491	EUR	
15/05/2015 00:00	340	343.25	337.85	340.15	42762	EUR	
18/05/2015 00:00	341	344.65	339.3	344.4	32615	EUR	
19/05/2015 00:00	346	350.2	345.35	349.95	47133	EUR	
20/05/2015 00:00	349.1	351.2	348.15	349.65	52716	EUR	
21/05/2015 00:00	349.85	351.4	345.5	348.9	56200	EUR	
22/05/2015 00:00	348	352	345.55	350.75	47978	EUR	
25/05/2015 00:00	350.75	351	347.6	348.05	5071	EUR	
26/05/2015 00:00	348.45	349.9	345.05	347.15	51226	EUR	
27/05/2015 00:00	348.8	352	346.4	351.95	41634	EUR	
28/05/2015 00:00	351.1	352.35	348.15	350.5	40939	EUR	
29/05/2015 00:00	350.3	357.85	349.75	355.65	123206	EUR	
01/06/2015 00:00	353.75	363.05	352.25	361.8	55513	EUR	
02/06/2015 00:00	362	365.5	360.4	363.35	88690	EUR	
03/06/2015 00:00	363	365	360.25	362.3	55716	EUR	
04/06/2015 00:00	356.85	356.85	347.7	350.45	76806	EUR	
05/06/2015 00:00	351.1	351.1	343.55	346.6	54872	EUR	
08/06/2015 00:00	347.2	350	344.35	344.35	49452	EUR	
09/06/2015 00:00	345.05	346.5	338.7	345.85	75243	EUR	
10/06/2015 00:00	345	355.6	342.4	354.7	61100	EUR	
11/06/2015 00:00	355.45	365.55	355.25	360.6	91390	EUR	
12/06/2015 00:00	360.55	360.55	354.5	358.6	43994	EUR	
15/06/2015 00:00	356.4	357.05	351	352.55	37939	EUR	
16/06/2015 00:00	350.7	353.05	347.2	352.5	50030	EUR	
17/06/2015 00:00	353.8	353.8	346	347.95	44863	EUR	
18/06/2015 00:00	346.95	346.95	341.3	346.95	60166	EUR	
19/06/2015 00:00	347	358	344.4	344.4	328993	EUR	
22/06/2015 00:00	351.85	356.9	350.35	356.25	70605	EUR	
