date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	168.493	168.493	166.017	167.897	196906	EUR	
10/03/2015 00:00	167.943	170.098	167.714	168.998	350113	EUR	
11/03/2015 00:00	169.639	174.729	168.126	174.362	425287	EUR	
12/03/2015 00:00	173.858	175.508	173.582	175.187	319200	EUR	
13/03/2015 00:00	175.187	175.783	172.986	174.087	164875	EUR	
16/03/2015 00:00	174.27	179.176	174.224	178.672	385552	EUR	
17/03/2015 00:00	178.534	181.01	178.305	179.91	413821	EUR	
18/03/2015 00:00	180.551	182.019	179.726	180.643	558790	EUR	
19/03/2015 00:00	180.643	181.102	177.617	178.121	343173	EUR	
20/03/2015 00:00	178.672	179.268	176.929	177.25	394866	EUR	
23/03/2015 00:00	179.268	179.268	172.436	173.995	408872	EUR	
24/03/2015 00:00	173.903	174.866	172.436	172.436	455719	EUR	
25/03/2015 00:00	171.703	171.748	167.53	169.639	688427	EUR	
26/03/2015 00:00	169.502	169.915	167.072	169.639	451362	EUR	
27/03/2015 00:00	170.419	170.923	168.722	168.906	260807	EUR	
30/03/2015 00:00	169.502	171.244	168.998	169.502	228903	EUR	
31/03/2015 00:00	169.043	169.364	165.284	166.705	489503	EUR	
01/04/2015 00:00	165.834	167.943	165.146	165.742	266318	EUR	
02/04/2015 00:00	165.192	166.934	159.644	160.653	731624	EUR	
07/04/2015 00:00	161.203	161.983	160.653	161.937	512198	EUR	
08/04/2015 00:00	160.745	162.12	160.745	161.662	344613	EUR	
09/04/2015 00:00	161.295	165.1	160.653	164.413	332345	EUR	
10/04/2015 00:00	165.284	166.063	161.845	161.845	409338	EUR	
13/04/2015 00:00	161.203	161.203	160.653	161.203	288988	EUR	
14/04/2015 00:00	161.02	161.478	158.544	159.965	340345	EUR	
15/04/2015 00:00	160.241	160.745	159.553	160.241	328433	EUR	
16/04/2015 00:00	160.47	161.341	159.048	161.341	383854	EUR	
17/04/2015 00:00	161.066	163.587	160.103	160.791	420826	EUR	
20/04/2015 00:00	161.112	163.404	160.928	162.166	319167	EUR	
21/04/2015 00:00	162.9	164.229	161.708	163.221	431290	EUR	
22/04/2015 00:00	156.802	156.894	152.538	156.894	1490019	EUR	
23/04/2015 00:00	156.802	157.627	154.509	154.968	756953	EUR	
24/04/2015 00:00	156.16	156.389	153.776	153.959	376941	EUR	
27/04/2015 00:00	154.051	156.481	152.813	156.481	399296	EUR	
28/04/2015 00:00	154.051	158.177	154.051	155.747	620508	EUR	
29/04/2015 00:00	156.664	157.765	155.289	155.426	503345	EUR	
30/04/2015 00:00	155.335	155.564	151.254	151.346	582895	EUR	
04/05/2015 00:00	151.575	156.298	150.75	154.464	333610	EUR	
05/05/2015 00:00	153.684	155.014	151.529	151.804	479092	EUR	
06/05/2015 00:00	151.071	151.621	146.715	147.953	708860	EUR	
07/05/2015 00:00	147.861	148.457	145.202	148.091	461147	EUR	
08/05/2015 00:00	149.65	150.842	148.962	150.337	307408	EUR	
11/05/2015 00:00	150.658	150.933	148.916	150.475	289705	EUR	
12/05/2015 00:00	149.741	152.263	149.145	151.254	388309	EUR	
13/05/2015 00:00	151.759	153.868	150.979	151.254	229957	EUR	
14/05/2015 00:00	150.979	153.868	149.695	153.455	180758	EUR	
15/05/2015 00:00	153.547	154.418	151.667	152.813	294980	EUR	
18/05/2015 00:00	153.455	154.418	152.125	154.418	229830	EUR	
19/05/2015 00:00	154.968	157.581	154.601	156.16	306673	EUR	
20/05/2015 00:00	155.885	156.252	154.555	155.151	227299	EUR	
21/05/2015 00:00	155.151	155.151	151.483	152.584	434821	EUR	
22/05/2015 00:00	151.3	151.3	147.724	149.466	545896	EUR	
25/05/2015 00:00	149.925	150.796	149.283	150.291	74522	EUR	
26/05/2015 00:00	150.429	150.933	148.549	148.916	337501	EUR	
27/05/2015 00:00	149.008	149.42	148.412	148.916	392586	EUR	
28/05/2015 00:00	148.366	148.916	147.632	148.916	354054	EUR	
29/05/2015 00:00	148.916	149.099	146.44	146.669	509477	EUR	
01/06/2015 00:00	146.348	147.495	144.881	146.486	331711	EUR	
02/06/2015 00:00	147.357	147.403	145.431	146.211	273684	EUR	
03/06/2015 00:00	146.624	148.549	145.798	148.137	334935	EUR	
04/06/2015 00:00	147.724	148.228	145.477	146.715	342458	EUR	
05/06/2015 00:00	146.119	146.257	143.735	143.873	334913	EUR	
08/06/2015 00:00	144.056	144.79	142.681	142.818	304924	EUR	
09/06/2015 00:00	142.635	143.047	140.572	141.122	420557	EUR	
10/06/2015 00:00	141.03	147.861	140.572	147.036	543920	EUR	
11/06/2015 00:00	146.807	146.899	145.019	145.844	439047	EUR	
12/06/2015 00:00	145.477	147.861	145.386	146.624	554342	EUR	
15/06/2015 00:00	145.156	145.982	143.964	144.835	260388	EUR	
16/06/2015 00:00	142.451	143.231	141.855	142.497	409034	EUR	
17/06/2015 00:00	142.497	142.497	139.884	140.801	271658	EUR	
18/06/2015 00:00	140.48	141.718	139.884	141.305	288918	EUR	
19/06/2015 00:00	141.718	143.689	140.938	141.855	478073	EUR	
22/06/2015 00:00	144.469	146.44	144.102	146.44	472712	EUR	
23/06/2015 00:00	147.357	147.816	145.936	147.678	367389	EUR	
24/06/2015 00:00	147.678	148.916	146.944	148.733	340874	EUR	
25/06/2015 00:00	147.495	149.512	147.357	148.549	431927	EUR	
26/06/2015 00:00	147.77	150.383	147.357	149.741	281106	EUR	
29/06/2015 00:00	144.606	150.291	144.377	149.008	631608	EUR	
30/06/2015 00:00	148.366	150.842	146.853	146.853	1152971	EUR	
01/07/2015 00:00	148.595	152.309	147.678	151.3	601997	EUR	
02/07/2015 00:00	151.163	151.163	148.182	149.145	442525	EUR	
03/07/2015 00:00	149.145	149.925	147.999	147.999	401496	EUR	
06/07/2015 00:00	145.982	148.916	145.065	147.265	442791	EUR	
07/07/2015 00:00	146.669	146.669	141.809	141.809	492158	EUR	
08/07/2015 00:00	142.13	142.818	141.58	142.635	438734	EUR	
09/07/2015 00:00	143.46	146.165	143.001	145.752	300771	EUR	
10/07/2015 00:00	148.549	149.604	147.403	149.466	348052	EUR	
13/07/2015 00:00	150.429	151.392	149.787	151.163	297000	EUR	
14/07/2015 00:00	151.025	151.667	150.612	151.667	200495	EUR	
15/07/2015 00:00	151.713	151.759	149.787	150.246	302554	EUR	
16/07/2015 00:00	150.887	153.638	150.704	153.226	381739	EUR	
17/07/2015 00:00	153.501	153.776	151.988	153.226	222700	EUR	
20/07/2015 00:00	154.005	155.885	153.776	155.747	261822	EUR	
21/07/2015 00:00	155.885	156.848	154.922	155.472	234238	EUR	
22/07/2015 00:00	154.647	155.656	154.28	154.418	226296	EUR	
23/07/2015 00:00	155.564	155.656	154.555	154.876	231581	EUR	
24/07/2015 00:00	154.647	156.343	152.951	153.455	304380	EUR	
27/07/2015 00:00	153.959	153.959	149.741	149.833	345569	EUR	
28/07/2015 00:00	158.728	162.029	157.444	158.177	1180129	EUR	
29/07/2015 00:00	159.232	159.232	157.535	158.682	486551	EUR	
30/07/2015 00:00	159.14	161.662	158.682	160.47	406538	EUR	
31/07/2015 00:00	160.47	161.02	159.324	161.02	360265	EUR	
03/08/2015 00:00	160.47	162.029	159.828	161.203	272533	EUR	
04/08/2015 00:00	161.203	161.662	160.011	161.387	239981	EUR	
05/08/2015 00:00	162.304	164.78	161.937	163.633	418719	EUR	
06/08/2015 00:00	163.45	166.843	163.404	166.384	410663	EUR	
07/08/2015 00:00	166.384	166.522	164.642	165.192	346147	EUR	
10/08/2015 00:00	165.926	165.972	164.321	164.917	222706	EUR	
11/08/2015 00:00	164.092	164.138	158.361	158.498	687663	EUR	
12/08/2015 00:00	156.573	156.756	153.638	154.509	543129	EUR	
13/08/2015 00:00	156.298	158.131	155.702	156.71	376576	EUR	
14/08/2015 00:00	157.306	157.581	155.656	155.885	230303	EUR	
17/08/2015 00:00	156.573	157.031	154.143	155.472	243800	EUR	
18/08/2015 00:00	154.968	156.114	154.372	155.151	138755	EUR	
19/08/2015 00:00	154.418	154.647	153.134	153.409	203652	EUR	
20/08/2015 00:00	152.859	153.18	149.283	149.283	416624	EUR	
21/08/2015 00:00	147.54	150.521	146.119	146.119	405878	EUR	
24/08/2015 00:00	142.589	143.139	134.061	134.107	1253203	EUR	
25/08/2015 00:00	136.904	140.801	135.207	140.526	861939	EUR	
26/08/2015 00:00	138.921	141.397	137.591	138.692	470692	EUR	
27/08/2015 00:00	141.764	144.01	140.572	143.185	445019	EUR	
28/08/2015 00:00	143.368	143.689	141.397	143.093	218368	EUR	
31/08/2015 00:00	142.13	142.176	139.379	140.067	317829	EUR	
01/09/2015 00:00	138.875	138.967	132.044	132.273	906418	EUR	
02/09/2015 00:00	133.282	136.766	132.777	135.666	502855	EUR	
03/09/2015 00:00	136.812	139.334	135.666	138.462	498819	EUR	
04/09/2015 00:00	134.932	135.07	129.843	129.935	820542	EUR	
07/09/2015 00:00	130.668	132.41	130.072	130.577	250655	EUR	
08/09/2015 00:00	131.356	134.657	131.264	133.373	462497	EUR	
09/09/2015 00:00	136.629	137.454	135.253	135.528	418841	EUR	
10/09/2015 00:00	134.565	134.978	131.127	131.86	500185	EUR	
11/09/2015 00:00	131.906	132.777	130.76	130.76	263254	EUR	
14/09/2015 00:00	130.852	131.998	130.256	130.439	320256	EUR	
15/09/2015 00:00	130.622	132.135	129.568	131.677	360049	EUR	
16/09/2015 00:00	133.282	139.059	133.144	139.059	777787	EUR	
17/09/2015 00:00	139.517	142.176	138.371	142.13	740486	EUR	
