date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	164.65	165.45	163.25	165.3	618031	EUR	
10/03/2015 00:00	164.7	165.6	163.9	164.8	624121	EUR	
11/03/2015 00:00	165.9	170	165.45	169.7	985710	EUR	
12/03/2015 00:00	169.3	170.3	168.5	169.05	573523	EUR	
13/03/2015 00:00	169.25	171.75	168.95	171.75	644393	EUR	
16/03/2015 00:00	171.8	173.6	171.55	173.3	637940	EUR	
17/03/2015 00:00	173.2	174.25	171.5	172.5	690887	EUR	
18/03/2015 00:00	171.2	172.3	169.75	170.95	975649	EUR	
19/03/2015 00:00	170.95	172	168.95	170.25	710309	EUR	
20/03/2015 00:00	170.1	172.6	170.1	172.1	1051530	EUR	
23/03/2015 00:00	172.45	172.55	169.35	171.15	549612	EUR	
24/03/2015 00:00	171.15	173.1	170.8	171.4	707685	EUR	
25/03/2015 00:00	170.75	171.1	168.35	168.95	562794	EUR	
26/03/2015 00:00	167.5	169	165.4	169	753317	EUR	
27/03/2015 00:00	169.85	172.35	169.3	172.15	822331	EUR	
30/03/2015 00:00	172	174.25	171.1	172.55	586466	EUR	
31/03/2015 00:00	172	173.85	171.15	171.35	825185	EUR	
01/04/2015 00:00	170.4	173.25	169.35	171.3	650002	EUR	
02/04/2015 00:00	171.8	173.2	171.4	172.7	358262	EUR	
07/04/2015 00:00	174.6	175.7	172.35	175.15	462511	EUR	
08/04/2015 00:00	173.85	174.85	172.55	174.05	602539	EUR	
09/04/2015 00:00	174.8	175.95	174.3	175.95	579083	EUR	
10/04/2015 00:00	176.1	178.95	175.75	178.95	579074	EUR	
13/04/2015 00:00	178.65	178.9	177.15	178.65	610608	EUR	
14/04/2015 00:00	178.3	178.5	176.25	177.6	621440	EUR	
15/04/2015 00:00	178.3	179.05	177.35	178.1	547329	EUR	
16/04/2015 00:00	177.5	179	175.8	178.75	681541	EUR	
17/04/2015 00:00	178.45	179.25	175.75	176.3	871532	EUR	
20/04/2015 00:00	175.15	177.2	175.05	177.2	680302	EUR	
21/04/2015 00:00	178.45	181.3	177.6	178.15	795543	EUR	
22/04/2015 00:00	178.1	179.05	175.25	177.1	594842	EUR	
23/04/2015 00:00	177.7	178.35	173.1	175	842944	EUR	
24/04/2015 00:00	175.4	176.65	174	175.75	509431	EUR	
27/04/2015 00:00	175.5	179.55	173.35	179.25	670393	EUR	
28/04/2015 00:00	178.45	178.75	172.45	174	752047	EUR	
29/04/2015 00:00	174.05	175.9	169.2	169.2	820080	EUR	
30/04/2015 00:00	169	172	167.25	170.45	900945	EUR	
04/05/2015 00:00	172.45	174.3	170.65	173.35	567817	EUR	
05/05/2015 00:00	170	172.65	166.4	166.7	1111922	EUR	
06/05/2015 00:00	166.1	168.6	165.35	167.75	830448	EUR	
07/05/2015 00:00	167.15	169.6	165.25	168.6	964900	EUR	
08/05/2015 00:00	170.05	173.55	168.85	173.45	662614	EUR	
11/05/2015 00:00	171.4	172.2	169.55	170.15	628496	EUR	
12/05/2015 00:00	169.1	169.1	165.95	168.25	582948	EUR	
13/05/2015 00:00	168.35	170.2	165.65	166.25	530918	EUR	
14/05/2015 00:00	165.65	170.3	164.9	170.15	513972	EUR	
15/05/2015 00:00	170.5	171.5	167.55	168.4	662580	EUR	
18/05/2015 00:00	168	169.8	166.15	169.8	519835	EUR	
19/05/2015 00:00	170	175	169.8	174.8	827299	EUR	
20/05/2015 00:00	174	175	172.8	175	517595	EUR	
21/05/2015 00:00	174.15	174.95	173.05	174.9	437881	EUR	
22/05/2015 00:00	175	175	173.45	174.8	451300	EUR	
25/05/2015 00:00	174.5	174.8	173.25	174.2	193783	EUR	
26/05/2015 00:00	174.7	175.95	172.85	173.6	802118	EUR	
27/05/2015 00:00	174.75	178	173.65	177.65	689281	EUR	
28/05/2015 00:00	177	177.4	175.1	176.5	437271	EUR	
29/05/2015 00:00	176.75	177	171.9	171.95	949048	EUR	
01/06/2015 00:00	173.1	174.9	172.2	173.6	468356	EUR	
02/06/2015 00:00	175.2	175.2	169.65	169.65	759698	EUR	
03/06/2015 00:00	170	173.05	169.1	170.55	515293	EUR	
04/06/2015 00:00	169.3	171.8	166.3	170	550210	EUR	
05/06/2015 00:00	169.2	169.55	166.45	166.65	534080	EUR	
08/06/2015 00:00	166.65	167.7	165.55	165.85	456314	EUR	
09/06/2015 00:00	165.3	165.95	163.25	164.7	674609	EUR	
10/06/2015 00:00	164.45	168.65	163.55	167.8	718122	EUR	
11/06/2015 00:00	167.2	170.75	166.45	168.75	627971	EUR	
12/06/2015 00:00	168.5	169.05	164.3	165.65	537981	EUR	
15/06/2015 00:00	164.3	165.25	162.85	163.2	565144	EUR	
16/06/2015 00:00	162.25	165.6	161.4	164.95	603665	EUR	
17/06/2015 00:00	165.8	165.85	161.15	162.35	576125	EUR	
18/06/2015 00:00	161.8	164.1	160.25	163.75	643990	EUR	
19/06/2015 00:00	164.2	165.4	161.2	161.8	1707362	EUR	
22/06/2015 00:00	165.5	168.65	164.5	168.2	961752	EUR	
23/06/2015 00:00	170	170.9	168.55	169.7	798951	EUR	
24/06/2015 00:00	170.15	170.3	167.7	169	596630	EUR	
25/06/2015 00:00	166.15	169.65	165.05	167.45	907667	EUR	
26/06/2015 00:00	166.3	170.05	166	168.65	620842	EUR	
29/06/2015 00:00	161.95	165.4	160.55	161.95	1102544	EUR	
30/06/2015 00:00	161.85	163.15	159.65	160	1101763	EUR	
01/07/2015 00:00	159.3	163.4	158.1	160.85	1048642	EUR	
02/07/2015 00:00	161.05	162.2	158.95	159.35	566744	EUR	
03/07/2015 00:00	159.05	160.05	157.65	158.35	428076	EUR	
06/07/2015 00:00	155	158.6	154.5	155.9	788245	EUR	
07/07/2015 00:00	155.9	156.7	153.8	153.95	776968	EUR	
08/07/2015 00:00	154.15	156.35	153.9	155.6	730968	EUR	
09/07/2015 00:00	156.45	160.4	155.95	159.75	683302	EUR	
10/07/2015 00:00	163.75	165.15	162.65	164.65	859863	EUR	
13/07/2015 00:00	167.75	168.3	165.2	166.6	721586	EUR	
14/07/2015 00:00	167	168.9	166.6	168.9	522204	EUR	
15/07/2015 00:00	168.3	169.8	167.2	169.6	525991	EUR	
16/07/2015 00:00	170	172.3	169.8	171.05	691518	EUR	
17/07/2015 00:00	171.45	171.9	169.85	170.35	572433	EUR	
20/07/2015 00:00	171	173.6	170.8	172.45	484839	EUR	
21/07/2015 00:00	173.1	173.2	169.85	170.15	497490	EUR	
22/07/2015 00:00	169.45	170.55	168.5	168.9	546841	EUR	
23/07/2015 00:00	170.45	170.65	167.95	169.05	381006	EUR	
24/07/2015 00:00	168.95	171.5	168.9	169.4	500729	EUR	
27/07/2015 00:00	168.65	169.45	165.9	166.15	555397	EUR	
