date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	21.108	21.395	20.945	21.373	2933096	EUR	
10/03/2015 00:00	21.36	21.548	20.973	21.138	2752652	EUR	
11/03/2015 00:00	21.125	21.768	21.125	21.735	4303188	EUR	
12/03/2015 00:00	21.69	21.8	21.465	21.763	2423964	EUR	
13/03/2015 00:00	21.938	22.645	21.93	22.638	5447804	EUR	
16/03/2015 00:00	22.663	23.118	22.65	22.998	4495388	EUR	
17/03/2015 00:00	22.988	23.235	22.823	22.9	3781276	EUR	
18/03/2015 00:00	23.023	23.238	22.493	22.765	3953728	EUR	
19/03/2015 00:00	22.74	23.07	22.42	22.848	3302684	EUR	
20/03/2015 00:00	22.898	22.993	22.615	22.813	3645940	EUR	
23/03/2015 00:00	22.76	22.793	22.325	22.388	2195504	EUR	
24/03/2015 00:00	22.438	22.868	22.385	22.77	2995120	EUR	
25/03/2015 00:00	22.735	23.048	22.645	22.7	3256440	EUR	
26/03/2015 00:00	22.535	22.96	22.275	22.96	3712204	EUR	
27/03/2015 00:00	23	23.465	22.903	22.935	3789804	EUR	
30/03/2015 00:00	23.123	23.348	22.998	23.29	2663820	EUR	
31/03/2015 00:00	23.215	23.37	23.07	23.153	2857792	EUR	
01/04/2015 00:00	23.05	23.32	22.973	23.185	2404232	EUR	
02/04/2015 00:00	23.225	23.323	23.15	23.31	1695468	EUR	
07/04/2015 00:00	23.363	23.49	23.158	23.23	2349764	EUR	
08/04/2015 00:00	23.223	23.445	23.075	23.375	2174896	EUR	
09/04/2015 00:00	23.5	23.945	23.425	23.883	2773492	EUR	
10/04/2015 00:00	23.925	24.068	23.795	24.03	2462528	EUR	
13/04/2015 00:00	23.968	24.213	23.835	23.968	1787400	EUR	
14/04/2015 00:00	23.975	24.053	23.473	23.625	2159904	EUR	
15/04/2015 00:00	24	24.395	23.828	24.105	3137008	EUR	
16/04/2015 00:00	24.1	24.57	24.053	24.173	3130676	EUR	
17/04/2015 00:00	24.14	24.493	23.925	23.968	3231332	EUR	
20/04/2015 00:00	24.1	24.265	23.905	24.115	2172784	EUR	
21/04/2015 00:00	24.13	24.433	23.89	23.94	3165648	EUR	
22/04/2015 00:00	23.94	24.015	23.523	23.948	3305828	EUR	
23/04/2015 00:00	25	25.725	24.95	25.5	8563564	EUR	
24/04/2015 00:00	25.5	25.85	24.853	25.463	3524904	EUR	
27/04/2015 00:00	25.375	25.7	25.075	25.625	2740036	EUR	
28/04/2015 00:00	25.625	25.675	24.885	25.138	3288324	EUR	
29/04/2015 00:00	25.363	25.413	24.47	24.545	3683944	EUR	
30/04/2015 00:00	25	25.113	24.65	24.918	3070552	EUR	
04/05/2015 00:00	25.038	25.125	24.625	24.96	1773792	EUR	
05/05/2015 00:00	24.943	25.463	24.73	24.785	2503168	EUR	
06/05/2015 00:00	24.865	25.188	24.518	24.915	3735484	EUR	
07/05/2015 00:00	24.923	25.3	24.563	25.063	3606776	EUR	
08/05/2015 00:00	25.175	25.55	25.15	25.525	2383384	EUR	
11/05/2015 00:00	25.5	25.525	25.013	25.175	1624088	EUR	
12/05/2015 00:00	25.025	25.238	24.553	24.728	3560228	EUR	
13/05/2015 00:00	24.823	25.2	24.703	24.823	1833056	EUR	
14/05/2015 00:00	24.8	25.363	24.6	25.313	1546644	EUR	
15/05/2015 00:00	25.45	25.538	24.935	25.025	2031288	EUR	
18/05/2015 00:00	25.113	25.413	24.943	25.375	1562104	EUR	
19/05/2015 00:00	25.538	25.95	25.45	25.763	2561688	EUR	
20/05/2015 00:00	25.763	25.975	25.538	25.613	2627396	EUR	
21/05/2015 00:00	25.563	25.85	25.463	25.813	1679988	EUR	
22/05/2015 00:00	25.763	25.85	25.513	25.65	1399244	EUR	
25/05/2015 00:00	25.7	25.75	25.5	25.638	428692	EUR	
26/05/2015 00:00	25.3	25.438	24.998	25.188	2315656	EUR	
27/05/2015 00:00	25.163	25.75	25.163	25.6	2072228	EUR	
28/05/2015 00:00	25.538	25.55	24.818	24.973	2794632	EUR	
29/05/2015 00:00	24.998	25.063	24.393	24.393	3689752	EUR	
01/06/2015 00:00	24.375	24.713	24.258	24.628	1763868	EUR	
02/06/2015 00:00	24.62	24.693	24.19	24.4	2552512	EUR	
03/06/2015 00:00	24.385	24.763	24.318	24.588	2264516	EUR	
04/06/2015 00:00	24.54	24.55	23.965	24.29	2598376	EUR	
05/06/2015 00:00	24.123	24.283	23.9	24.14	2263584	EUR	
08/06/2015 00:00	24.125	24.168	23.808	23.903	2250764	EUR	
09/06/2015 00:00	23.853	24.483	23.65	24.45	4335128	EUR	
10/06/2015 00:00	24.513	25.425	24.383	25.35	5043852	EUR	
11/06/2015 00:00	25.263	25.588	25.175	25.238	2306672	EUR	
12/06/2015 00:00	25	25.25	24.618	24.8	2814840	EUR	
15/06/2015 00:00	24.375	24.683	24.36	24.535	2074404	EUR	
16/06/2015 00:00	24.37	24.633	24.133	24.535	2915308	EUR	
17/06/2015 00:00	24.578	24.593	24.123	24.193	2618564	EUR	
18/06/2015 00:00	24.08	24.163	23.72	24.113	3011820	EUR	
19/06/2015 00:00	24.15	24.558	24.12	24.458	4485728	EUR	
22/06/2015 00:00	24.97	25.038	24.658	24.838	2975964	EUR	
23/06/2015 00:00	24.975	25.1	24.818	24.978	2077964	EUR	
24/06/2015 00:00	24.95	25.038	24.503	24.65	3194672	EUR	
