date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	15.84	15.85	15.005	15.04	20272985	EUR	
10/03/2015 00:00	15.04	15.79	14.98	15.315	21275274	EUR	
11/03/2015 00:00	15.395	15.8	15.375	15.7	10181796	EUR	
12/03/2015 00:00	15.665	15.665	15.44	15.495	8257223	EUR	
13/03/2015 00:00	15.55	15.595	15.335	15.41	8803134	EUR	
16/03/2015 00:00	15.5	15.585	15.34	15.37	9009972	EUR	
17/03/2015 00:00	15.4	15.43	14.715	15.02	16579077	EUR	
18/03/2015 00:00	15	15.05	14.665	14.805	12185043	EUR	
19/03/2015 00:00	14.725	14.895	14.66	14.815	9761890	EUR	
20/03/2015 00:00	14.79	15.005	14.63	14.89	28752963	EUR	
23/03/2015 00:00	14.94	14.94	14.705	14.78	7582119	EUR	
24/03/2015 00:00	14.78	15.205	14.725	15.17	11432430	EUR	
25/03/2015 00:00	15.2	15.225	15.015	15.175	8917253	EUR	
26/03/2015 00:00	15	15.045	14.64	14.935	12723102	EUR	
27/03/2015 00:00	14.955	15.195	14.955	15.045	7901114	EUR	
30/03/2015 00:00	15.08	15.195	15.025	15.14	7249923	EUR	
31/03/2015 00:00	15.05	15.215	14.96	14.965	9604188	EUR	
01/04/2015 00:00	14.9	15.195	14.865	14.965	7460539	EUR	
02/04/2015 00:00	15	15.105	14.875	15.085	4439050	EUR	
07/04/2015 00:00	15.22	15.385	15.145	15.33	6054521	EUR	
08/04/2015 00:00	15.335	15.365	15.185	15.19	5648634	EUR	
09/04/2015 00:00	15.285	15.5	15.22	15.5	5966105	EUR	
10/04/2015 00:00	15.52	15.645	15.405	15.45	7091346	EUR	
13/04/2015 00:00	15.955	15.975	15.425	15.955	9044843	EUR	
14/04/2015 00:00	15.94	16.065	15.775	15.87	8642957	EUR	
15/04/2015 00:00	15.96	15.96	15.71	15.825	6010874	EUR	
16/04/2015 00:00	15.73	16.015	15.595	15.835	8273591	EUR	
17/04/2015 00:00	15.815	15.85	15.39	15.405	10767437	EUR	
20/04/2015 00:00	15.51	15.57	15.35	15.535	5735020	EUR	
21/04/2015 00:00	15.56	15.61	15.27	15.325	6810495	EUR	
22/04/2015 00:00	15.39	15.57	15.165	15.53	7103204	EUR	
23/04/2015 00:00	15.53	15.57	15.24	15.35	6326340	EUR	
24/04/2015 00:00	15.445	15.59	15.305	15.49	6102212	EUR	
