date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	106	106.3	105.2	105.8	429235	EUR	
10/03/2015 00:00	105.5	106	104.65	105.25	442403	EUR	
11/03/2015 00:00	105.7	108.2	105.45	107.8	622320	EUR	
12/03/2015 00:00	107.8	107.85	106.3	106.55	455850	EUR	
13/03/2015 00:00	106.5	107.35	105.85	107.3	439125	EUR	
16/03/2015 00:00	107.5	109.3	107.45	108.7	416040	EUR	
17/03/2015 00:00	109.05	109.7	108	108.8	462093	EUR	
18/03/2015 00:00	108.8	109.5	108.2	109.2	447908	EUR	
19/03/2015 00:00	109.65	110.5	107.65	109.15	640575	EUR	
20/03/2015 00:00	109	109.95	108.9	109.15	549386	EUR	
23/03/2015 00:00	108.85	108.95	107.35	108.55	352474	EUR	
24/03/2015 00:00	108.1	109.3	107.65	107.85	555227	EUR	
25/03/2015 00:00	107.9	108.55	106.35	106.55	426915	EUR	
26/03/2015 00:00	106.55	109.5	105.65	107.9	900922	EUR	
27/03/2015 00:00	108.55	111.1	108.1	110.45	802406	EUR	
30/03/2015 00:00	110.85	111.85	110.45	111.15	374444	EUR	
31/03/2015 00:00	110.6	111.15	109.4	110.15	523292	EUR	
01/04/2015 00:00	109.15	111.15	108.5	110.2	476518	EUR	
02/04/2015 00:00	110.4	111.35	110.35	111.25	271389	EUR	
07/04/2015 00:00	112.3	113.25	111.65	112.75	360245	EUR	
08/04/2015 00:00	112.5	112.9	111.9	112.45	301741	EUR	
09/04/2015 00:00	112.6	113.85	112.5	113.8	368420	EUR	
10/04/2015 00:00	114	114	112.85	113.95	436401	EUR	
13/04/2015 00:00	113.4	113.95	113.05	113.4	396177	EUR	
14/04/2015 00:00	113.25	113.95	112.7	113.3	453828	EUR	
15/04/2015 00:00	113.8	115.7	113.3	115	540333	EUR	
16/04/2015 00:00	114.4	115.1	113.9	114.75	405479	EUR	
17/04/2015 00:00	114.8	115.1	112.25	112.5	576637	EUR	
20/04/2015 00:00	113.85	114.75	112.45	112.8	518037	EUR	
21/04/2015 00:00	112.95	114.45	112.7	113	473128	EUR	
22/04/2015 00:00	113	113.8	112.1	113.6	472346	EUR	
23/04/2015 00:00	116.1	117.75	115.5	116.3	1130223	EUR	
24/04/2015 00:00	117.25	117.3	115.8	117.25	596004	EUR	
27/04/2015 00:00	116.55	117.55	115.1	116.9	452907	EUR	
28/04/2015 00:00	116.9	117.15	114.05	114.75	474863	EUR	
29/04/2015 00:00	114.7	115.55	110.3	110.4	728079	EUR	
30/04/2015 00:00	110.55	112.55	109.65	111	907787	EUR	
