date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	61.303	61.594	60.328	60.528	883476	EUR	
10/03/2015 00:00	60.337	60.77	59.645	60.403	859908	EUR	
11/03/2015 00:00	60.578	61.719	60.362	61.628	1003720	EUR	
12/03/2015 00:00	61.436	62.069	61.245	62.069	937069	EUR	
13/03/2015 00:00	62.219	63.56	62.219	63.519	1182235	EUR	
16/03/2015 00:00	63.652	64.152	63.452	63.693	948358	EUR	
17/03/2015 00:00	63.743	63.968	62.477	62.494	1130041	EUR	
18/03/2015 00:00	62.602	62.719	61.778	62.311	1292528	EUR	
19/03/2015 00:00	62.261	62.261	61.47	62.261	1178134	EUR	
20/03/2015 00:00	62.294	62.611	62.186	62.203	813204	EUR	
23/03/2015 00:00	62.211	62.311	61.353	61.819	649202	EUR	
24/03/2015 00:00	61.819	62.377	61.678	61.986	742569	EUR	
25/03/2015 00:00	61.953	62.078	60.503	60.645	948986	EUR	
26/03/2015 00:00	60.245	60.653	57.33	58.979	2056245	EUR	
27/03/2015 00:00	59.287	60.179	58.521	59.154	1611970	EUR	
30/03/2015 00:00	59.87	60.637	59.529	60.228	970817	EUR	
31/03/2015 00:00	60.079	60.528	59.62	59.829	982908	EUR	
01/04/2015 00:00	59.904	60.637	59.354	59.537	982023	EUR	
02/04/2015 00:00	59.612	60.187	59.554	60.187	646649	EUR	
07/04/2015 00:00	60.603	61.236	60.295	61.011	833729	EUR	
08/04/2015 00:00	61.128	61.128	60.67	60.887	834173	EUR	
09/04/2015 00:00	61.195	62.161	61.086	62.161	640906	EUR	
10/04/2015 00:00	62.361	62.935	62.186	62.869	853030	EUR	
13/04/2015 00:00	62.336	62.877	62.111	62.336	586457	EUR	
14/04/2015 00:00	62.061	62.302	61.07	61.403	935715	EUR	
15/04/2015 00:00	61.486	61.628	61.261	61.553	760134	EUR	
16/04/2015 00:00	61.578	61.578	60.637	61.261	657138	EUR	
17/04/2015 00:00	61.22	61.661	60.353	60.645	1045771	EUR	
20/04/2015 00:00	60.753	61.386	59.887	60.253	997563	EUR	
21/04/2015 00:00	62.552	64.843	62.552	63.977	2697108	EUR	
22/04/2015 00:00	63.877	66.134	63.643	65.218	1823685	EUR	
23/04/2015 00:00	65.151	65.218	63.843	64.643	1126909	EUR	
