date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	40.25	40.535	39.905	40.18	2098255	EUR	
10/03/2015 00:00	40.18	40.425	39.585	39.82	1923973	EUR	
11/03/2015 00:00	39.88	40.9	39.785	40.7	2327199	EUR	
12/03/2015 00:00	40.53	40.91	40.105	40.225	2212298	EUR	
13/03/2015 00:00	40.32	40.575	39.94	40.57	2446815	EUR	
16/03/2015 00:00	40.76	41.345	40.575	41.15	2765071	EUR	
17/03/2015 00:00	41.285	41.285	40.26	41	2658454	EUR	
18/03/2015 00:00	41.005	41.175	40.58	41.175	2221810	EUR	
19/03/2015 00:00	41.215	41.625	40.73	40.845	2392762	EUR	
20/03/2015 00:00	40.845	41.75	40.725	41.56	3198249	EUR	
23/03/2015 00:00	41.5	41.5	40.225	40.555	2785663	EUR	
24/03/2015 00:00	40.41	41.615	40.345	41.515	2757874	EUR	
25/03/2015 00:00	41.46	41.515	40.76	40.96	2260693	EUR	
26/03/2015 00:00	40.54	40.745	39.835	40.565	2288099	EUR	
27/03/2015 00:00	40.61	41.19	40.485	40.95	2311424	EUR	
30/03/2015 00:00	41.195	41.32	40.735	40.965	2073286	EUR	
31/03/2015 00:00	40.91	41.58	40.82	40.895	2004328	EUR	
01/04/2015 00:00	40.635	41.9	40.545	41.505	2325916	EUR	
02/04/2015 00:00	41.88	42.07	41.275	41.805	1443071	EUR	
07/04/2015 00:00	41.905	42.445	41.845	42.225	1725808	EUR	
08/04/2015 00:00	42.26	42.73	42.175	42.525	2158353	EUR	
09/04/2015 00:00	42.785	43.16	42.48	43.06	1488337	EUR	
10/04/2015 00:00	43.01	43.075	41.595	42.02	3227665	EUR	
13/04/2015 00:00	42.335	42.585	41.86	42.335	1677667	EUR	
14/04/2015 00:00	42.19	42.425	41.41	41.7	2254524	EUR	
15/04/2015 00:00	41.75	41.96	41.45	41.75	1627208	EUR	
16/04/2015 00:00	41.555	41.675	41.1	41.225	2122607	EUR	
17/04/2015 00:00	41.145	41.42	40.36	40.61	2611733	EUR	
