date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	83.816	84.343	83.432	83.95	2451870	EUR	
10/03/2015 00:00	83.95	84.151	82.225	82.781	2998636	EUR	
11/03/2015 00:00	83.375	85.646	83.317	85.55	3937885	EUR	
12/03/2015 00:00	85.291	85.924	84.793	85.771	2743451	EUR	
13/03/2015 00:00	85.962	86.183	84.841	86.087	2834443	EUR	
16/03/2015 00:00	86.25	88.559	86.183	88.233	3783026	EUR	
17/03/2015 00:00	88.444	89.096	87.543	88.396	3841562	EUR	
18/03/2015 00:00	88.396	89.345	88.157	89.182	2685388	EUR	
19/03/2015 00:00	89.125	89.834	88.435	89.106	3402798	EUR	
20/03/2015 00:00	89.527	90.275	88.847	89.728	5876925	EUR	
23/03/2015 00:00	89.824	89.978	89.077	89.604	2530123	EUR	
24/03/2015 00:00	89.479	90.466	89.249	90.121	2522091	EUR	
25/03/2015 00:00	89.719	90.045	88.109	88.301	3273434	EUR	
26/03/2015 00:00	87.697	88.099	85.799	87.572	4086680	EUR	
27/03/2015 00:00	87.39	88.636	86.135	87.869	3905089	EUR	
30/03/2015 00:00	88.166	89.336	87.879	88.837	2452563	EUR	
31/03/2015 00:00	88.751	89.566	87.888	88.099	3411110	EUR	
01/04/2015 00:00	87.936	90.169	87.697	89.058	2860796	EUR	
02/04/2015 00:00	89.412	89.872	88.646	89.824	2578429	EUR	
07/04/2015 00:00	90.505	92	90.026	91.789	3339255	EUR	
08/04/2015 00:00	91.54	92.048	91.051	91.616	2460585	EUR	
09/04/2015 00:00	91.731	93.111	91.693	93.111	2752060	EUR	
10/04/2015 00:00	93.696	94.635	93.322	94.635	2545403	EUR	
13/04/2015 00:00	94.856	95.095	94.156	94.856	2636554	EUR	
14/04/2015 00:00	94.338	94.923	93.37	93.84	3359794	EUR	
15/04/2015 00:00	94.309	94.731	93.859	94.166	2510698	EUR	
16/04/2015 00:00	93.667	93.715	92.556	92.977	3467352	EUR	
17/04/2015 00:00	93.006	93.61	91.262	91.664	4375969	EUR	
20/04/2015 00:00	92.028	92.575	91.798	92.153	2677170	EUR	
21/04/2015 00:00	92.287	92.939	91.693	91.913	2846173	EUR	
22/04/2015 00:00	92.795	93.322	91.185	92.469	2771100	EUR	
23/04/2015 00:00	92.431	92.699	90.831	91.377	3543280	EUR	
24/04/2015 00:00	91.789	92.105	90.926	91.866	2887150	EUR	
27/04/2015 00:00	91.751	93.6	90.39	93.274	2909892	EUR	
28/04/2015 00:00	92.68	92.68	89.326	90.227	3743173	EUR	
