date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	71.34	71.34	70.83	70.86	1304793	EUR	
10/03/2015 00:00	70.84	71	69.76	70.18	1554765	EUR	
11/03/2015 00:00	70.69	72.36	70.48	72.35	2241489	EUR	
12/03/2015 00:00	72.72	72.85	71.72	71.83	1594580	EUR	
13/03/2015 00:00	72.24	73.51	72.02	73.51	2353288	EUR	
16/03/2015 00:00	73.68	74.82	73.68	74.46	1631896	EUR	
17/03/2015 00:00	74.63	74.67	73.21	73.69	1357513	EUR	
18/03/2015 00:00	73.75	73.86	73.16	73.61	1443594	EUR	
19/03/2015 00:00	73.41	74.15	72.46	72.95	1722045	EUR	
20/03/2015 00:00	72.81	74.5	72.69	74.18	2316851	EUR	
23/03/2015 00:00	74.27	74.28	73.13	73.5	994277	EUR	
24/03/2015 00:00	73.38	73.8	73.01	73.53	1628439	EUR	
25/03/2015 00:00	73.23	73.29	71.79	71.9	1807817	EUR	
26/03/2015 00:00	71.4	71.75	70.04	71.71	2300656	EUR	
27/03/2015 00:00	72.09	72.7	71.77	72.13	1663495	EUR	
30/03/2015 00:00	72.13	72.98	71.81	72.34	1230796	EUR	
31/03/2015 00:00	72.05	73.29	71.89	72.35	1768653	EUR	
01/04/2015 00:00	72	74.11	71.66	73.11	1707733	EUR	
02/04/2015 00:00	73.07	74	73	73.89	1073967	EUR	
07/04/2015 00:00	74.39	75.29	74.02	74.99	1371673	EUR	
08/04/2015 00:00	73.4	74.01	72.2	72.62	2042600	EUR	
09/04/2015 00:00	72.97	73.42	72.76	73.37	1462724	EUR	
10/04/2015 00:00	74	74.14	73.16	73.62	1647244	EUR	
13/04/2015 00:00	73.28	73.77	73.09	73.28	1260151	EUR	
14/04/2015 00:00	73.06	73.34	71.75	72.11	1814287	EUR	
15/04/2015 00:00	72.29	73.24	72.18	72.48	1471908	EUR	
16/04/2015 00:00	72.01	72.01	70.54	70.97	2648978	EUR	
17/04/2015 00:00	70.65	71.39	69.35	69.62	2845909	EUR	
20/04/2015 00:00	69.94	70.35	69.54	70.18	2581148	EUR	
21/04/2015 00:00	69.5	72.09	69.5	70.47	2726020	EUR	
22/04/2015 00:00	70.24	70.88	69.66	70.68	2010350	EUR	
23/04/2015 00:00	70.68	70.68	68.81	69.39	2287532	EUR	
24/04/2015 00:00	69.68	70.39	68.88	69.4	1655231	EUR	
27/04/2015 00:00	69.56	70.93	68.37	70.65	1645380	EUR	
28/04/2015 00:00	70.45	70.76	68.48	69.17	1590298	EUR	
29/04/2015 00:00	69.27	69.81	66.5	66.88	2436907	EUR	
30/04/2015 00:00	65.39	67.09	64.88	66.84	3160430	EUR	
04/05/2015 00:00	67.87	67.88	66.38	67.38	1619905	EUR	
05/05/2015 00:00	67.03	68.4	66.85	67	2796043	EUR	
06/05/2015 00:00	67.13	67.92	66.39	67.64	2239970	EUR	
07/05/2015 00:00	67.21	67.45	65.56	66.91	2590894	EUR	
08/05/2015 00:00	67.12	68.69	66.87	68.49	2070213	EUR	
11/05/2015 00:00	68.27	68.27	67.56	68	1267746	EUR	
