date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	37.806	38.129	37.542	37.865	3847390	EUR	
10/03/2015 00:00	37.811	37.984	37.073	37.296	4837106	EUR	
11/03/2015 00:00	37.606	38.539	37.346	38.389	6019167	EUR	
12/03/2015 00:00	38.198	38.589	38.061	38.416	3696512	EUR	
13/03/2015 00:00	38.535	38.617	38.225	38.516	3012354	EUR	
16/03/2015 00:00	38.53	39.149	38.526	38.972	4889708	EUR	
17/03/2015 00:00	39.118	39.254	38.07	38.658	5109057	EUR	
18/03/2015 00:00	38.626	38.771	38.038	38.261	5476519	EUR	
19/03/2015 00:00	38.298	39.072	38.234	38.771	4427755	EUR	
20/03/2015 00:00	38.712	39.787	38.603	39.304	10111551	EUR	
23/03/2015 00:00	39.436	39.833	39.209	39.833	4578231	EUR	
24/03/2015 00:00	39.955	41.153	39.71	40.83	6440217	EUR	
25/03/2015 00:00	40.629	41.203	40.57	40.834	5299757	EUR	
26/03/2015 00:00	40.22	40.62	39.846	40.338	4950510	EUR	
27/03/2015 00:00	40.356	40.957	40.311	40.67	4294845	EUR	
30/03/2015 00:00	40.985	41.772	40.871	41.558	4969908	EUR	
31/03/2015 00:00	41.531	41.7	40.639	40.957	4997390	EUR	
01/04/2015 00:00	40.834	42.027	40.73	41.581	4558772	EUR	
02/04/2015 00:00	41.385	41.987	41.349	41.823	2609115	EUR	
07/04/2015 00:00	41.9	42.56	41.782	42.301	3823954	EUR	
08/04/2015 00:00	42.323	42.638	42.114	42.342	3476588	EUR	
09/04/2015 00:00	42.465	42.565	42.023	42.41	3624262	EUR	
10/04/2015 00:00	42.364	42.588	41.672	42.064	3811542	EUR	
13/04/2015 00:00	42.465	42.606	42.005	42.465	3174897	EUR	
14/04/2015 00:00	42.36	42.761	41.344	41.65	4980072	EUR	
15/04/2015 00:00	41.763	42.196	41.681	41.936	3198254	EUR	
16/04/2015 00:00	41.895	42.032	40.998	41.531	5077507	EUR	
17/04/2015 00:00	41.458	41.895	40.356	40.83	6407927	EUR	
20/04/2015 00:00	40.985	41.886	40.866	41.832	4030973	EUR	
21/04/2015 00:00	41.959	42.251	40.957	41.203	5397254	EUR	
22/04/2015 00:00	41.24	41.731	40.639	41.668	4919199	EUR	
23/04/2015 00:00	41.672	41.722	40.639	41.08	5250283	EUR	
24/04/2015 00:00	41.144	42.114	41.08	41.745	4683445	EUR	
27/04/2015 00:00	42.018	42.711	41.19	42.583	4314511	EUR	
28/04/2015 00:00	42.396	42.41	41.577	42.091	3973755	EUR	
29/04/2015 00:00	42.073	42.351	41.003	41.176	4156391	EUR	
30/04/2015 00:00	41.167	41.253	40.361	40.716	6724954	EUR	
04/05/2015 00:00	41.026	41.85	40.534	41.281	4135401	EUR	
05/05/2015 00:00	41.7	42.132	40.643	40.771	6102616	EUR	
06/05/2015 00:00	40.074	40.211	38.617	39.846	8752009	EUR	
07/05/2015 00:00	38.89	39.605	38.526	39.436	7633998	EUR	
08/05/2015 00:00	39.978	40.224	39.19	40.142	4463635	EUR	
11/05/2015 00:00	40.27	40.429	39.76	40.206	3143295	EUR	
12/05/2015 00:00	39.878	40.019	39.5	39.896	4138669	EUR	
13/05/2015 00:00	39.996	40.775	39.978	40.197	4378347	EUR	
14/05/2015 00:00	40.151	41.176	39.664	40.921	3991606	EUR	
15/05/2015 00:00	41.344	41.568	40.429	40.666	4861972	EUR	
18/05/2015 00:00	40.684	40.803	39.382	40.097	4750167	EUR	
19/05/2015 00:00	40.42	40.966	40.261	40.666	4078564	EUR	
20/05/2015 00:00	40.607	41.108	40.302	41.012	3208271	EUR	
21/05/2015 00:00	40.944	40.998	40.538	40.962	1929387	EUR	
22/05/2015 00:00	40.634	41.017	40.447	40.757	3591344	EUR	
25/05/2015 00:00	40.816	40.816	40.238	40.561	1074789	EUR	
26/05/2015 00:00	39.678	39.874	38.863	39.427	5804247	EUR	
27/05/2015 00:00	39.609	40.466	39.177	40.251	4570553	EUR	
28/05/2015 00:00	40.092	40.183	39.127	39.659	3927997	EUR	
29/05/2015 00:00	39.705	39.782	38.63	38.73	5689270	EUR	
01/06/2015 00:00	38.808	39.095	38.325	38.439	4227320	EUR	
02/06/2015 00:00	38.744	39.464	37.956	38.94	6424947	EUR	
