date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	8.741	8.847	8.556	8.847	9255848	EUR	
10/03/2015 00:00	8.858	8.904	8.64	8.825	10292300	EUR	
11/03/2015 00:00	8.787	9.155	8.757	9.136	9867966	EUR	
12/03/2015 00:00	9.157	9.226	9.043	9.163	7207550	EUR	
13/03/2015 00:00	9.013	9.089	8.686	8.806	17761945	EUR	
16/03/2015 00:00	8.806	9.084	8.787	9.027	9460195	EUR	
17/03/2015 00:00	9.04	9.081	8.292	8.49	20232086	EUR	
18/03/2015 00:00	8.501	8.583	7.976	8.256	22238766	EUR	
19/03/2015 00:00	8.319	8.493	8.24	8.493	10191679	EUR	
20/03/2015 00:00	8.534	8.763	8.341	8.599	28235970	EUR	
23/03/2015 00:00	8.621	8.659	8.362	8.4	9117326	EUR	
24/03/2015 00:00	8.365	8.539	8.322	8.381	10156992	EUR	
25/03/2015 00:00	8.387	8.441	8.098	8.15	13043516	EUR	
26/03/2015 00:00	8.038	8.406	7.899	8.406	17751383	EUR	
27/03/2015 00:00	8.477	8.632	8.218	8.286	9227331	EUR	
30/03/2015 00:00	8.376	8.602	8.376	8.591	8510964	EUR	
31/03/2015 00:00	8.58	8.643	8.338	8.49	7233399	EUR	
01/04/2015 00:00	8.455	8.695	8.403	8.61	8325123	EUR	
02/04/2015 00:00	8.64	8.648	8.531	8.624	3666807	EUR	
07/04/2015 00:00	8.703	8.735	8.591	8.651	6104351	EUR	
08/04/2015 00:00	8.613	8.635	8.373	8.466	8645023	EUR	
09/04/2015 00:00	8.534	8.705	8.441	8.695	8146605	EUR	
10/04/2015 00:00	8.708	8.733	8.626	8.692	6414877	EUR	
13/04/2015 00:00	8.749	8.771	8.605	8.749	4917198	EUR	
14/04/2015 00:00	8.765	8.806	8.556	8.651	9756761	EUR	
15/04/2015 00:00	8.646	8.82	8.602	8.803	7749380	EUR	
16/04/2015 00:00	8.836	9.089	8.817	8.948	10304187	EUR	
17/04/2015 00:00	8.953	9.106	8.814	8.959	10836962	EUR	
20/04/2015 00:00	9.005	9.147	8.959	9.002	8157662	EUR	
21/04/2015 00:00	9.149	9.449	9.119	9.302	13696317	EUR	
22/04/2015 00:00	9.313	9.525	9.275	9.419	9002785	EUR	
23/04/2015 00:00	9.476	9.609	9.095	9.16	13487292	EUR	
24/04/2015 00:00	9.337	9.441	9.204	9.348	9779640	EUR	
27/04/2015 00:00	9.386	9.514	9.185	9.498	8550774	EUR	
28/04/2015 00:00	9.531	9.585	9.256	9.299	10376385	EUR	
29/04/2015 00:00	9.479	9.525	8.896	8.915	16056653	EUR	
30/04/2015 00:00	8.904	9.291	8.798	9.204	13233503	EUR	
04/05/2015 00:00	9.294	9.324	9.144	9.261	6182501	EUR	
05/05/2015 00:00	9.22	9.476	9.177	9.198	11114070	EUR	
06/05/2015 00:00	9.141	9.206	8.825	8.991	13302673	EUR	
07/05/2015 00:00	8.967	9.223	8.801	9.179	11526603	EUR	
08/05/2015 00:00	9.234	9.403	9.122	9.362	6416139	EUR	
11/05/2015 00:00	9.375	9.408	9.25	9.375	4890472	EUR	
12/05/2015 00:00	9.294	9.318	9.038	9.206	10156116	EUR	
13/05/2015 00:00	9.223	9.468	9.168	9.215	8364589	EUR	
14/05/2015 00:00	9.217	9.394	9.106	9.386	5887769	EUR	
15/05/2015 00:00	9.441	9.522	9.305	9.337	7543423	EUR	
18/05/2015 00:00	9.356	9.585	9.264	9.585	7715658	EUR	
19/05/2015 00:00	9.683	9.865	9.659	9.846	12713275	EUR	
20/05/2015 00:00	9.912	10.021	9.825	9.999	10307639	EUR	
21/05/2015 00:00	9.983	10.029	9.898	9.934	5501058	EUR	
22/05/2015 00:00	9.953	10.015	9.846	10.012	6646678	EUR	
25/05/2015 00:00	10.007	10.1	9.895	10.1	1700708	EUR	
26/05/2015 00:00	10.097	10.282	10.051	10.119	10169541	EUR	
27/05/2015 00:00	10.184	10.636	10.173	10.606	14946438	EUR	
28/05/2015 00:00	10.579	10.731	10.391	10.484	12929817	EUR	
29/05/2015 00:00	10.5	10.535	10.312	10.347	13761401	EUR	
01/06/2015 00:00	10.478	10.587	10.165	10.268	11335862	EUR	
02/06/2015 00:00	10.331	10.337	9.901	10.135	11806899	EUR	
03/06/2015 00:00	10.168	10.209	9.928	10.021	9226297	EUR	
04/06/2015 00:00	9.934	10.007	9.765	9.912	9357584	EUR	
05/06/2015 00:00	9.863	9.909	9.697	9.789	9991643	EUR	
08/06/2015 00:00	9.765	9.8	9.462	9.517	10479302	EUR	
09/06/2015 00:00	9.46	9.74	9.359	9.727	11720261	EUR	
10/06/2015 00:00	9.727	9.985	9.609	9.939	7881159	EUR	
11/06/2015 00:00	9.961	10.44	9.914	10.195	14863245	EUR	
12/06/2015 00:00	10.181	10.356	10.062	10.192	7704686	EUR	
15/06/2015 00:00	10.021	10.048	9.748	9.784	7909517	EUR	
16/06/2015 00:00	9.65	9.836	9.471	9.806	9627762	EUR	
