date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	8.51	8.586	8.426	8.497	2345050	EUR	
10/03/2015 00:00	8.508	8.717	8.507	8.632	3086550	EUR	
11/03/2015 00:00	8.687	8.953	8.65	8.923	3012265	EUR	
12/03/2015 00:00	8.97	8.975	8.55	8.625	3267435	EUR	
13/03/2015 00:00	8.643	8.82	8.643	8.787	2004515	EUR	
16/03/2015 00:00	8.795	9.213	8.795	9.162	3764349	EUR	
17/03/2015 00:00	9.162	9.234	9.065	9.222	3303707	EUR	
18/03/2015 00:00	9.234	9.29	8.996	9.142	3341676	EUR	
19/03/2015 00:00	9.092	9.092	8.872	9.026	3409412	EUR	
20/03/2015 00:00	9.15	9.253	9.08	9.198	3751839	EUR	
23/03/2015 00:00	9.164	9.329	8.991	9.008	2930407	EUR	
24/03/2015 00:00	8.98	9.066	8.955	8.994	2214122	EUR	
25/03/2015 00:00	8.98	9.019	8.6	8.6	3243318	EUR	
26/03/2015 00:00	8.571	8.571	8.18	8.278	6413124	EUR	
27/03/2015 00:00	8.32	8.519	8.32	8.424	3617277	EUR	
30/03/2015 00:00	8.52	8.735	8.52	8.731	2009116	EUR	
31/03/2015 00:00	8.719	8.76	8.62	8.696	2646672	EUR	
01/04/2015 00:00	8.65	8.745	8.536	8.576	2264814	EUR	
02/04/2015 00:00	8.541	8.687	8.516	8.612	1713176	EUR	
07/04/2015 00:00	8.68	8.71	8.569	8.621	2063012	EUR	
08/04/2015 00:00	8.584	8.595	8.398	8.507	2384431	EUR	
09/04/2015 00:00	8.52	8.654	8.52	8.654	1624331	EUR	
10/04/2015 00:00	8.718	8.904	8.667	8.904	2530759	EUR	
13/04/2015 00:00	8.929	9.082	8.883	9.037	2066851	EUR	
14/04/2015 00:00	9.031	9.037	8.805	8.873	2074837	EUR	
15/04/2015 00:00	8.88	8.958	8.753	8.833	3020391	EUR	
16/04/2015 00:00	8.807	8.949	8.724	8.835	2509715	EUR	
17/04/2015 00:00	8.849	8.884	8.505	8.509	2909412	EUR	
20/04/2015 00:00	8.548	8.644	8.514	8.64	1646362	EUR	
21/04/2015 00:00	8.69	9.021	8.683	8.977	2656158	EUR	
22/04/2015 00:00	9.02	9.292	8.91	9.274	3339612	EUR	
23/04/2015 00:00	9.21	9.235	8.83	8.855	3555979	EUR	
24/04/2015 00:00	8.908	8.936	8.664	8.705	2886494	EUR	
27/04/2015 00:00	8.656	8.867	8.656	8.839	2900518	EUR	
28/04/2015 00:00	8.85	8.85	8.469	8.512	3147451	EUR	
29/04/2015 00:00	8.547	8.63	8.211	8.211	3688440	EUR	
30/04/2015 00:00	7.868	7.868	7.109	7.12	11069672	EUR	
04/05/2015 00:00	7.14	7.166	6.857	7.004	5439358	EUR	
05/05/2015 00:00	6.88	6.992	6.772	6.792	6866257	EUR	
06/05/2015 00:00	6.76	7.029	6.755	6.888	4646073	EUR	
07/05/2015 00:00	6.828	6.95	6.723	6.94	3091334	EUR	
08/05/2015 00:00	7.068	7.077	6.915	7	3207120	EUR	
11/05/2015 00:00	7.024	7.042	6.848	7.042	3341070	EUR	
12/05/2015 00:00	6.956	7.409	6.854	7.214	7250330	EUR	
13/05/2015 00:00	7.24	7.289	7.085	7.12	4287231	EUR	
14/05/2015 00:00	7.081	7.24	7.015	7.206	1954267	EUR	
15/05/2015 00:00	7.267	7.293	7.097	7.112	2365267	EUR	
18/05/2015 00:00	7.152	7.216	7.059	7.216	1860193	EUR	
19/05/2015 00:00	7.263	7.316	7.24	7.307	2688607	EUR	
20/05/2015 00:00	7.297	7.493	7.281	7.446	2771363	EUR	
21/05/2015 00:00	7.443	7.493	7.347	7.429	1447932	EUR	
22/05/2015 00:00	7.401	7.442	7.322	7.431	1580695	EUR	
25/05/2015 00:00	7.435	7.462	7.31	7.325	370705	EUR	
26/05/2015 00:00	7.344	7.457	7.264	7.393	2053952	EUR	
27/05/2015 00:00	7.344	7.58	7.338	7.579	2726751	EUR	
28/05/2015 00:00	7.6	7.95	7.59	7.851	6159023	EUR	
29/05/2015 00:00	7.862	7.862	7.665	7.774	4802438	EUR	
01/06/2015 00:00	7.781	7.883	7.685	7.702	2448737	EUR	
02/06/2015 00:00	7.764	7.83	7.655	7.761	3641076	EUR	
03/06/2015 00:00	7.791	7.796	7.661	7.684	2878056	EUR	
04/06/2015 00:00	7.649	7.802	7.51	7.665	3009816	EUR	
05/06/2015 00:00	7.586	7.654	7.509	7.64	2944216	EUR	
08/06/2015 00:00	7.646	7.65	7.501	7.619	2171925	EUR	
09/06/2015 00:00	7.538	7.547	7.371	7.496	2961074	EUR	
