date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	65	65.29	63.86	65.1	122657	EUR	
10/03/2015 00:00	65.41	65.66	64.9	65	111151	EUR	
11/03/2015 00:00	65	66.9	65	66.55	106035	EUR	
12/03/2015 00:00	66.5	66.84	65.93	66.4	60351	EUR	
13/03/2015 00:00	66.85	67.61	66.45	67.44	85023	EUR	
16/03/2015 00:00	67.6	68.49	67.35	67.82	112848	EUR	
17/03/2015 00:00	68.39	68.39	65.64	66.65	76304	EUR	
18/03/2015 00:00	66.9	66.9	64.51	64.93	197765	EUR	
19/03/2015 00:00	65	65.8	64.8	65.41	110169	EUR	
20/03/2015 00:00	65.73	65.84	64.6	65.1	139334	EUR	
23/03/2015 00:00	65.22	65.58	64.24	65.54	112326	EUR	
24/03/2015 00:00	65.47	66.23	64.88	66.01	87065	EUR	
25/03/2015 00:00	66	66.43	64.89	65.19	118374	EUR	
26/03/2015 00:00	65	65	62.67	63.13	190851	EUR	
27/03/2015 00:00	63.14	63.45	62.12	62.2	229254	EUR	
30/03/2015 00:00	62.32	64.13	62.27	63.77	123563	EUR	
31/03/2015 00:00	64.22	64.75	63.59	63.81	161372	EUR	
01/04/2015 00:00	64.04	65.53	64.04	65.11	161356	EUR	
02/04/2015 00:00	65.41	65.95	64.79	65.65	70738	EUR	
07/04/2015 00:00	65.8	65.99	64.7	65.79	163183	EUR	
08/04/2015 00:00	66.01	66.01	64.55	65.95	110751	EUR	
09/04/2015 00:00	65.98	66.66	65.78	66.3	75442	EUR	
10/04/2015 00:00	66.62	67.53	66.17	67.41	109691	EUR	
13/04/2015 00:00	67.49	67.65	66.04	66.14	91488	EUR	
14/04/2015 00:00	65.77	65.77	64.81	65.24	138367	EUR	
15/04/2015 00:00	66.17	66.17	64.95	65.72	143458	EUR	
16/04/2015 00:00	66	67.38	65.35	67.1	147229	EUR	
17/04/2015 00:00	66.9	66.9	62.01	62.26	516221	EUR	
20/04/2015 00:00	63.89	65.89	63.38	65.89	304703	EUR	
21/04/2015 00:00	68.6	69.85	68	69.79	296696	EUR	
22/04/2015 00:00	70.24	71	69.22	69.88	170406	EUR	
23/04/2015 00:00	69.97	70.8	68.92	69.4	111340	EUR	
24/04/2015 00:00	69.41	70.29	68.51	69.21	131312	EUR	
27/04/2015 00:00	69.4	70.76	68.72	70.68	108324	EUR	
28/04/2015 00:00	70.84	70.87	69	69.93	105072	EUR	
29/04/2015 00:00	70.43	70.61	68.12	68.12	94927	EUR	
30/04/2015 00:00	68	68	66.05	66.95	223028	EUR	
04/05/2015 00:00	67.79	69.14	67.21	69.08	91894	EUR	
05/05/2015 00:00	69.68	70.56	66.8	66.88	165179	EUR	
06/05/2015 00:00	67.15	67.23	65.69	65.9	105174	EUR	
07/05/2015 00:00	66.07	66.9	64.29	66.84	128347	EUR	
08/05/2015 00:00	67.35	68.56	66.82	68.15	92280	EUR	
11/05/2015 00:00	68.12	68.46	67.25	67.77	86280	EUR	
12/05/2015 00:00	67.31	67.94	65.6	67.61	143315	EUR	
13/05/2015 00:00	67.79	68.03	67.09	67.46	111391	EUR	
14/05/2015 00:00	67.4	67.98	67	67.98	44994	EUR	
15/05/2015 00:00	68.09	68.18	67	67.31	58535	EUR	
18/05/2015 00:00	67.48	67.48	66.75	67.33	79075	EUR	
19/05/2015 00:00	66.39	68.19	66.32	68.05	106616	EUR	
20/05/2015 00:00	68.27	68.66	67.48	67.81	77117	EUR	
21/05/2015 00:00	67.61	68.01	67.5	68.01	70242	EUR	
22/05/2015 00:00	68.2	68.78	67.83	68.41	71124	EUR	
