date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	52.2	52.39	51.78	52.29	422093	EUR	
10/03/2015 00:00	52.14	53.1	52.12	52.19	384202	EUR	
11/03/2015 00:00	52.27	53.71	52.26	53.58	304779	EUR	
12/03/2015 00:00	53.7	54.13	53.22	53.42	398561	EUR	
13/03/2015 00:00	53.69	53.89	53.18	53.73	295718	EUR	
16/03/2015 00:00	53.6	54.12	53.33	53.68	276441	EUR	
17/03/2015 00:00	53.91	54.05	52.67	52.88	283714	EUR	
18/03/2015 00:00	53.08	53.4	52.51	52.62	343453	EUR	
19/03/2015 00:00	52.79	53.16	52.06	52.75	342228	EUR	
20/03/2015 00:00	52.57	53.44	52.56	53.26	288367	EUR	
23/03/2015 00:00	53.01	53.2	52.46	52.51	283341	EUR	
24/03/2015 00:00	52.22	52.66	51.85	52.49	493971	EUR	
25/03/2015 00:00	52.23	53.07	51.58	51.69	360510	EUR	
26/03/2015 00:00	51.51	51.69	50.35	51.53	361874	EUR	
27/03/2015 00:00	51.7	52.53	51.63	51.91	405207	EUR	
30/03/2015 00:00	52.16	52.71	51.74	51.91	212595	EUR	
31/03/2015 00:00	51.91	52.51	51.23	51.7	367283	EUR	
01/04/2015 00:00	51.7	52.89	51.41	52.32	282665	EUR	
02/04/2015 00:00	52.4	52.6	52	52.32	164438	EUR	
07/04/2015 00:00	52.38	53.35	52.31	53.13	314252	EUR	
08/04/2015 00:00	53.4	53.55	52.98	53.53	256300	EUR	
09/04/2015 00:00	53.64	54.07	53.57	53.97	271330	EUR	
10/04/2015 00:00	54	55.18	53.99	54.66	514924	EUR	
13/04/2015 00:00	55.18	55.19	54.19	54.95	259783	EUR	
14/04/2015 00:00	54.78	54.78	54.02	54.38	402967	EUR	
15/04/2015 00:00	54.5	55	54.2	54.4	337729	EUR	
16/04/2015 00:00	54.31	54.42	53.81	53.87	346320	EUR	
17/04/2015 00:00	54.55	55.26	53.58	53.73	483399	EUR	
20/04/2015 00:00	53.88	54.63	53.87	54.48	305120	EUR	
21/04/2015 00:00	54.6	55.76	54.57	54.64	427936	EUR	
22/04/2015 00:00	54.73	55.16	54.53	54.89	492364	EUR	
23/04/2015 00:00	54.89	55.15	54.6	55.09	442158	EUR	
24/04/2015 00:00	55.1	55.5	54.63	55.05	259465	EUR	
27/04/2015 00:00	55.05	55.85	54.7	55.83	299911	EUR	
28/04/2015 00:00	55.76	55.81	54.4	54.72	338339	EUR	
29/04/2015 00:00	54.62	55.11	53.06	53.06	342033	EUR	
30/04/2015 00:00	53.24	54.55	52.49	54.24	601480	EUR	
04/05/2015 00:00	54.55	54.61	53.91	54.43	292926	EUR	
05/05/2015 00:00	54.78	56.45	54.02	54.1	606121	EUR	
06/05/2015 00:00	53	53.92	52	53.33	554185	EUR	
07/05/2015 00:00	53.17	53.57	51.73	53.5	374385	EUR	
08/05/2015 00:00	54	54.94	53.77	54.7	349629	EUR	
11/05/2015 00:00	54.37	54.62	53.93	54.32	382547	EUR	
12/05/2015 00:00	54.08	54.08	53.03	53.51	235913	EUR	
13/05/2015 00:00	54.06	55.48	53.55	54.02	609792	EUR	
14/05/2015 00:00	54.1	54.46	53.54	54.32	254787	EUR	
15/05/2015 00:00	54.83	55.79	54.63	55.09	506833	EUR	
18/05/2015 00:00	55.18	56	54.63	55.55	328356	EUR	
19/05/2015 00:00	55.83	57.5	55.82	56.92	614136	EUR	
20/05/2015 00:00	57.05	57.42	56.3	57.03	365924	EUR	
21/05/2015 00:00	56.93	57.32	56.55	57.3	424061	EUR	
22/05/2015 00:00	57.3	58.15	56.89	57.61	462505	EUR	
25/05/2015 00:00	57.5	57.6	56.85	57.26	89911	EUR	
26/05/2015 00:00	57.42	58.49	57.27	57.45	495160	EUR	
27/05/2015 00:00	56.84	58.03	56.66	57.95	447199	EUR	
28/05/2015 00:00	57.99	58.33	57.36	57.6	410101	EUR	
29/05/2015 00:00	57.8	58.12	56.64	56.64	1295029	EUR	
01/06/2015 00:00	56.78	57	56.04	56.84	449930	EUR	
02/06/2015 00:00	57.1	57.14	56.05	56.5	551514	EUR	
03/06/2015 00:00	56.61	57.24	56.52	56.67	470134	EUR	
04/06/2015 00:00	56.5	56.85	55.58	56.25	358030	EUR	
05/06/2015 00:00	56	56.6	55.26	55.44	513499	EUR	
08/06/2015 00:00	55.2	55.56	55.04	55.23	279837	EUR	
09/06/2015 00:00	55.04	55.5	54.54	55.25	410256	EUR	
10/06/2015 00:00	55	56.2	54.8	56.02	426017	EUR	
11/06/2015 00:00	56	56.34	55.16	55.4	614293	EUR	
12/06/2015 00:00	55.45	55.79	54.77	55.22	345564	EUR	
15/06/2015 00:00	54.86	54.89	54.11	54.19	508833	EUR	
16/06/2015 00:00	54	54.53	53.46	54.37	483478	EUR	
17/06/2015 00:00	54.5	54.88	53.65	53.77	379958	EUR	
18/06/2015 00:00	53.5	54.05	53.37	54.03	457210	EUR	
19/06/2015 00:00	54.21	54.87	54.18	54.43	531730	EUR	
22/06/2015 00:00	54.99	55.73	54.57	55.52	541394	EUR	
23/06/2015 00:00	56	56.5	55.73	56.25	337631	EUR	
24/06/2015 00:00	56.02	56.85	55.91	56.83	582636	EUR	
25/06/2015 00:00	56.4	57.05	56.33	56.52	534690	EUR	
26/06/2015 00:00	56.23	56.53	55.96	56.27	275051	EUR	
29/06/2015 00:00	54.07	55.44	54	54.85	492653	EUR	
30/06/2015 00:00	54.58	55.03	53.99	54.16	576622	EUR	
01/07/2015 00:00	54.74	55.84	54.32	55.46	433205	EUR	
02/07/2015 00:00	55.44	55.5	54.36	54.44	329416	EUR	
03/07/2015 00:00	54.4	54.45	53.81	53.9	327566	EUR	
06/07/2015 00:00	53	53.65	52.68	53.43	397773	EUR	
07/07/2015 00:00	53.36	53.55	52.08	52.34	459318	EUR	
08/07/2015 00:00	52.84	53.97	52.65	53.81	629116	EUR	
09/07/2015 00:00	53.9	54.74	53.66	54.45	437694	EUR	
10/07/2015 00:00	55.5	55.71	55.06	55.53	321890	EUR	
13/07/2015 00:00	56.48	57.01	56.26	56.72	350429	EUR	
14/07/2015 00:00	56.5	56.81	56.22	56.65	273459	EUR	
15/07/2015 00:00	56.71	57.53	56.6	57.4	226742	EUR	
16/07/2015 00:00	57.59	58.38	57.42	57.82	407872	EUR	
17/07/2015 00:00	57.87	58.26	57.46	57.99	402971	EUR	
20/07/2015 00:00	58	58.93	57.72	58.38	335677	EUR	
21/07/2015 00:00	58.37	58.42	57.05	57.27	385312	EUR	
22/07/2015 00:00	57.28	57.5	56.77	56.93	369593	EUR	
23/07/2015 00:00	57.5	57.78	56.55	56.77	299580	EUR	
24/07/2015 00:00	60.5	62.77	60.41	61	1460515	EUR	
27/07/2015 00:00	60	60.77	59.4	59.57	717075	EUR	
28/07/2015 00:00	60.42	61.67	60.25	60.71	527611	EUR	
29/07/2015 00:00	61.08	62.12	60.97	61.51	415526	EUR	
30/07/2015 00:00	61.98	61.98	60.19	60.8	545941	EUR	
31/07/2015 00:00	60.9	61.65	60.64	61.63	415486	EUR	
03/08/2015 00:00	61.62	62.5	61.24	62.25	417461	EUR	
04/08/2015 00:00	62.38	63	62.07	62.37	382897	EUR	
