date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	43.146	43.206	42.667	43.031	6175210	EUR	
10/03/2015 00:00	42.943	42.943	41.588	41.644	10370225	EUR	
11/03/2015 00:00	41.819	42.188	41.496	41.906	10216024	EUR	
12/03/2015 00:00	41.916	42.386	41.782	41.883	6018085	EUR	
13/03/2015 00:00	41.957	41.957	40.763	41.151	10086129	EUR	
16/03/2015 00:00	41.206	41.289	40.722	41.082	7708819	EUR	
17/03/2015 00:00	41.132	41.773	41.109	41.671	9028443	EUR	
18/03/2015 00:00	41.828	42.4	41.616	42.4	7696774	EUR	
19/03/2015 00:00	42.533	42.934	42.349	42.837	7237764	EUR	
20/03/2015 00:00	43.017	44.036	42.635	43.907	15223824	EUR	
23/03/2015 00:00	43.492	43.506	43.063	43.275	6353493	EUR	
24/03/2015 00:00	42.92	43.584	42.741	43.215	6206310	EUR	
25/03/2015 00:00	42.902	43.248	42.787	42.865	6679420	EUR	
26/03/2015 00:00	43.183	43.699	42.377	42.943	9881304	EUR	
27/03/2015 00:00	43.017	43.017	42.344	42.948	7958284	EUR	
30/03/2015 00:00	42.87	43.547	42.681	43.321	5944926	EUR	
31/03/2015 00:00	43.197	43.441	42.556	42.653	7941633	EUR	
01/04/2015 00:00	42.547	43.294	42.459	42.741	7463573	EUR	
02/04/2015 00:00	42.824	43.082	42.095	42.257	6010795	EUR	
07/04/2015 00:00	42.782	44.151	42.713	43.87	8987319	EUR	
08/04/2015 00:00	44.243	44.791	43.238	43.367	8263503	EUR	
09/04/2015 00:00	43.446	44.211	42.86	44.211	6861782	EUR	
10/04/2015 00:00	44.243	44.791	43.939	44.722	5921458	EUR	
13/04/2015 00:00	44.718	45.137	44.584	44.944	6081588	EUR	
14/04/2015 00:00	44.782	45.119	44.437	44.916	6866894	EUR	
15/04/2015 00:00	45.063	46.054	44.999	45.847	8135339	EUR	
16/04/2015 00:00	45.948	46.04	45.358	45.451	7093400	EUR	
17/04/2015 00:00	45.331	45.75	44.681	45.045	11318653	EUR	
20/04/2015 00:00	45.132	45.533	44.805	45.515	4952470	EUR	
21/04/2015 00:00	45.787	45.847	44.847	44.884	6489950	EUR	
22/04/2015 00:00	45.036	45.077	43.842	44.635	8113561	EUR	
23/04/2015 00:00	44.524	44.796	43.87	44.626	7581192	EUR	
24/04/2015 00:00	44.939	45.156	43.967	44.248	6359388	EUR	
27/04/2015 00:00	44.123	45.497	43.662	45.321	7638389	EUR	
28/04/2015 00:00	46.086	46.363	45.506	45.792	10638484	EUR	
29/04/2015 00:00	46.077	46.197	44.229	44.644	10564824	EUR	
30/04/2015 00:00	44.722	45.036	44.22	44.69	10599208	EUR	
04/05/2015 00:00	44.243	45.082	44.054	44.363	6039877	EUR	
05/05/2015 00:00	44.229	44.487	43.897	43.943	12174219	EUR	
06/05/2015 00:00	43.727	44.289	43.658	44.1	9089382	EUR	
07/05/2015 00:00	43.658	43.658	42.63	43.105	11603917	EUR	
08/05/2015 00:00	43.119	44.243	42.718	44.243	8867594	EUR	
11/05/2015 00:00	44.017	44.331	43.607	43.796	5662310	EUR	
12/05/2015 00:00	43.091	43.441	42.81	43.303	7415894	EUR	
13/05/2015 00:00	43.344	44.146	43.16	43.349	6812607	EUR	
14/05/2015 00:00	42.879	43.787	42.625	43.63	4691871	EUR	
15/05/2015 00:00	43.409	43.501	42.556	42.833	7762268	EUR	
18/05/2015 00:00	42.796	43.275	42.589	43.017	5649755	EUR	
19/05/2015 00:00	43.321	43.985	43.321	43.602	7851112	EUR	
20/05/2015 00:00	43.234	43.736	43.1	43.69	4534055	EUR	
21/05/2015 00:00	43.478	44.234	43.478	44.077	4857099	EUR	
22/05/2015 00:00	44.34	44.653	43.893	43.994	5188880	EUR	
25/05/2015 00:00	44.059	44.105	43.736	43.824	822991	EUR	
26/05/2015 00:00	43.598	43.967	42.897	43.16	5984586	EUR	
27/05/2015 00:00	43.229	43.879	42.948	43.69	6825870	EUR	
28/05/2015 00:00	43.326	43.492	42.676	43.252	5507417	EUR	
29/05/2015 00:00	43.271	43.46	42.377	42.377	8377685	EUR	
01/06/2015 00:00	42.805	42.805	42.095	42.4	5539150	EUR	
02/06/2015 00:00	42.598	42.976	41.939	42.542	6590566	EUR	
03/06/2015 00:00	42.699	43.026	42.261	42.745	5364663	EUR	
04/06/2015 00:00	42.294	42.616	41.598	41.939	7817961	EUR	
