date	ouv	haut	bas	clot	vol	devise	
09/03/2015 00:00	16.352	16.401	16.203	16.396	2406463	EUR	
10/03/2015 00:00	16.391	16.463	16.208	16.372	2369238	EUR	
11/03/2015 00:00	16.41	16.487	16.401	16.473	3846007	EUR	
12/03/2015 00:00	16.487	16.695	16.434	16.68	3545566	EUR	
13/03/2015 00:00	16.68	16.796	16.545	16.68	3030470	EUR	
16/03/2015 00:00	16.728	16.83	16.661	16.772	3396877	EUR	
17/03/2015 00:00	16.777	16.786	16.598	16.699	2621383	EUR	
18/03/2015 00:00	16.709	16.786	16.598	16.767	2556923	EUR	
19/03/2015 00:00	16.81	16.931	16.709	16.815	3507106	EUR	
20/03/2015 00:00	16.83	16.984	16.786	16.883	6498745	EUR	
23/03/2015 00:00	16.863	16.994	16.796	16.94	2406620	EUR	
24/03/2015 00:00	16.921	17.013	16.863	16.95	2590237	EUR	
25/03/2015 00:00	16.921	17.075	16.834	17.061	3729140	EUR	
26/03/2015 00:00	17.056	17.071	16.791	16.907	3650629	EUR	
27/03/2015 00:00	16.931	17.48	16.921	17.423	5186176	EUR	
30/03/2015 00:00	17.451	17.519	17.288	17.331	2443261	EUR	
31/03/2015 00:00	17.268	17.398	16.984	16.984	3222742	EUR	
01/04/2015 00:00	16.902	17.124	16.854	17.003	3039947	EUR	
02/04/2015 00:00	16.969	17.051	16.887	16.989	1413250	EUR	
07/04/2015 00:00	17.119	17.49	17.061	17.316	2679996	EUR	
08/04/2015 00:00	17.36	17.514	17.283	17.432	2533082	EUR	
09/04/2015 00:00	17.558	17.924	17.485	17.924	3241211	EUR	
10/04/2015 00:00	17.987	18.151	17.929	18.151	2483200	EUR	
13/04/2015 00:00	18.155	18.199	18.04	18.155	1622217	EUR	
14/04/2015 00:00	18.136	18.242	17.943	18.02	1771121	EUR	
15/04/2015 00:00	18.078	18.387	18.02	18.319	1998104	EUR	
16/04/2015 00:00	18.319	18.367	18.088	18.314	1572231	EUR	
17/04/2015 00:00	18.31	18.551	18.155	18.31	3397454	EUR	
20/04/2015 00:00	18.324	18.517	18.204	18.396	2262640	EUR	
21/04/2015 00:00	18.425	18.657	18.324	18.488	1941480	EUR	
22/04/2015 00:00	18.469	18.599	18.281	18.387	2291471	EUR	
23/04/2015 00:00	18.353	18.498	18.189	18.334	2233957	EUR	
24/04/2015 00:00	18.435	18.888	18.319	18.864	2728787	EUR	
27/04/2015 00:00	18.888	18.97	18.58	18.922	2512216	EUR	
28/04/2015 00:00	18.912	18.936	18.676	18.845	2627832	EUR	
29/04/2015 00:00	18.816	18.946	18.146	18.223	2897393	EUR	
30/04/2015 00:00	18.179	18.339	17.943	18.242	2943953	EUR	
04/05/2015 00:00	18.353	19.018	18.29	18.85	2952616	EUR	
05/05/2015 00:00	18.261	18.281	17.509	17.529	3816643	EUR	
06/05/2015 00:00	17.529	17.707	17.326	17.398	3302653	EUR	
07/05/2015 00:00	17.36	17.625	17.095	17.558	3113097	EUR	
08/05/2015 00:00	17.673	17.885	17.471	17.871	2530267	EUR	
11/05/2015 00:00	17.909	18.02	17.799	17.991	1699122	EUR	
12/05/2015 00:00	17.847	17.977	17.731	17.823	2584062	EUR	
13/05/2015 00:00	17.895	18.223	17.808	18.059	2826254	EUR	
14/05/2015 00:00	18.064	18.411	17.924	18.343	1879272	EUR	
15/05/2015 00:00	18.406	18.464	18.175	18.29	1748488	EUR	
18/05/2015 00:00	18.295	18.348	17.934	18.237	1353505	EUR	
19/05/2015 00:00	18.319	18.584	18.31	18.531	1856439	EUR	
20/05/2015 00:00	18.512	18.676	18.416	18.647	1477455	EUR	
21/05/2015 00:00	18.618	18.676	18.522	18.594	1443663	EUR	
22/05/2015 00:00	18.618	18.7	18.517	18.551	1169814	EUR	
25/05/2015 00:00	18.608	18.642	18.396	18.435	262258	EUR	
26/05/2015 00:00	18.493	18.69	18.223	18.276	2293674	EUR	
27/05/2015 00:00	18.387	18.695	18.223	18.671	2118393	EUR	
28/05/2015 00:00	18.637	18.695	18.367	18.483	1462824	EUR	
29/05/2015 00:00	18.517	18.58	18.213	18.237	3446182	EUR	
01/06/2015 00:00	18.348	18.599	18.266	18.367	2069474	EUR	
02/06/2015 00:00	18.502	18.502	18.165	18.276	1886476	EUR	
03/06/2015 00:00	18.319	18.681	18.29	18.541	2586351	EUR	
04/06/2015 00:00	18.406	18.469	18.194	18.237	2429519	EUR	
05/06/2015 00:00	18.223	18.343	17.885	17.905	2903256	EUR	
08/06/2015 00:00	17.914	17.914	17.543	17.639	2750310	EUR	
09/06/2015 00:00	17.567	17.615	17.263	17.538	2459832	EUR	
10/06/2015 00:00	17.495	17.823	17.423	17.799	2386118	EUR	
11/06/2015 00:00	17.784	18.184	17.721	18.126	2878372	EUR	
12/06/2015 00:00	18.126	18.218	17.673	17.842	2453850	EUR	
15/06/2015 00:00	17.659	17.736	17.244	17.316	3198220	EUR	
16/06/2015 00:00	17.22	17.582	17.109	17.519	1969817	EUR	
17/06/2015 00:00	17.558	17.562	17.21	17.249	2175945	EUR	
18/06/2015 00:00	17.225	17.476	16.94	17.456	2189659	EUR	
19/06/2015 00:00	17.379	17.644	17.268	17.495	2555819	EUR	
22/06/2015 00:00	17.934	18.324	17.799	18.271	2947503	EUR	
23/06/2015 00:00	18.416	18.57	18.353	18.507	2372484	EUR	
24/06/2015 00:00	18.512	18.599	18.372	18.507	2156298	EUR	
25/06/2015 00:00	18.329	18.623	18.324	18.541	2927798	EUR	
26/06/2015 00:00	18.464	18.589	18.319	18.498	1424190	EUR	
29/06/2015 00:00	17.654	18.242	17.538	17.982	2803310	EUR	
30/06/2015 00:00	17.876	18.117	17.635	17.635	2981219	EUR	
01/07/2015 00:00	17.789	18.069	17.615	17.789	2832958	EUR	
02/07/2015 00:00	17.905	18.247	17.818	17.967	2083234	EUR	
03/07/2015 00:00	18.006	18.102	17.76	17.895	1576043	EUR	
06/07/2015 00:00	17.562	17.808	17.403	17.432	2730048	EUR	
07/07/2015 00:00	17.533	17.538	17.148	17.172	2872190	EUR	
08/07/2015 00:00	17.22	17.403	17.153	17.268	1689165	EUR	
09/07/2015 00:00	17.35	17.774	17.307	17.659	2402218	EUR	
10/07/2015 00:00	18.078	18.454	17.987	18.387	2683768	EUR	
13/07/2015 00:00	18.555	18.777	18.512	18.647	1894202	EUR	
14/07/2015 00:00	18.604	18.748	18.58	18.748	2014508	EUR	
15/07/2015 00:00	18.686	19.038	18.671	18.994	2127202	EUR	
16/07/2015 00:00	19.042	19.269	19.038	19.182	1796473	EUR	
17/07/2015 00:00	19.177	19.283	19.105	19.144	2611992	EUR	
20/07/2015 00:00	19.235	19.361	19.1	19.163	1665645	EUR	
21/07/2015 00:00	19.173	19.269	18.931	18.96	1973095	EUR	
22/07/2015 00:00	18.922	19.235	18.816	19.148	1546180	EUR	
23/07/2015 00:00	19.283	19.852	19.283	19.765	2934075	EUR	
24/07/2015 00:00	19.698	19.92	19.684	19.698	1811449	EUR	
27/07/2015 00:00	19.631	19.679	19.361	19.365	2623604	EUR	
28/07/2015 00:00	19.399	19.592	19.341	19.505	2233218	EUR	
29/07/2015 00:00	19.611	19.833	19.303	19.476	3110642	EUR	
30/07/2015 00:00	19.688	19.722	19.332	19.524	2180406	EUR	
31/07/2015 00:00	19.496	19.655	19.389	19.597	2349493	EUR	
03/08/2015 00:00	19.688	19.688	19.11	19.317	3213910	EUR	
04/08/2015 00:00	19.327	19.978	19.221	19.939	3718326	EUR	
05/08/2015 00:00	19.963	20.392	19.958	20.296	3385886	EUR	
06/08/2015 00:00	20.296	20.465	20.185	20.363	1635832	EUR	
07/08/2015 00:00	20.349	20.349	19.939	20.002	2242674	EUR	
10/08/2015 00:00	20.084	20.296	19.982	20.272	1354671	EUR	
11/08/2015 00:00	20.195	20.238	20.031	20.132	1807755	EUR	
12/08/2015 00:00	20.04	20.055	19.375	19.467	2801598	EUR	
13/08/2015 00:00	19.669	19.9	19.626	19.794	1539842	EUR	
14/08/2015 00:00	19.669	19.737	19.423	19.703	2389971	EUR	
17/08/2015 00:00	19.852	19.91	19.582	19.833	1429799	EUR	
18/08/2015 00:00	19.794	20.325	19.794	20.175	2062416	EUR	
19/08/2015 00:00	20.05	20.084	19.881	19.915	1907715	EUR	
20/08/2015 00:00	19.819	19.823	19.062	19.129	2439045	EUR	
21/08/2015 00:00	18.83	19.076	18.517	18.517	2925562	EUR	
24/08/2015 00:00	18.078	18.42	17.186	17.509	6512734	EUR	
25/08/2015 00:00	17.567	18.57	17.567	18.507	3831415	EUR	
26/08/2015 00:00	18.261	18.599	17.977	18.184	2590554	EUR	
27/08/2015 00:00	18.662	19.033	18.551	18.903	2939323	EUR	
28/08/2015 00:00	18.946	18.98	18.743	18.97	1336646	EUR	
31/08/2015 00:00	18.898	19.047	18.729	18.85	1566589	EUR	
01/09/2015 00:00	18.662	18.748	18.237	18.353	3144562	EUR	
02/09/2015 00:00	18.425	18.498	18.083	18.363	2163748	EUR	
03/09/2015 00:00	18.522	19.004	18.425	18.878	2777786	EUR	
04/09/2015 00:00	18.666	18.801	18.445	18.536	2348851	EUR	
07/09/2015 00:00	18.652	18.84	18.546	18.657	1086241	EUR	
08/09/2015 00:00	18.763	19.201	18.753	19.091	1807203	EUR	
09/09/2015 00:00	19.476	19.496	19.308	19.336	1590764	EUR	
10/09/2015 00:00	19.139	19.558	19.091	19.336	2056873	EUR	
11/09/2015 00:00	19.336	19.341	19.057	19.134	1853016	EUR	
14/09/2015 00:00	19.168	19.64	19.134	19.312	2496205	EUR	
15/09/2015 00:00	19.37	19.655	19.322	19.471	2822175	EUR	
16/09/2015 00:00	19.659	19.799	19.592	19.722	2824047	EUR	
17/09/2015 00:00	19.727	20.05	19.611	19.944	3700099	EUR	
18/09/2015 00:00	19.91	19.978	19.544	19.698	3668758	EUR	
21/09/2015 00:00	19.698	20.045	19.669	19.712	2254068	EUR	
22/09/2015 00:00	19.674	19.741	19.221	19.283	2604774	EUR	
23/09/2015 00:00	19.308	19.442	19.197	19.322	2271261	EUR	
24/09/2015 00:00	19.351	19.394	18.927	19.086	2056944	EUR	
25/09/2015 00:00	19.298	19.905	19.264	19.78	2356368	EUR	
28/09/2015 00:00	19.669	19.809	19.341	19.389	2227808	EUR	
29/09/2015 00:00	19.163	19.457	19.047	19.062	2629728	EUR	
30/09/2015 00:00	19.361	19.717	19.197	19.698	3458217	EUR	
01/10/2015 00:00	19.891	20.142	19.577	19.631	2850230	EUR	
02/10/2015 00:00	19.872	19.872	19.385	19.679	2799038	EUR	
05/10/2015 00:00	20.011	20.137	19.684	19.761	3261819	EUR	
06/10/2015 00:00	19.799	19.886	19.573	19.727	2506077	EUR	
07/10/2015 00:00	19.876	20.122	19.746	19.79	2039568	EUR	
08/10/2015 00:00	19.741	19.833	19.312	19.52	2776192	EUR	
09/10/2015 00:00	19.573	19.765	19.158	19.25	3453541	EUR	
12/10/2015 00:00	19.317	19.351	18.84	18.903	3097719	EUR	
13/10/2015 00:00	18.912	19.095	18.724	18.994	2999671	EUR	
14/10/2015 00:00	18.874	19.168	18.743	19.004	2367799	EUR	
15/10/2015 00:00	19.264	19.279	19.033	19.259	1961599	EUR	
16/10/2015 00:00	19.394	19.775	19.351	19.727	2482149	EUR	
19/10/2015 00:00	19.722	20.002	19.592	19.727	1269216	EUR	
20/10/2015 00:00	19.727	19.982	19.712	19.929	1376180	EUR	
21/10/2015 00:00	19.978	20.358	19.814	20.344	2555511	EUR	
22/10/2015 00:00	20.262	20.571	20.142	20.363	2721627	EUR	
23/10/2015 00:00	20.513	20.653	20.373	20.595	2348315	EUR	
26/10/2015 00:00	20.537	20.706	20.354	20.657	1782574	EUR	
27/10/2015 00:00	20.609	20.855	20.546	20.556	1784791	EUR	
28/10/2015 00:00	20.614	20.788	20.566	20.599	1318297	EUR	
29/10/2015 00:00	20.657	20.681	20.383	20.45	1547559	EUR	
30/10/2015 00:00	20.489	20.522	20.223	20.416	1479860	EUR	
02/11/2015 00:00	20.349	20.802	20.291	20.585	1812836	EUR	
03/11/2015 00:00	20.571	20.59	20.344	20.46	1781712	EUR	
04/11/2015 00:00	20.479	20.725	20.421	20.421	1419547	EUR	
05/11/2015 00:00	20.778	21.867	20.575	21.757	4032894	EUR	
06/11/2015 00:00	21.747	21.761	21.221	21.347	2628746	EUR	
09/11/2015 00:00	21.303	21.4	20.927	20.947	1574710	EUR	
10/11/2015 00:00	20.985	21.236	20.961	21.221	1483561	EUR	
11/11/2015 00:00	21.197	21.332	20.879	20.942	1470667	EUR	
12/11/2015 00:00	20.99	21.168	20.783	20.841	1160083	EUR	
13/11/2015 00:00	20.792	20.85	20.58	20.677	1468345	EUR	
16/11/2015 00:00	20.503	21	20.358	20.98	1081741	EUR	
17/11/2015 00:00	21.212	21.482	21.202	21.429	2412938	EUR	
18/11/2015 00:00	21.356	21.361	21.043	21.111	1492598	EUR	
19/11/2015 00:00	21.27	21.573	21.231	21.467	1526061	EUR	
20/11/2015 00:00	21.501	21.564	21.212	21.525	1801952	EUR	
23/11/2015 00:00	21.496	21.641	21.385	21.419	1230992	EUR	
24/11/2015 00:00	21.299	21.366	20.879	20.927	2087684	EUR	
25/11/2015 00:00	20.927	21.347	20.908	21.077	1504318	EUR	
26/11/2015 00:00	21.077	22.041	21.077	21.949	2000410	EUR	
27/11/2015 00:00	21.906	22.157	21.718	22.07	1813675	EUR	
30/11/2015 00:00	21.882	22.012	21.65	21.877	2123149	EUR	
01/12/2015 00:00	21.887	21.978	21.573	21.675	1799714	EUR	
02/12/2015 00:00	21.79	22.041	21.622	21.694	1435361	EUR	
03/12/2015 00:00	21.67	22.002	21.091	21.284	2970985	EUR	
04/12/2015 00:00	21.183	21.231	20.913	21.101	1995509	EUR	
07/12/2015 00:00	21.096	21.395	21.043	21.265	1311885	EUR	
08/12/2015 00:00	21.217	21.274	20.826	20.855	1515693	EUR	
09/12/2015 00:00	20.855	21.067	20.821	20.855	2113369	EUR	
10/12/2015 00:00	20.86	21.048	20.701	20.812	1740673	EUR	
11/12/2015 00:00	20.85	20.855	20.368	20.368	2236194	EUR	
14/12/2015 00:00	20.903	21.159	20.469	20.985	4208803	EUR	
15/12/2015 00:00	21.135	21.164	20.71	21.086	3123959	EUR	
