date	ouv	haut	bas	clot	vol	devise	
03/03/2025 09:27	68.44	68.44	68.44	68.44	0	EUR	
03/03/2025 09:27	68.44	68.44	68.44	68.44	180	EUR	
03/03/2025 09:28	68.44	68.46	68.44	68.44	1776	EUR	
03/03/2025 09:29	68.46	68.5	68.46	68.46	3504	EUR	
03/03/2025 09:30	68.48	68.5	68.44	68.44	1823	EUR	
03/03/2025 09:31	68.44	68.46	68.44	68.46	2010	EUR	
03/03/2025 09:32	68.44	68.44	68.42	68.44	1010	EUR	
03/03/2025 09:33	68.42	68.46	68.42	68.46	2706	EUR	
03/03/2025 09:34	68.46	68.46	68.4	68.42	2554	EUR	
03/03/2025 09:35	68.42	68.42	68.38	68.42	2191	EUR	
03/03/2025 09:36	68.44	68.5	68.44	68.5	2154	EUR	
03/03/2025 09:37	68.52	68.54	68.52	68.54	645	EUR	
03/03/2025 09:38	68.52	68.6	68.52	68.6	2762	EUR	
03/03/2025 09:39	68.58	68.58	68.58	68.58	646	EUR	
03/03/2025 09:40	68.6	68.62	68.6	68.62	1283	EUR	
03/03/2025 09:41	68.66	68.68	68.66	68.68	1659	EUR	
03/03/2025 09:42	68.7	68.7	68.66	68.66	1324	EUR	
03/03/2025 09:43	68.68	68.7	68.68	68.68	725	EUR	
03/03/2025 09:44	68.7	68.7	68.7	68.7	752	EUR	
03/03/2025 09:45	68.7	68.7	68.7	68.7	607	EUR	
03/03/2025 09:46	68.68	68.68	68.66	68.66	785	EUR	
03/03/2025 09:47	68.64	68.66	68.62	68.64	936	EUR	
03/03/2025 09:48	68.64	68.64	68.62	68.62	2215	EUR	
03/03/2025 09:49	68.62	68.62	68.62	68.62	1314	EUR	
03/03/2025 09:50	68.64	68.68	68.64	68.68	1427	EUR	
03/03/2025 09:51	68.7	68.72	68.7	68.72	909	EUR	
03/03/2025 09:52	68.74	68.74	68.72	68.72	858	EUR	
03/03/2025 09:53	68.74	68.74	68.74	68.74	799	EUR	
03/03/2025 09:54	68.74	68.74	68.72	68.72	267	EUR	
03/03/2025 09:55	68.74	68.74	68.74	68.74	1303	EUR	
03/03/2025 09:56	68.74	68.78	68.74	68.78	1630	EUR	
03/03/2025 09:57	68.8	68.86	68.8	68.86	4212	EUR	
03/03/2025 09:58	68.86	68.86	68.86	68.86	210	EUR	
03/03/2025 09:59	68.88	68.92	68.88	68.9	1432	EUR	
03/03/2025 10:00	68.88	68.88	68.8	68.8	1878	EUR	
03/03/2025 10:01	68.78	68.78	68.76	68.76	425	EUR	
03/03/2025 10:02	68.76	68.78	68.76	68.78	1858	EUR	
03/03/2025 10:03	68.78	68.82	68.78	68.82	1332	EUR	
03/03/2025 10:05	68.88	68.9	68.88	68.9	3334	EUR	
03/03/2025 10:06	68.88	68.88	68.86	68.86	1489	EUR	
03/03/2025 10:07	68.82	68.82	68.82	68.82	36	EUR	
03/03/2025 10:08	68.84	68.84	68.8	68.8	1776	EUR	
03/03/2025 10:10	68.82	68.84	68.82	68.84	668	EUR	
03/03/2025 10:11	68.84	68.84	68.82	68.82	1670	EUR	
03/03/2025 10:12	68.82	68.82	68.82	68.82	1384	EUR	
03/03/2025 10:13	68.8	68.82	68.8	68.82	1008	EUR	
03/03/2025 10:14	68.82	68.84	68.82	68.84	995	EUR	
03/03/2025 10:15	68.84	68.86	68.84	68.86	1103	EUR	
03/03/2025 10:16	68.9	68.9	68.9	68.9	2040	EUR	
03/03/2025 10:17	68.92	68.94	68.92	68.92	244	EUR	
03/03/2025 10:18	68.92	68.94	68.92	68.92	1935	EUR	
03/03/2025 10:19	68.92	68.92	68.9	68.9	838	EUR	
03/03/2025 10:20	68.96	68.98	68.96	68.96	880	EUR	
03/03/2025 10:21	68.98	68.98	68.94	68.94	954	EUR	
03/03/2025 10:22	68.96	68.96	68.96	68.96	392	EUR	
03/03/2025 10:23	68.96	68.96	68.96	68.96	1212	EUR	
03/03/2025 10:24	68.9	68.94	68.9	68.94	47	EUR	
03/03/2025 10:27	68.92	68.92	68.92	68.92	1813	EUR	
03/03/2025 10:28	68.92	68.92	68.92	68.92	683	EUR	
03/03/2025 10:29	68.98	68.98	68.98	68.98	725	EUR	
03/03/2025 10:30	68.98	68.98	68.98	68.98	78	EUR	
03/03/2025 10:31	69.02	69.02	69	69	2497	EUR	
03/03/2025 10:32	69	69	68.98	68.98	639	EUR	
03/03/2025 10:33	68.98	68.98	68.96	68.96	2408	EUR	
03/03/2025 10:34	68.96	68.96	68.96	68.96	393	EUR	
03/03/2025 10:35	68.96	68.96	68.96	68.96	634	EUR	
03/03/2025 10:36	68.96	68.96	68.96	68.96	1092	EUR	
03/03/2025 10:39	68.96	68.98	68.96	68.98	2157	EUR	
03/03/2025 10:40	68.98	68.98	68.98	68.98	2017	EUR	
03/03/2025 10:41	68.96	68.96	68.94	68.96	1574	EUR	
03/03/2025 10:45	68.96	68.96	68.96	68.96	267	EUR	
03/03/2025 10:46	68.98	68.98	68.96	68.96	2835	EUR	
03/03/2025 10:47	68.98	68.98	68.98	68.98	1378	EUR	
03/03/2025 10:49	68.98	69	68.98	68.98	4709	EUR	
03/03/2025 10:50	68.96	68.98	68.96	68.98	2983	EUR	
03/03/2025 10:51	68.98	68.98	68.96	68.96	552	EUR	
03/03/2025 10:52	68.98	68.98	68.98	68.98	1751	EUR	
03/03/2025 10:53	68.98	68.98	68.96	68.98	850	EUR	
03/03/2025 10:55	68.98	68.98	68.96	68.96	798	EUR	
03/03/2025 10:56	68.96	68.96	68.96	68.96	422	EUR	
03/03/2025 10:57	68.96	68.96	68.96	68.96	197	EUR	
03/03/2025 10:58	68.96	68.96	68.96	68.96	921	EUR	
03/03/2025 10:59	68.96	68.96	68.92	68.94	1460	EUR	
03/03/2025 11:00	68.94	68.96	68.94	68.96	392	EUR	
03/03/2025 11:01	68.96	68.96	68.96	68.96	845	EUR	
03/03/2025 11:02	68.96	68.96	68.96	68.96	606	EUR	
03/03/2025 11:04	68.98	68.98	68.96	68.96	924	EUR	
03/03/2025 11:05	68.96	68.96	68.94	68.94	1849	EUR	
03/03/2025 11:06	68.92	68.92	68.92	68.92	242	EUR	
03/03/2025 11:07	68.92	68.92	68.92	68.92	85	EUR	
03/03/2025 11:08	68.94	68.94	68.88	68.88	1524	EUR	
03/03/2025 11:09	68.9	68.9	68.9	68.9	110	EUR	
03/03/2025 11:10	68.9	68.9	68.9	68.9	907	EUR	
03/03/2025 11:11	68.88	68.88	68.86	68.86	1945	EUR	
03/03/2025 11:12	68.88	68.88	68.88	68.88	50	EUR	
03/03/2025 11:13	68.92	68.96	68.92	68.96	1792	EUR	
03/03/2025 11:14	68.96	68.96	68.92	68.94	3819	EUR	
03/03/2025 11:15	68.96	68.96	68.96	68.96	573	EUR	
03/03/2025 11:16	68.98	68.98	68.94	68.94	998	EUR	
03/03/2025 11:17	68.98	68.98	68.96	68.96	1019	EUR	
03/03/2025 11:18	68.98	68.98	68.98	68.98	2759	EUR	
03/03/2025 11:19	68.98	68.98	68.98	68.98	387	EUR	
03/03/2025 11:20	68.98	69	68.98	69	1886	EUR	
03/03/2025 11:21	69	69.02	69	69	1025	EUR	
03/03/2025 11:22	69.02	69.04	69.02	69.02	2099	EUR	
03/03/2025 11:23	69	69	69	69	165	EUR	
03/03/2025 11:24	69.02	69.04	69.02	69.04	2169	EUR	
03/03/2025 11:25	69.06	69.06	69.06	69.06	37	EUR	
03/03/2025 11:26	69.08	69.12	69.08	69.12	2177	EUR	
03/03/2025 11:27	69.12	69.12	69.1	69.1	1567	EUR	
03/03/2025 11:28	69.1	69.1	69.08	69.08	1093	EUR	
03/03/2025 11:29	69.06	69.06	69.06	69.06	126	EUR	
03/03/2025 11:30	69.06	69.06	69.06	69.06	1131	EUR	
03/03/2025 11:31	69.06	69.12	69.06	69.12	2936	EUR	
03/03/2025 11:32	69.12	69.12	69.1	69.1	2556	EUR	
03/03/2025 11:33	69.1	69.1	69.1	69.1	865	EUR	
03/03/2025 11:34	69.1	69.1	69.08	69.08	1025	EUR	
03/03/2025 11:35	69.1	69.1	69.1	69.1	490	EUR	
03/03/2025 11:37	69.12	69.12	69.06	69.06	1951	EUR	
03/03/2025 11:39	69.08	69.08	69.06	69.06	2444	EUR	
03/03/2025 11:40	69.06	69.06	69.06	69.06	823	EUR	
03/03/2025 11:41	69.06	69.08	69.06	69.08	1170	EUR	
03/03/2025 11:42	69.08	69.08	69.06	69.06	1589	EUR	
03/03/2025 11:43	69.06	69.06	69.06	69.06	553	EUR	
03/03/2025 11:44	69.04	69.04	69.04	69.04	1278	EUR	
03/03/2025 11:45	69.04	69.04	69.04	69.04	554	EUR	
03/03/2025 11:46	69.04	69.04	69.04	69.04	704	EUR	
03/03/2025 11:47	69.02	69.02	69.02	69.02	718	EUR	
03/03/2025 11:48	69.02	69.04	69	69.04	3710	EUR	
03/03/2025 11:49	69.04	69.04	69.02	69.02	996	EUR	
03/03/2025 11:50	69.04	69.04	69.02	69.02	1626	EUR	
03/03/2025 11:51	69.04	69.06	69.04	69.06	2687	EUR	
03/03/2025 11:52	69.06	69.06	69.06	69.06	917	EUR	
03/03/2025 11:53	69.06	69.08	69.06	69.08	836	EUR	
03/03/2025 11:54	69.08	69.08	69.08	69.08	1069	EUR	
03/03/2025 11:55	69.08	69.08	69.08	69.08	1394	EUR	
03/03/2025 11:56	69.08	69.08	69.08	69.08	505	EUR	
03/03/2025 11:57	69.08	69.08	69.08	69.08	336	EUR	
03/03/2025 11:58	69.06	69.08	69.06	69.06	1674	EUR	
03/03/2025 11:59	69.08	69.08	69.06	69.06	524	EUR	
03/03/2025 12:01	69.08	69.08	69.06	69.06	2229	EUR	
03/03/2025 12:02	69.06	69.06	69.06	69.06	615	EUR	
03/03/2025 12:03	69.06	69.08	69.06	69.08	683	EUR	
03/03/2025 12:05	69.06	69.06	69.06	69.06	1446	EUR	
